mark_time_ns,sweep_time_ns
51514,12866
84552,14649
47003,13610
56955,13455
21999,12212
29654,12818
15236,11327
27162,12946
34070,12349
84893,15883
46577,13555
40855,12960
22768,12259
30761,12010
29239,12731
39560,13279
23582,11856
26454,15980
49978,13224
23619,11851
21872,12184
57214,12933
37572,13453
21391,12097
42284,13402
60044,15145
79438,15038
43147,13265
27236,12660
35610,12290
31649,12663
31153,13303
33655,12578
74907,15128
39721,13041
60842,15656
39229,12987
47882,13887
46034,14671
24740,12294
45769,13231
23058,12935
58043,14702
25559,12581
39328,13396
48204,14102
44911,13852
40300,13224
50111,13409
42507,13124
46663,13342
41899,13640
35540,13170
16969,12077
29172,12977
32891,12441
85217,15543
41393,13412
30477,12989
43755,13702
27089,12747
23139,12333
17164,12090
14566,11481
25966,12706
57426,14383
42056,13318
39451,14226
60337,13571
22511,12809
17153,12275
41603,13003
23046,12729
53723,13446
30001,12390
58335,13637
34270,12747
45547,14040
42406,13528
50506,13213
39579,13087
27274,12267
31563,12792
34909,13214
17989,11763
46782,14005
22306,12247
17873,12177
47355,13736
32454,13143
32036,13326
40894,12644
33232,13019
44340,13489
21001,12262
27381,12868
79571,15494
49376,15197
32588,12960
21783,12106
35103,13341
46219,13651
31620,12480
31829,12973
90472,16357
40720,13506
26969,12957
42097,12728
65052,14760
57499,15435
29112,12793
37511,13240
21471,12053
40582,13435
35820,13407
47816,13396
32153,13192
36268,12634
54489,14407
39794,13627
20789,12075
31472,12840
34373,12912
92895,16977
46642,13418
42670,13516
20980,12577
36842,13472
31933,12780
85948,16138
46399,13937
36112,13645
76217,15332
32497,12980
52907,14251
31387,13540
29191,13527
40137,14506
30686,13136
31267,12810
25429,13173
30317,12797
61206,14578
55139,14239
27970,13175
35655,13268
32302,12827
68009,14791
21892,13237
28805,12746
31327,13452
53692,13886
27517,13379
45188,13484
59620,14401
34369,13296
28876,13475
42727,13300
28731,13316
33755,12971
35021,13855
31930,13347
18374,12977
29736,13394
32958,12912
50128,13694
29100,13370
27088,13238
64495,15753
21292,12344
48775,14338
43744,14259
26982,12991
29243,13129
50029,14257
25186,13268
24348,13115
42224,13340
29221,13082
40706,13979
22585,13088
34827,13707
25362,12553
30385,12755
29637,13440
55958,14127
47464,13971
32263,13068
46814,13853
41932,13970
25370,12662
46596,13623
42531,13136
56617,14124
32007,13491
24221,12666
51033,14173
29169,13461
24579,13441
44458,14000
27001,12768
40058,13706
40304,13950
54853,14017
23717,13268
17442,12798
43700,13856
27960,13306
42018,13141
30961,12894
18135,12567
34484,13710
59239,14926
44447,13142
37420,13634
28105,13325
72285,14805
39916,13853
31167,13238
43376,12793
58689,15111
37002,13497
47389,13851
37814,13746
47987,13924
51513,14538
47466,13813
49769,13533
25676,13407
31849,12907
30857,12824
22872,12474
26253,13293
44501,13530
33455,13233
75689,15510
39465,13065
15696,11884
19115,12919
46071,13641
43349,13767
39619,13815
62413,13804
20463,12853
45971,13930
28809,13696
44429,13847
45095,13446
30834,13168
37769,13568
38296,13113
23884,12811
67793,15247
25500,13284
31940,13638
55313,14024
29762,12724
26817,12715
72463,14915
37844,13899
14697,12099
27388,12927
34281,13158
52747,13623
41712,13154
48703,13277
54200,13841
47653,13302
28084,12261
53527,14001
38836,12751
33771,12646
60503,15623
38662,12924
51425,13544
30076,12776
27604,12565
46397,13571
28851,12209
41353,12956
41424,13147
40561,12487
30065,12822
50081,13761
28674,12335
22101,12470
41975,12565
30621,12521
39608,13411
22864,12836
35891,12905
25603,12181
35854,13292
41922,13164
47168,13599
46360,13705
26326,12886
61486,14528
32342,12563
20262,11705
45021,13229
39727,12716
60833,14209
48461,13608
53762,14224
86682,16795
54485,13858
23869,12246
31072,12703
43957,12933
59362,14198
18388,12383
34373,13017
96361,16071
52423,14842
29272,11979
24795,12734
26633,12897
33575,13103
37830,13603
28271,12424
43905,13604
39797,12838
41166,13878
81404,16289
22043,12243
36014,13153
17262,12101
55894,13420
66930,15956
60615,14577
28528,12746
24502,12864
43125,12776
30622,12797
17300,12482
34294,13665
39021,13728
45929,13300
28890,13085
47943,14159
25785,13568
51287,14550
27444,13312
57649,14025
35576,13579
21606,12204
76970,15236
30979,13423
17931,12547
47612,14349
22119,12509
50078,13949
29179,13394
25720,13294
43409,13752
31934,12684
35268,13244
43968,14266
14566,11481
45074,13745
55727,13911
32962,13484
26447,13179
42788,13079
31084,12782
18048,12779
34247,13476
41085,13690
13611,11879
43271,14171
31111,13452
55594,14598
46805,13722
44582,14173
53032,14463
29357,13079
19582,12044
44339,13415
41357,13232
62290,14898
30848,13329
43347,14527
54033,13891
39678,14002
30456,13620
43375,14017
27611,12840
53539,14338
20125,12864
43817,16125
29634,13434
50647,14219
40966,14162
23451,13268
57716,13887
38920,13674
73244,15606
25149,12484
35427,13917
44954,13272
57651,14013
50099,14231
31448,12797
31416,13206
56537,14912
52634,14103
25989,13158
50440,13664
42981,13787
51072,14811
38019,12965
30855,12994
24585,12899
27561,13248
35143,13739
49503,13680
32212,13424
87603,15445
82000,16110
42019,13622
31414,13502
13617,11885
37632,13570
22598,12508
24553,13151
29800,13576
30992,13403
38965,13420
23848,12407
49929,13809
23746,13131
55315,14942
26243,13137
26567,12617
37298,13426
18194,12459
55415,14123
34367,13414
17307,12757
43042,13687
38759,13644
42727,13401
32212,13067
25225,12683
25178,13031
36397,13884
49029,13654
31914,13255
45459,14088
50995,14571
46041,14600
40321,13578
53157,14306
42684,13812
27170,12493
47329,13745
42855,13181
49497,13479
27186,13163
33467,12559
50103,13959
28777,13394
27387,13175
75052,15333
41664,13349
58411,14158
45534,14415
27520,12736
59909,14869
60218,13914
25471,12617
85840,15961
43256,13797
36460,13540
37331,13910
56644,13818
50909,13750
30746,13434
47493,13523
35637,14010
45852,14710
27903,13452
47474,14367
30845,13107
27981,13270
59472,14898
43039,13658
61695,15772
22002,12336
51611,14316
48730,14147
17571,12455
34148,13765
15530,12280
24666,13108
45073,13770
46744,13412
49116,14492
43186,13733
16931,12005
35291,13163
21813,11922
45051,12987
39325,12631
29218,12800
33710,12948
32857,12534
83305,15041
42052,13144
30788,13166
65233,14758
41142,12963
62163,14322
49711,14943
28857,12666
61220,13963
47082,13120
55508,13464
53079,13342
46901,13421
36589,12907
39248,12905
