mark_time_ns,sweep_time_ns
1293583,19299
2591058,36800
5712225,78480
14252,103115
11717,83433
8512,81212
8041,80858
8481,83003
8814,86149
11835,85543
10874,87208
13878,87020
37823,86234
18256,96484
17829,86746
84595,87790
17133,87117
17013,86819
16602,86376
3208974,103268
17379,223438
13737,210660
12071,208368
16739,203024
16003,195321
72562,190195
19135,184964
4915424,206308
15250,191640
8616,190383
11326,188849
10217,188306
15571,186910
71486,186939
19822,187702
4634360,202900
10485,189449
8951,173895
10931,173265
9801,173177
15934,175360
71016,177780
19423,177270
5091597,200808
10161,189984
8793,187354
11139,187226
9614,186532
15925,186051
76950,186225
18449,185743
5150647,202615
9098,190606
9308,187055
10456,184177
10175,184380
15125,177879
71040,173723
17986,176740
5128241,197399
9429,181296
9262,184306
10683,183897
9228,182520
16163,182864
71093,184305
19517,189679
5207380,201945
10230,190826
8719,185480
11996,183557
9748,186092
16242,184053
72071,185778
19103,185167
5049483,202461
9670,191467
8854,186353
10608,186470
9651,185104
16114,183985
72055,180727
18714,174870
5591499,195305
10028,182402
8897,178079
9928,178815
8935,178355
14718,179843
71088,188897
18013,182600
5145671,201684
9050,185268
8662,183679
10271,184050
8841,184719
16785,184175
70569,182711
18827,184729
5164184,201427
10632,191215
9427,186355
11045,185907
9249,185218
15741,189487
71800,184563
19359,178761
5344800,193331
10821,187891
9354,178907
10833,179201
9132,181166
16129,184596
71208,185735
18666,185030
5207746,203869
9174,192488
9123,187079
11006,185811
10011,184482
15636,186085
70969,185223
18587,185002
5013421,201713
9593,188323
9104,185878
10046,185711
10006,185072
16654,173692
70477,172628
19106,175072
5210683,200088
8985,188168
9266,182736
10927,189708
9730,183531
15841,184520
71710,185229
19146,183928
5124897,202442
9976,187698
9251,178892
10148,185406
9196,183725
15552,185080
70308,186307
19429,185692
5138749,202877
10457,191050
8369,186913
10695,185327
9738,185851
15385,185316
70208,183936
18189,182876
5286391,191995
10263,177433
8835,178401
10395,178280
9938,176730
16399,177163
71399,176880
18865,177522
5293050,199674
9817,188780
7912,184480
10073,183319
8698,183262
15616,183291
70934,184432
18319,184692
5098033,201860
9308,196109
8197,187071
9857,187527
9407,185996
14865,185400
69199,185374
18331,180256
5186146,201972
9728,191950
8407,188413
10107,186270
9611,185374
15383,185934
70939,186676
18766,185691
4936698,200107
8844,179787
8836,180256
