mark_time_ns,sweep_time_ns
121473,17424
12712,11737
105248,17546
11579,11220
100410,17142
12215,11818
102590,17468
11966,11479
100409,17093
11137,11093
102506,17132
11092,11247
101405,17223
10876,11469
104194,17329
10635,11215
99411,17161
11561,11873
107956,17501
11576,11417
100343,16986
10875,10860
104509,17147
10302,11021
100212,17027
10397,11095
101097,19530
10346,11148
99179,17060
11435,11077
100323,17331
11421,11624
100583,16693
10538,11110
101187,17143
10656,11392
100479,17030
10677,11333
101086,17296
10691,11182
99506,16940
11668,11424
100686,17347
11786,11439
100935,17115
10852,11045
100919,17047
10453,11334
100473,16950
10539,11416
101108,17213
10441,11115
98960,17137
11181,11354
100697,17223
11484,11813
100790,17061
10752,11171
100832,17230
10459,11231
100118,16907
10426,11377
100965,17382
10368,11277
99205,17089
11236,11674
99921,17438
11474,11496
100812,17055
10342,11212
101358,17541
10389,11569
100132,17077
10629,11470
101850,17468
10763,11426
99812,17120
11368,11651
100256,17630
11519,11553
101084,17062
10666,11189
100672,17385
10678,11453
100573,17281
10424,11616
100733,17504
10317,11241
99957,17448
11312,11779
100905,17323
11537,11497
100581,17096
10522,11402
101071,17568
10375,11621
100440,17195
10522,11475
101107,17704
10323,11738
99421,17913
11636,11895
100772,17723
11694,11773
100751,17305
10769,11546
100935,17494
10447,11555
100698,17362
10601,11845
101506,17530
10341,11711
99880,17480
11469,11941
100985,17548
11505,11712
101326,17130
10784,11396
100990,17529
10364,11564
100649,17279
10921,11865
100826,17515
10442,11596
99424,17594
11479,12206
100300,17505
11557,11821
101124,17287
10678,11479
101236,17446
10216,11821
100501,17392
10249,11610
101616,17469
10448,11513
99897,17453
11373,11980
100852,17502
11505,11915
100964,17521
10536,11365
100607,17192
10428,11459
100342,17370
10432,11783
100839,17499
10506,11465
99618,17433
11620,11771
100824,17415
11418,11196
101037,16958
10589,10732
100924,17203
10679,10918
100819,16903
10297,11135
101322,17413
10289,10935
100037,17031
11651,11496
100278,17270
11260,11148
100473,16917
10475,10915
100613,17081
10255,11130
100773,16834
10494,11234
101060,17301
10208,11117
99716,17486
11544,11354
100624,17045
11558,11439
100810,17047
10591,10949
100541,17229
10101,11367
100541,17120
10203,11640
100521,17299
10470,11314
99448,17516
11287,11778
100738,17580
11457,11594
99964,17125
10124,11417
100841,17509
10360,11645
100726,17217
10404,11733
101482,17431
10448,11597
99261,17692
11709,11598
100765,17499
11498,11834
100572,17439
10545,11232
101196,17501
10178,11459
100056,17396
10800,11804
101244,17694
10491,11549
99506,17602
11956,11671
100561,17310
11312,12028
100274,17201
10480,11310
101246,17549
10241,11396
100715,17141
10351,11927
101016,17475
10377,11592
99639,17619
11408,11892
100297,17598
11315,11989
101221,17364
10376,11492
101448,17603
10394,11565
101141,17254
10429,11766
101572,17492
10509,11461
100429,17460
11193,12067
100620,17763
11624,11795
103397,17428
10853,11518
101474,17489
10306,11570
103575,17192
10360,11660
101015,17601
10562,11469
99161,20142
11375,11812
100346,17518
11683,11626
100953,17458
10509,11333
101374,17420
10381,11305
100623,17086
10514,11959
100843,17490
10477,11423
99241,17620
11157,11529
100334,17571
11323,11620
100565,17433
10422,11435
100870,17598
10224,11429
100176,17399
10426,11298
100848,17227
10414,10971
99434,17094
11452,11299
99930,16893
11085,11316
100700,16637
10325,11113
100531,16946
10308,11191
99988,16910
10459,11339
100755,17230
10191,11151
99895,17105
11549,11509
100691,17424
11451,11587
100520,17063
10369,11116
100634,17229
10517,11320
100691,16711
10604,11453
100890,17303
10391,10996
99410,17433
11479,11414
99912,17281
11404,11501
100555,16980
10688,11194
100999,17009
10522,11206
100461,17003
10275,11453
101119,17336
10482,11177
99464,17248
11474,11460
99895,16972
11370,11395
100725,16870
10610,10994
101036,17123
10476,11375
100603,17082
10709,11392
101137,17304
10422,11211
99639,17033
11622,11490
100330,17120
11152,11448
101032,16883
10439,11259
101028,17187
10306,11294
100125,16746
10268,11198
100848,17428
10287,10998
99068,17250
11717,11511
100634,17503
11386,11467
100794,16737
10340,11159
100824,17285
10208,11078
99689,16882
10373,11422
101462,17380
10229,11206
99269,17224
11447,11658
100460,17205
11474,11601
100718,16830
10576,11009
101324,17158
10496,11503
100442,17187
10513,11356
100799,17277
10366,11277
98964,17224
11141,11701
100453,17377
11427,11740
100876,17201
10679,11279
101183,17617
10044,11595
100056,17179
10575,11751
101254,17787
10456,11336
99255,17562
11376,11862
100516,17191
11379,11703
100087,17324
10599,11387
100677,17525
10267,11322
100084,17107
10445,11755
100941,17555
10603,11457
99475,17553
11383,11895
100383,17533
11682,11821
100403,17283
10372,11470
100603,17662
10270,11617
100028,17096
10644,11708
101140,17748
10539,11568
99580,17298
11221,11810
100558,17374
11324,11714
100436,17428
10389,11388
101360,17501
10019,11448
100633,17019
10453,11640
101494,17611
10333,11689
98832,17378
11620,11876
100057,17454
11478,11608
100869,17331
10615,11321
100219,17255
10330,11521
100275,16880
10509,11422
100929,17436
10542,11048
99278,16729
11401,11280
100323,16802
11177,11314
101218,16822
10512,10851
100510,17115
10562,10853
100532,16634
10501,11241
101173,17378
10313,11208
99319,17257
11148,11386
100281,17059
11161,11385
100379,16631
10488,10887
101411,17175
10375,10943
100739,16770
10539,11127
101020,17154
10299,11235
99868,17064
11297,11327
101615,16998
11519,11266
100695,16916
10335,10715
101636,17068
10329,11077
100239,16902
10536,11406
101855,17278
10335,10609
99369,16986
11368,11480
103526,17107
11522,11263
100900,16809
10529,10608
105214,16975
10110,11280
99999,16967
10185,11422
100870,19911
10585,11148
98972,17275
11440,11308
100096,17087
11251,11499
100525,17062
10734,11160
100664,17217
10748,11483
100506,16695
10265,11486
101504,17308
10396,11411
99271,17190
11136,11560
100498,17296
