mark_time_ns,sweep_time_ns
759882,18937
1026534,26507
884578,78473
1057256,150098
1275977,169863
1130970,165888
1288801,179341
1124524,169421
1093556,162177
1090440,138813
1027341,139984
795092,119784
808351,87246
263048,117861
967568,143735
1034235,148763
930488,120331
1400183,152928
960466,133739
1009424,139976
1299807,171391
1478783,181646
1294508,188544
1173773,176644
1078948,150437
1385337,175374
1408198,184173
1133103,178520
1360320,191030
1164932,173564
1301755,184625
1364599,194803
1351025,188547
1212966,183100
1329542,178182
1470273,199322
1312936,184272
1123838,166397
849555,139738
809036,92942
233628,113469
1226851,124533
1173948,151870
1042204,164494
954967,139897
1252586,157104
1227455,176443
1460935,203236
1340995,198278
1496317,222163
1191677,181583
1232216,183117
1204058,171960
770314,133345
810409,87357
306246,117224
1065547,125843
1087402,159702
1190388,174092
1150985,165830
1215886,176802
1122460,156041
1189960,153603
1094508,146013
753135,126445
813371,89809
353061,135562
1100786,141634
1299826,139978
1406737,168360
1207726,156600
1036204,168622
932171,111455
1266636,142309
1392818,168413
1128330,171329
1033994,150500
1369286,180962
1271527,178683
1320436,194796
1534994,204233
1169161,171838
1191522,184317
1278133,182979
1227983,175759
1082192,150570
1121292,160163
775909,126006
815161,88947
393995,124381
1084062,132685
958095,145128
1072761,164481
1064732,151525
1110077,159881
1132679,160865
1399630,181808
1033520,150004
952283,139788
1121557,148403
1368313,172070
1287735,181902
1271920,188891
1270085,187347
1177877,173175
1261601,176485
1395095,195003
1096985,162439
1127890,171339
1121350,156633
1246512,176546
1160487,155823
1088675,155706
1125543,153619
1293121,173879
1341922,175603
937943,117215
718553,87100
812079,92710
325856,113463
1109943,132132
1080757,138219
1032405,153819
1051798,163889
1248422,176698
982146,140710
1029738,127264
1139597,149777
849307,129743
789480,93729
806751,87677
382821,120559
1042232,154185
1095737,145384
1034727,159380
1165084,167473
938856,124224
1541995,146834
952828,139950
1265817,139432
1012978,151198
1255259,164428
1235050,173538
1244993,188620
1198597,187629
1296403,192485
1168504,177333
1197580,178146
1182534,180282
1214414,183465
1050116,141508
1196796,153411
1343213,166788
1404237,188344
1057983,153701
1207736,176540
1069323,152606
990314,154627
1160268,159051
1311791,179339
1101400,161304
924688,119838
1624344,129040
1353398,173431
670241,200878
444505,216084
469169,224907
419431,220536
472811,220374
454466,217977
470827,218638
363825,215619
456387,222254
449002,225677
363788,197356
474457,215126
469557,218640
263125,208801
792946,223919
823291,210540
433985,201141
462661,218904
393043,217605
458267,220637
459640,219982
475912,215858
360495,215682
458899,222937
450253,222264
356599,194042
465958,211814
472249,217348
262322,210982
797781,227495
824141,210057
432935,206504
462262,218639
396007,215593
456272,221467
464264,222949
480344,215763
365426,215523
462018,222131
452884,230863
356976,195758
468895,217932
472057,218674
268454,208798
783445,226119
813465,215532
431558,199046
463561,216250
396387,217672
461299,217860
453344,217811
474473,213084
360504,222328
460130,217945
453271,223775
358777,192412
472561,216546
480149,216038
264325,210065
782353,220221
815227,212012
429982,201441
460572,221330
397928,219755
464171,221231
454643,221211
477871,215572
367532,216380
456193,221164
451539,224690
352451,196136
472683,214551
468852,217306
264337,209497
778072,222854
813298,211240
433710,202035
462164,221729
393858,215531
455992,220571
449821,217260
474682,214522
359091,215236
454120,221260
455481,222795
357731,194216
470605,216794
469496,220543
264670,205182
786092,224146
826623,210422
433439,198554
465044,217725
392901,215052
459249,220509
452694,222115
472262,216602
365968,214324
472714,227498
445153,225810
356588,195991
470373,214788
475426,218429
264480,206314
772263,222275
816224,210762
435273,203969
465227,216526
392390,225113
461162,220595
450273,220537
472728,212732
363052,215377
457944,221464
453779,223810
358073,200002
472339,215002
470479,216482
263998,205664
781443,223443
813779,214202
433991,202340
463387,221484
397909,216957
456072,218645
463083,219930
471817,214291
366105,217204
459792,220401
453434,224202
357647,197430
469698,215980
472781,221168
264534,211710
772740,223337
