mark_time_ns,sweep_time_ns
13661,9427
7553,12343
6793,12109
6334,11892
6302,11957
5842,11894
8403,11933
5514,11855
5378,11858
5213,11785
5681,11435
5806,11912
5280,11458
5298,11781
5742,12038
5266,12279
5013,11961
5571,11765
5564,12001
5362,11653
5164,11979
4974,12090
5071,11778
5489,11889
5319,11677
4982,11729
5036,11711
5044,11774
5121,11550
5177,11798
4779,11838
7441,11663
5483,11829
5386,11881
5328,12023
5325,11772
5245,11714
5300,11769
5123,11778
4898,11951
4681,11953
5136,12133
5016,11720
4914,11965
5091,12115
4964,12128
5069,12126
5051,11986
5158,12027
5071,11992
5085,11568
5345,11840
5205,11958
5063,11946
5303,11730
5018,11855
4809,12189
5166,12316
5120,11861
4795,12017
5331,12140
5280,12102
5315,11990
5125,11793
5254,12056
4994,11824
5095,11982
4886,12296
5160,12243
5140,12305
5219,12058
4941,12051
4879,11987
5016,11886
5239,12060
4792,12035
4997,11912
5164,11919
4997,11775
5034,11651
4908,11706
4980,11885
4800,12095
4824,12067
5379,11985
5274,11981
4863,12173
7762,12111
4989,11933
4717,12085
4702,12056
4730,12005
4649,11424
4658,11959
4489,12032
4585,11779
5038,12122
5043,12025
5273,12045
5325,12053
5661,12563
5325,12463
5216,12379
5317,12306
5311,12232
5413,12297
5175,12245
4938,12381
5002,12603
5046,12149
5142,12415
5220,12249
5228,12302
5027,11984
4956,12121
4729,12105
4524,12243
4776,12448
5307,12359
5483,12265
5112,12326
5322,12660
4930,12343
4980,12300
5297,12228
4945,12287
5020,12341
5124,12095
5309,12230
5377,12212
5242,12043
5041,12290
4888,12348
4781,12502
4994,12391
4927,12418
5074,12211
5054,12445
5175,12207
4922,12182
4873,12039
5114,12495
4793,12088
4681,12292
4696,12492
4762,12359
4819,12058
4908,12004
4927,12364
4599,12152
4684,12533
5037,12367
4906,12398
4828,12366
4724,12383
5270,12879
5006,12406
4880,12374
5113,12621
4956,12277
5223,12442
5246,12637
5018,12392
4793,12344
5009,12285
5432,12751
4829,12464
5038,12093
5205,12334
5090,12460
5216,12280
5223,12215
5132,12421
4866,12271
4565,12287
4897,12218
4945,12280
4934,12383
4818,12273
4504,12340
4988,12248
5159,12279
4997,12952
4964,11980
4957,12275
5789,12235
5049,12016
5130,12174
5235,12471
5118,12519
5193,12760
5471,12559
5169,12594
5071,12638
4607,12402
5169,12480
5138,12351
5065,12576
5180,12678
4889,12631
5196,12528
12613,12360
5298,12397
5100,12570
5097,12515
5307,12562
5114,12623
5207,12669
5373,12760
5315,12598
5148,12680
5065,12751
5111,12401
4889,12610
4964,12385
5082,12617
5074,12388
4988,12694
5260,12434
4927,12444
5186,12712
5214,12689
5121,12633
5000,12826
5021,12489
5271,12609
5207,12392
5110,12390
5080,12533
4937,12629
5054,12583
4884,12507
5293,12621
4991,12530
4709,12433
4888,12575
4634,13090
5019,12637
5047,12830
4906,12378
4737,12598
4744,12770
4876,13096
4701,12540
4875,12285
4698,12513
4961,12331
4712,12559
4754,12381
4760,12820
4663,12434
4735,12533
4793,12518
5041,12587
5321,12333
4982,12482
4831,12624
5068,12760
4901,12585
5172,12713
5215,12259
4946,12558
4797,12748
4934,12325
5160,12406
4866,12715
4851,12638
5300,12593
5145,12228
5028,12404
4866,12594
4984,12606
5027,12254
4819,13061
5092,12536
4999,12394
4781,12842
5017,12577
4717,12456
5097,12378
5153,12474
5295,12131
4955,11908
5067,11803
5026,11769
5679,11862
5229,11851
5282,11654
5005,11800
4926,12099
4958,11747
5039,11912
5041,11742
4688,11808
5011,11979
4839,12062
4878,11744
5174,11871
4734,11466
5367,12007
5325,11842
5117,11875
5250,11744
4902,11989
5000,11939
5186,11742
5091,11872
4995,11708
4950,12007
4834,12311
5088,11597
5060,11783
4819,11893
5042,12053
4957,11835
5060,12052
5210,12030
4803,12065
4785,11835
5161,12011
5155,12204
5063,12023
4987,11679
5014,11802
4810,12034
4967,12254
5278,11989
5470,11988
5150,12009
4956,12207
5179,12075
5167,11943
5048,12132
4955,12131
4749,12281
4998,11875
4844,11829
4661,11711
5041,12138
5106,11906
4946,11933
5223,11931
5155,12203
5284,12175
5123,12031
4953,11809
5100,12265
5157,12332
5104,11967
5291,12232
5130,12270
4818,12069
4937,12375
5065,12501
4925,12204
4944,12280
4738,12544
4880,11958
4507,12379
4899,12190
6389,12517
