mark_time_ns,sweep_time_ns
65346,4081906
42395,4074511
61289,4059808
45184,4039226
47184,4020870
45698,4029760
104486,4005178
57256,4008090
89723,4002424
67414,4008092
51777,4075200
54013,4109850
63984,4067411
51729,4005644
62845,3993050
45629,3987250
127932,4112407
86131,4013326
145373,3984460
37932,3978249
162470,3989514
74089,4130367
48549,3963214
46839,3957441
45726,3955613
45962,3955869
39158,3950119
51207,3946096
159705,3948156
96424,3954690
52536,3953718
63758,3938699
107500,3944124
45655,3941117
52278,3944579
58651,3934900
47517,3940002
95514,3943359
98434,3958142
46211,3932642
33671,3939233
54588,3941196
59668,3951401
122346,3950559
64303,3928603
70607,3941794
65945,3945358
151868,3935998
79333,3935443
38173,3941084
53601,3927859
105969,3934342
53452,3931909
24849,3945290
52489,3933466
44325,3937274
112634,3941881
54112,3929982
70053,3947742
33422,3940406
46780,3932239
89634,3940598
65020,3936566
28452,3928190
105543,3923248
41002,3931937
47052,3931417
50255,3933364
38688,3937838
99444,3930806
48540,3953350
56994,3928614
36569,3935798
47776,3930179
46646,3942247
68865,3939912
56917,3947448
102281,3934869
51832,3937116
31893,3932489
33919,3927059
105239,3940080
142901,3943414
64447,3944191
66031,3979472
47706,4020103
38789,4025347
134637,3954926
65271,4000531
72018,4039573
94812,4070230
100768,3957039
72023,3973236
98142,4064941
42581,3961378
69107,3959802
51790,3941353
45031,3931301
31136,3927167
45938,3949138
116441,3935908
41915,3933123
35601,3923591
53364,3928116
90669,3941027
39871,3918576
50163,3933710
24429,3933369
73769,3928160
38495,3926726
47467,3925055
35296,3937112
27160,3930629
128916,3943651
46470,3938685
52845,3943578
31344,3923152
84391,3956095
54833,3940054
33806,3943365
33571,3929711
55394,3929399
49250,3939495
42507,3939274
31985,3934652
40874,3944643
48341,3938681
84235,3946823
70909,3941562
40559,3940713
113336,3943858
83782,3941048
29899,3937471
51621,3933412
63582,3932989
51624,3932412
54114,3932940
78616,3930540
33477,3936207
36006,3920716
34583,3933710
62764,3934987
133922,3953497
32851,3938531
49673,3946937
23673,3933811
40884,3929774
60452,3935340
39520,3927446
52644,3934704
63358,3939823
70366,3932187
146966,3936045
73792,3938710
31799,3936781
117562,3947914
32494,3929792
49272,3927729
25642,3939529
58763,3928952
23298,3922729
94926,3936080
54826,3931693
35080,3914837
54198,3926491
61495,3935063
92198,3929077
62213,3927287
23049,3938471
104443,3938841
37589,3940123
41926,3942059
47387,3936811
32288,3932246
95100,3929039
40279,3949024
54881,3938207
33980,3938306
52887,3936051
40715,3949002
56928,3929835
55142,3931219
109046,3927985
40211,3947855
23909,3940413
30577,3930861
59918,3939629
91321,3933013
69700,3935411
40580,3937293
33000,3936610
52494,3934041
64063,3941889
56011,3931114
33506,3927248
35068,3940808
38084,3941252
67982,3933345
59276,3932463
33364,3936077
30689,3933430
81132,3935074
140697,3939020
80727,3934594
47046,3937567
109837,3944628
122542,3940195
31673,3934154
27593,3928423
34283,3942731
27715,3944525
39940,3951105
22976,3936545
83972,3933007
36998,3954556
55801,3925522
84628,3949349
33463,3930535
48858,3945772
54532,3932593
40169,3935316
81639,3945316
85235,3931524
37727,3932414
25435,3926419
43998,3936181
52296,3940454
112373,3945092
56534,3942275
58883,3945484
55600,3942748
141879,3938272
66988,3945667
32252,3938374
46154,3936019
90631,3939982
51858,4048352
29798,3965980
60302,3955731
45289,4051427
130206,3975303
61606,3972159
80320,3958177
37034,4046824
56535,3972384
101823,3968349
68537,3948070
26816,4015580
98814,3938206
31872,3935197
42761,3944087
44543,3937908
33593,3929692
87234,3928161
38317,3935318
47503,3938671
27005,3938390
41240,3933122
40246,3930443
57608,3938250
52841,3928973
91090,3932760
40895,3947843
27887,3941438
27971,3936699
101142,3935225
138890,3940739
55433,3937922
52064,3935552
36089,3924142
33438,3923620
101775,3941181
47765,3942295
55500,3942529
74688,3939207
86475,3943572
52808,3953011
78297,3941207
31154,3944915
49537,3937904
41512,3933914
39459,3949040
26290,3925110
38400,3935976
111643,3945979
33866,3942000
29431,3944868
53054,3936739
80013,3939643
38844,3944773
50565,3920380
24481,3924196
68504,3928579
39713,3938890
47585,3930544
28856,3915958
26971,3926887
126471,3937062
46590,3937888
47916,3930299
27227,3939459
84279,3937515
44658,3942618
34214,3941277
29867,3928242
48666,3945862
41854,3928537
40183,3928026
26965,3924296
36123,3947386
153728,3961748
46902,3956228
93504,4041447
55220,4060170
58093,4026459
32993,3952291
84922,4059430
51878,3951698
34411,4034280
51398,3968016
62796,3957050
108411,4022463
34467,3935404
48724,3933662
49626,3940594
114221,3931467
67515,3939866
48342,3935018
42596,3935746
68861,3940262
29593,3947587
50295,3936571
40778,3944333
45216,3928467
27968,3934354
41800,3936599
110981,3937572
38818,3929007
29539,3938720
52638,3945368
88250,3929835
40131,3929677
49983,3928688
24447,3928023
67797,3933805
39803,3931816
46714,3939254
29023,3924135
27810,3933250
121394,3940001
47449,3940525
47398,3943097
