mark_time_ns,sweep_time_ns
792806,2503239
983933,2435968
1031159,2493200
795502,2422932
1116597,2480016
791444,2423105
1080574,2481008
768410,2444815
1030982,2514927
504632,2514343
711924,2421966
1188397,2463489
762906,2429662
1110231,2475340
761161,2439769
1029452,2482815
775223,2430818
1240401,2459887
784260,2436200
1032991,2477351
720369,2514890
728307,2440512
1107754,2481992
785584,2430620
1036225,2493200
776696,2417748
1023936,2479860
639637,2510896
743641,2441371
1056620,2458128
769895,2422356
1136095,2480371
768109,2414570
1196039,2464549
766407,2430144
1110532,2488682
780834,2440522
1155992,2480852
751618,2424411
1274374,2880832
651213,2506509
734884,2437533
1012499,2484956
433989,2523313
779904,2417837
1090431,2483062
775393,2442448
983263,2476542
735694,2536323
696840,2443755
1058408,2496971
764341,2430685
1075675,2471953
763435,2435009
1112367,2481946
767076,2425974
1057306,2480540
765398,2432525
967748,2481476
876244,2889190
742737,2441666
926276,2475789
670653,2526705
726238,2441206
1000289,2469075
676907,2526124
699767,2419827
1143639,2456055
766831,2442814
1075335,2470157
773322,2426667
1016318,2477858
770130,2431093
1112453,2481231
764175,2438153
