mark_time_ns,sweep_time_ns
76343,19283
74660,19725
69368,30960
70641,31996
83801,32412
65804,30746
67383,31406
69607,31332
68916,31646
70256,31522
72769,36407
65367,30633
67802,32684
70562,32817
70119,32399
72490,32787
70655,32620
64956,31822
69037,33123
69657,32620
70180,33054
71430,32490
70956,32795
71192,32853
67794,32449
69542,32363
74663,33490
72453,32820
73532,32563
63801,31624
72811,33040
69529,32474
69069,33003
69398,32658
79558,33569
78237,33263
67785,32420
68710,32668
70058,32504
70248,32639
69376,33042
80520,33522
67102,32190
69836,32910
75884,33548
75722,34110
76761,32992
82080,33289
61499,32424
68854,32396
71416,32860
70152,32796
75244,33700
72850,33173
60380,31658
67521,32216
74122,33348
74906,33440
70319,32157
70275,33139
79626,32853
67843,32054
68142,32668
70352,33134
75554,33911
75689,33033
70407,32536
72026,32714
69435,33027
71049,32982
71425,33406
72491,32884
71370,32894
66541,32133
69058,32712
75334,33227
70863,32846
74967,33225
72006,32681
75989,33022
67680,32000
68217,32682
71200,32982
70545,32804
71487,32806
67973,32610
67549,32180
67814,33011
69961,32947
74093,32834
75322,34092
71383,33249
66676,32099
74280,32379
71491,31207
70701,31266
72285,31869
71658,32401
67080,30674
69212,31270
76403,32226
71721,32078
75163,32439
72738,31739
76082,31693
68079,31415
68043,31901
70907,31757
71183,31845
71789,32390
69298,32057
68362,31057
68502,31760
69994,31481
70429,31919
76034,32706
71790,32306
67630,30933
74915,32179
70733,31758
70722,32282
72071,31996
72549,32533
67018,31453
69218,32298
76055,32976
70890,32850
74054,33482
72263,32671
75831,33129
67697,32019
68238,32422
70934,32746
70037,32805
71639,33152
69230,32736
67551,32419
68026,33243
70014,32877
70452,33328
75806,33261
72518,32516
67356,32077
74266,33411
70628,32751
71320,32949
72628,33116
71895,32791
66665,31885
70168,32779
76291,33594
70343,33144
75546,34061
72422,32749
75921,33065
67575,32102
68116,33075
71554,33298
70730,32553
72229,32678
68736,32642
67900,32217
68315,32663
70461,33095
70051,31295
76743,32411
72627,31516
66928,30113
74332,31708
71082,31479
70798,31517
72490,31483
72192,31953
66936,30350
69017,30850
75653,32146
74793,31907
74763,32692
72119,31867
77149,31653
67904,30704
68788,31589
71576,31718
70120,31606
71183,31764
68762,31871
67535,31599
68559,31582
69748,31934
70474,31723
76063,32701
72477,32444
66392,30812
74106,32777
70889,31748
70598,31939
72474,31814
71527,32641
66717,30977
69098,32729
75565,33347
70767,32468
75195,33234
73130,32580
75700,32531
68188,31654
68340,32631
71167,32392
71339,32513
71542,32641
68699,32391
67321,32152
68941,32683
69954,32592
70248,32694
76618,33159
72347,32712
67322,31877
75052,33290
70372,32716
70263,32720
71984,32378
72025,32368
66869,31314
69417,32493
76217,33578
70590,32723
74495,33228
71814,32496
76038,32833
67237,32529
68453,31879
71104,32329
69494,32144
75894,32618
68877,32633
67316,31991
67989,32815
70067,32709
70036,32353
76752,33184
72129,32501
66518,32157
73819,33110
69980,32835
70948,32948
72356,32778
71842,32672
66020,32128
68638,32821
76335,33396
70959,32926
75344,33523
72483,33085
75595,32597
67586,31995
68855,33159
70753,32954
70331,32395
71291,32911
67947,32661
68196,32513
68029,32572
74773,32823
69776,32705
75984,33765
72079,33457
67240,32191
74692,33346
70767,32773
71309,33593
72796,32676
71441,32905
66166,31987
69523,32219
76187,33680
70935,33086
74373,33679
72008,32563
75850,32525
68053,32494
67869,32572
71041,33030
70300,32631
71377,33085
68553,32740
67802,32410
68194,33340
69951,33088
70803,32502
76034,33287
72254,32890
66805,32130
74541,33442
70952,33033
71139,32703
72834,32920
71317,32906
66811,31885
69191,32394
75438,33254
70418,33296
75798,33942
72583,32748
75259,32633
68103,32099
68140,32947
70560,32739
70419,33127
71126,33557
68660,32417
67791,32271
67694,31113
71560,31511
70714,31648
76302,32044
72788,31226
66725,30722
73603,31672
70500,31557
71225,31999
72303,31757
72043,31258
66238,30605
69498,31045
75854,32126
71149,31786
73958,32894
72594,31408
76227,31377
67750,30452
67961,31221
70839,31482
70285,31729
71942,31320
68476,31496
68740,30596
68516,31084
70177,30888
70004,31444
75574,32590
72146,31674
68115,30430
74734,31936
70704,31436
70725,31898
72131,31709
71205,32128
67025,30300
69365,31109
75423,32477
70298,31598
74638,32591
72505,32015
75729,31902
67976,30947
68373,31567
71127,31981
70320,31397
71882,31734
68326,31808
67434,31585
68123,31898
70313,32565
69988,32306
76323,33145
72418,32301
66624,31821
74252,32717
70718,32693
70590,32872
72459,32244
71081,32597
66504,31310
68914,32416
75833,33046
71715,32603
74939,33381
72710,32689
75835,32421
67343,32103
68464,32421
71457,32646
70586,32448
72213,32882
68877,32444
68039,32265
68831,32809
70991,32701
70381,32167
76141,33443
72221,33226
68033,31756
75609,33119
71329,32694
70769,32710
72928,32700
71751,32947
66280,32098
69025,32407
79731,33275
71085,32601
75183,33703
71859,32464
76469,32811
68073,31781
68914,32599
70808,32826
70415,32325
71896,32537
68178,32834
67950,32288
68229,32664
69978,32643
70459,32413
75819,33196
72414,32833
66662,32501
73417,33436
70901,32818
71098,33065
72858,32858
71869,33050
66361,32099
69059,32740
75136,33587
71261,32745
74719,34148
72967,32825
75623,36720
67832,31993
68369,32951
70842,33166
70798,32715
71431,33132
68655,33014
67966,31933
68233,32075
70830,31956
69205,31752
77001,32081
72721,31814
67442,30751
74658,32323
70794,31747
70933,31679
72741,31656
71174,32453
66956,30890
69345,30983
76086,32667
70438,32132
74300,32683
71793,31426
75908,31545
67693,31001
68283,32053
71188,31953
70642,31682
70888,31786
68869,31547
67152,31022
68576,31898
70518,32042
70262,31935
75820,32636
72477,32277
67416,31880
74990,32938
71129,32586
70924,32534
72409,32381
71567,32672
66669,31617
68905,32570
75494,33686
70918,32424
74429,33195
72278,32189
80400,32236
67783,32033
68232,32416
71557,32516
70630,32221
71230,32513
69294,32724
67315,31721
67459,32684
69973,32441
69711,32422
76141,33238
72305,32539
67521,31816
74585,33172
70727,32960
71561,32646
71908,32971
71297,33276
66588,32089
69056,32715
75517,33794
71246,32721
75098,33611
72244,33077
76364,32962
68596,31958
69027,32464
71358,33511
75003,32945
72069,32970
69133,32499
67762,32369
68726,33070
70952,32904
70191,32613
75806,33235
72220,32567
66781,32307
74737,33316
70304,32218
71075,32831
72367,32611
72758,32712
66202,31891
68587,31396
75158,32083
70230,31412
74304,32071
72080,31310
76030,31446
67828,30290
67894,31597
70661,32189
70612,31608
71853,31619
68146,31480
67487,30637
68004,35864
69877,31149
70254,31683
76617,32825
72448,32063
66621,30776
73245,32352
71054,31679
70887,31873
72306,31992
72582,32259
67016,30869
68672,31426
76287,32659
70575,31822
74201,33066
72437,31640
76349,31853
68069,30928
67775,31470
70692,32398
74233,32255
71488,33152
68842,32635
68258,32619
67945,32842
70354,32720
70318,33091
75741,33757
72290,33297
66729,32413
73852,33328
71086,33071
71004,32942
71936,33146
71211,33090
67174,32618
68855,32671
76142,33584
70704,32804
74795,33694
