mark_time_ns,sweep_time_ns
14118,9459
11160,11534
8045,11543
7176,10870
7259,11329
7507,11030
7337,10916
7199,11255
7559,11003
7592,11236
7650,11143
7403,10990
7442,11070
7106,10978
7429,11630
7242,11171
7358,10985
6950,11144
7341,11193
7501,11035
7432,11083
7361,11375
7151,11128
7281,11279
7403,11698
7130,11259
7201,11230
7212,11380
7133,11308
7462,11031
7346,11083
7508,11069
7251,11300
7518,11358
7700,11295
7282,11192
7045,11106
7525,11275
7174,11082
7239,11122
7334,11291
7038,11191
7666,11440
7362,11231
7273,11402
7350,10952
6848,11046
7441,11601
7134,11276
7334,11065
7400,11226
7500,11305
7101,11274
7113,11314
7380,11030
7397,11485
7357,10888
7091,11503
7081,11059
7093,11290
7070,11224
7390,11335
6976,11256
7657,11305
7426,11106
7087,11364
7463,11164
7467,11518
7298,11367
7314,11533
7142,11190
7478,11105
7177,11219
7349,11315
7400,11172
7257,11438
7405,11332
7095,11564
7155,11413
7294,11233
7571,11381
7191,11431
7140,11667
7482,11091
7291,11434
6981,11422
7294,11149
7012,11318
7340,11370
6943,11411
7255,11298
7329,11253
7053,11303
7408,11066
7411,11245
7199,11278
7520,11158
7150,11265
7347,11387
6938,11445
7492,11323
7381,11331
7263,11856
7449,11653
7015,11097
7664,11553
7499,11442
7266,11475
7322,11408
7232,11414
7296,11475
7033,11612
7524,11542
7493,11599
7440,11461
7409,11647
7402,11416
6949,11757
7088,11731
7380,11352
7249,11308
7404,11503
7206,11371
7218,11639
7162,11506
7689,11433
7275,11702
7069,11208
7152,11786
7363,11487
7329,11377
7006,11608
7326,11659
7265,11587
7192,11545
7273,11371
7254,11567
7360,11692
7141,11434
7063,11602
7187,11590
7331,11437
6992,11692
7274,11568
7144,11573
7389,11374
7498,11407
7280,11258
6977,11507
7402,11762
7390,11595
7402,11574
7165,11566
7391,11703
7335,11319
7122,11739
7067,11535
7248,11684
7904,12009
7287,11478
7070,11783
7167,11589
7398,11624
7143,11697
7301,11815
7340,11544
7148,11525
7221,11487
7262,11595
7192,11500
7194,11630
7246,11631
7286,11556
7156,11657
7012,11888
7150,11615
7071,11850
6995,11619
7500,11505
7265,11811
7304,11618
7228,11689
7201,11612
7053,11400
7473,11989
6869,11398
6906,11808
7183,11830
7312,11420
7248,11701
7262,11503
7266,11658
7440,11791
7464,11811
7395,11751
7267,11969
7539,11750
7277,11506
7510,11483
7409,11845
7432,11919
7446,11369
7327,11607
7612,12164
