mark_time_ns,sweep_time_ns
189098,4181917
199677,4153961
115095,4132797
55382,4111211
27492,4105378
357306,4138949
212477,4104824
132367,4088131
61435,4069026
34640,4066254
340623,4101020
213450,4075539
127163,4065106
58213,4052509
30614,4028373
359035,4084049
220427,4054807
125521,4045095
65846,4016111
35802,4033194
362773,4062944
219988,4047248
126675,4025261
65099,4017413
31644,4011654
356955,4046404
215833,4019201
132868,4013183
65066,4010524
34294,3975416
352576,4024227
215606,4016062
117460,3997043
