mark_time_ns,sweep_time_ns
22223,8067079
24399,8063617
22982,8047928
21316,8053068
22810,8061200
33182,8056494
31165,8051991
21622,8039156
34076,8062511
32649,8046520
82409,8061837
49550,8052354
184667,8048567
302116,8060058
256934,8035031
1149349,8057022
258107,8050794
22496,8051213
24421,8050959
20612,8053579
26208,8062221
35159,8059284
24499,8057795
20853,8046711
32443,8044649
34191,8068602
47388,8040947
115981,8030509
47553,8042891
505283,8047384
549327,8054007
2030034,8065745
253251,8052374
21415,8067283
21450,8046337
18875,8039619
19274,8047479
22612,8061954
19586,8059309
24251,8041817
24321,8054514
27672,8044672
26616,8059811
75397,8051187
48633,8042881
182481,8049750
347173,8051982
258052,8057034
1171693,8051436
269149,8031154
39149,8059357
26849,8048624
19254,8057313
22729,8043421
35008,8055388
28944,8040037
22723,8056951
34582,8034770
34180,8048388
30473,8038919
114172,8043422
49606,8074054
491353,8035091
540850,8059769
2039553,8078253
263527,8055704
17878,8049511
30078,8062046
20476,8052357
34799,8071273
21812,8056385
36148,8057634
24815,8052777
25153,8049717
35414,8053342
47315,8057467
117321,8045063
46016,8054303
469136,8046192
328795,8048363
541260,8054428
1832862,8060533
5071931,8077737
13635,8077348
17195,8066484
13107,8050236
13431,8062279
25919,8043668
33233,8055681
28424,8041779
25705,8060606
34000,8058224
44037,8065933
111629,8070361
46749,8045871
463251,8041862
273448,8050541
541232,8080801
1998077,8068885
4817518,8078305
22332,8081426
27031,8051050
20831,8068891
20313,8055909
26037,8060584
19472,8065346
28016,8050847
17303,8062257
33388,8057112
26599,8055054
74879,8068542
54505,8054790
182496,8063113
345293,8048313
251020,8050091
1170527,8062263
262652,8045455
30297,8054770
18992,8054215
14336,8057793
16205,8067064
29321,8055475
21576,8048895
14039,8066700
28264,8044033
27651,8047415
23990,8047667
107885,8051526
41319,8063991
479629,8050878
530894,8050624
1982748,8073652
251091,8055225
14091,8076675
21705,8069368
14555,8063355
29248,8048625
16721,8049038
31728,8064611
18531,8053888
19670,8062320
27613,8062903
43120,8064631
110274,8044349
41896,8051442
470643,8066352
263532,8065575
543395,8055560
1732249,8078047
5038190,8054537
13298,8066016
17442,8059837
15051,8049690
13006,8049946
22643,8058953
27989,8059039
20541,8043970
17286,8043900
40024,8320203
51504,8134487
129633,8211416
49212,8316497
533951,8252855
261403,8063557
531664,8062594
2017232,8056075
4825535,8081747
13121,8060858
