mark_time_ns,sweep_time_ns
105397,2065711
268046,2083950
351686,2078489
42465,2031513
199439,2042643
288517,2044833
27439,2021692
165501,2023769
246822,2013903
21920,1980164
151015,1994595
276469,2001090
355135,2001565
48528,1968409
188866,1989172
306683,1999578
22319,1953342
168512,1969780
276687,1974323
22938,1945959
156283,1968516
280402,1982924
339313,1957448
47543,1945351
190018,1951952
301167,1967499
22723,1934963
168837,1956185
285866,1961439
23507,1922560
155772,1951810
268447,1951924
346158,1964327
49149,1934654
186536,1949575
298710,1953840
30406,1919793
164403,1932178
279911,1951146
21688,1912846
147185,1929533
277088,1952166
344572,1949712
43115,1925695
186464,1917988
296920,1949653
30087,1907730
168163,1929928
277531,1923880
18248,1906414
157279,1912388
262967,1940353
354722,1953931
49625,1904124
192928,1927439
298927,1936191
27665,1911657
166327,1918458
284577,1941844
22181,1895188
150935,1928843
277956,1930059
352417,1941127
44451,1902530
182735,1927789
285752,1942932
29466,1906039
