mark_time_ns,sweep_time_ns
39671,34145597
79310,34104460
59184,34053779
58386,34063015
41725,34032697
47352,34023377
59726,34077312
40915,34032965
62966,34050200
52084,34131533
43175,34071072
85183,34002670
41483,34073872
66396,34060139
54873,34245062
38206,34046212
68750,34059925
54312,34069848
34943,34043869
58549,34089151
132837,34081467
30782,34062915
63899,34057902
49824,34079743
52410,34043440
37465,34026181
43433,34052316
38692,34014225
43611,34478282
61678,34023229
45032,34051785
61741,34056870
35885,34067721
114002,33995711
38342,34072406
60930,34034960
45225,34033008
72618,34052208
121336,34099041
109441,34086848
55843,34027707
60198,34057513
40479,34045807
51312,34055461
