mark_time_ns,sweep_time_ns
98463,29612
53735,16869
50276,16638
45401,16004
44799,15812
44590,16002
43249,16008
10031,12343
42348,15737
42512,15984
42850,16120
42472,16127
41203,16207
51392,24729
44682,16480
9446,12553
42132,15772
44858,16160
41835,16055
43703,19085
44520,15713
42298,15850
42117,15892
41989,16269
15734,13472
41736,15895
41323,16140
40405,15924
41163,16395
41979,16013
40211,16016
41144,15712
42401,16040
48916,16750
21234,14865
40911,16072
40100,15769
40418,16111
40271,16333
40930,16248
41026,15876
41537,15894
12379,12896
40704,15812
40227,16071
40848,16465
40624,15842
40427,15801
40825,15460
41794,16140
11233,12431
41025,15596
40597,15796
40648,16066
40488,16407
40638,15730
40749,15537
40071,15639
10351,12472
40987,15436
40238,15933
41349,16366
39901,15943
41495,20778
40950,15766
41646,16022
41777,15341
55331,16694
51011,16849
19202,13903
40222,15624
39611,15447
40523,15732
40470,15947
39909,15812
41228,15810
40970,15600
43295,16308
16198,13320
39669,15699
40875,15704
40989,15990
40394,15998
42166,16010
40715,15935
42050,15995
9455,12467
41041,15700
40139,15642
40458,15860
40183,16184
40061,15563
40473,15802
40451,15910
41937,16066
16044,13642
39688,16216
40332,15425
40068,15862
44249,17691
43734,17237
45401,16714
43733,16970
46586,16521
50910,16666
52137,16964
18709,13812
40933,15591
40606,15657
39871,16156
45891,16450
40702,16004
43502,16241
42675,15853
10995,12788
40406,15777
41041,15945
40123,16070
40383,16070
41107,16218
41045,15835
41289,16091
41310,15878
16129,13398
40610,16315
40261,16289
40334,15927
40147,16217
40338,15977
40403,15700
40235,15833
13044,13125
40534,15806
40293,15941
40346,16033
40659,15817
40247,15829
41266,15562
40805,15960
10758,12490
40453,15570
40380,15708
41328,15807
40809,16487
40932,16044
41147,15448
40263,15773
9995,12496
40236,15506
39988,15924
40560,16219
40280,15982
40815,15675
40621,15881
41310,15967
41651,15496
68333,34364
51140,16890
19056,13938
40112,15765
41200,15794
40388,15852
40384,15932
40523,16050
40456,15570
40961,15528
43014,15850
15721,13457
39387,16016
41590,15854
41118,16115
40652,15951
41956,16024
40734,16179
42088,16066
9448,12665
40372,15695
39930,15741
46383,15994
41483,16726
40552,15657
41256,15976
41000,16037
41594,15665
16551,13725
40322,15810
40425,15552
40385,15986
40655,16302
40234,16061
41373,15797
45041,16028
45851,15895
50718,16727
52099,16999
18283,14090
40987,15670
40827,15571
39794,16045
40505,16393
41110,15888
41404,15666
42485,15702
10591,12768
40688,15742
41172,15677
40783,16207
40726,15942
40840,16046
40737,15849
41090,15972
41088,15567
16335,13394
40719,16272
40629,15823
41099,16091
40323,15829
40526,15898
40446,15932
41345,15857
12535,13105
40456,16036
40098,16001
40481,16113
40316,15974
40445,15856
40979,15458
41173,15903
10411,12368
39986,15563
40159,15827
40449,15866
40662,16296
40623,15791
41228,15635
40570,15988
9980,12522
40802,15565
40163,16174
40929,16341
40144,15891
41248,15678
40401,15953
41817,15977
42231,15529
50588,16567
51232,17006
19064,14427
40175,15655
39909,15567
40234,15659
39921,15978
40499,15787
40763,15671
40793,15632
42698,15756
16225,13268
39743,15797
40667,15755
40834,16018
40501,15894
41644,15850
40436,16192
51824,17366
10386,13465
43653,16791
41520,16327
42695,16308
41273,17130
40209,15662
41053,15779
40243,15654
42149,15761
15966,13729
40070,16227
40546,15881
40095,15876
40318,16221
40580,16155
41038,16097
40824,15972
45306,15970
50418,16747
51941,16869
19765,13875
40794,15599
40366,15618
40505,16024
40670,16364
40336,21461
40854,15636
42044,15815
10288,12666
40433,15716
41120,15792
40311,16485
40753,15948
40646,15899
40371,15857
42119,15893
41792,15667
16796,13420
40313,16119
40153,15806
40661,15948
40304,16163
40515,15904
41127,15696
41072,16052
12570,13024
41821,15804
40298,15874
40774,16331
41046,15786
41637,15702
40758,15537
41554,15848
10754,12596
39936,15407
40491,15663
41091,15907
40745,16407
40778,15689
41423,15564
40497,15617
10285,12514
40985,15529
40655,15964
40676,16055
39985,15852
40880,15558
41555,15875
41654,15894
41715,15654
50225,16356
51229,16848
19056,13851
40246,15888
40256,15320
40020,15647
39930,15879
40345,15843
40893,15571
41329,15613
42738,15684
16133,13315
41633,17223
45797,17857
42552,16632
40449,16037
42205,16133
40801,16313
41549,15850
9270,12460
40635,15658
40100,15762
40898,15935
40679,16198
40162,15551
41252,15716
40560,15782
41903,15889
16336,13589
39770,16001
40923,15650
40487,15750
40166,16259
40088,15896
40953,15797
41023,15817
46094,15927
50372,16539
51548,17007
18708,13840
40311,15576
41455,15623
40998,16223
40961,16352
40367,15958
41057,15786
42433,15757
10477,12706
39811,15584
41261,15686
40213,16072
40599,16025
40879,15993
40257,15853
41452,15901
41234,15600
16728,13430
40119,16226
40538,15711
40892,15890
40283,16081
40177,16005
41205,15854
41061,15839
12702,13066
40366,16020
41036,16138
40546,16286
40957,16099
41012,15958
41122,15685
41413,15844
10891,12447
40557,15437
40318,16005
41031,15873
40697,16571
58732,16741
40942,15475
40310,16293
10339,12611
40697,15554
40119,15945
40937,16345
40282,16103
41435,15640
41425,15857
41533,15825
41026,15366
50161,16467
51590,16831
19321,13963
42810,16775
51426,16479
42752,16986
42455,16836
42448,16774
43493,16670
43100,16501
45444,16654
16899,13997
41862,16717
42923,16476
43626,17025
44489,17250
45068,17037
43938,16916
44270,16835
10021,13243
43420,16846
43093,16723
43488,16716
42483,17115
42341,16356
43281,16645
43011,16637
43023,16189
16805,13660
