mark_time_ns,sweep_time_ns
35156,11021
51158,12839
37894,12586
17058,11382
18322,11199
20469,11281
63680,13493
33146,13027
44453,12905
51879,13239
24000,11640
57863,13197
57503,12884
100852,15196
45848,13192
37692,12903
57132,13280
63757,13898
35113,12630
60354,13619
30865,11979
26217,12036
25948,12158
23735,12127
36617,12665
41297,12606
35570,12281
56831,13309
41147,12406
45564,12918
29833,12740
47120,13025
43599,12673
59602,13514
17581,11520
31260,12113
25395,11858
22287,11336
30968,12419
29038,12397
39683,12410
60820,14922
41789,12515
29688,12028
54783,13703
54968,14965
20643,12061
22107,11651
54044,13344
31639,12390
31648,12949
39728,12547
47660,12999
28120,12137
32630,12407
17591,11681
33423,12146
86828,14752
42457,13056
34655,12445
27199,12571
35675,12790
50731,13143
23690,12135
28412,11933
18223,11412
16783,11781
38914,12669
27561,12334
31437,12504
58839,14078
54555,13710
69248,14272
30533,12364
46005,15867
32948,12522
40732,12784
41194,12748
29117,12036
21124,11823
48305,12516
19235,11801
51400,13235
37992,12538
20401,12060
43813,12759
28079,12256
38544,13157
35169,12777
24779,12528
28165,12908
21228,12383
41366,13428
28444,12413
45331,13815
16523,11563
28008,12611
22682,12257
33153,12354
21289,11895
23170,12109
66110,13624
33457,13431
43925,12945
51895,13628
23931,12134
55639,13487
74902,14717
86846,15334
75548,15241
67857,14927
88561,15125
26579,12227
31974,12344
55080,13683
33846,12596
27057,12142
43807,12754
28403,12201
25050,12169
33458,12878
33426,12522
31372,12707
24365,11984
36911,12897
52491,13659
37249,12896
26961,12357
48702,13061
52968,15257
58270,13976
41576,13456
32389,12594
28290,12368
42345,13442
23653,12251
41959,13009
33812,12715
55286,14101
53112,13757
42064,13347
55119,14055
40771,13369
47577,13872
21568,12656
20380,12451
32305,12849
55936,13689
34274,13105
53265,13874
18161,12132
55737,14115
22195,12110
27516,12707
25030,12771
18276,12255
30628,12982
52589,14088
57615,14670
31964,12675
52828,13925
27165,12847
36042,12808
24137,12641
68320,14099
19086,12719
64773,14478
53443,13715
60429,14406
74736,14774
95363,16492
17843,12462
60781,14349
79981,14809
26871,12992
32603,12864
49027,13679
31756,13384
16848,12103
18502,11851
20998,12319
28502,12964
31949,13177
38484,13275
28681,13136
64121,14226
37108,13203
24565,12385
32659,12807
54796,14295
46476,13748
39844,13179
55678,16971
30627,12949
35556,13450
23752,12610
37506,13012
37946,13433
38831,13265
18809,12057
51913,13439
32027,12840
27514,13014
38424,14309
29276,12882
60758,14511
15409,11763
25918,12512
17845,12158
54798,14071
38623,13293
27974,13100
30127,12492
59683,14139
24204,12469
27835,12653
55698,13771
19767,12335
79535,14919
40567,13965
33593,12319
26461,12470
16917,11215
46172,13220
21327,11795
31197,12560
40459,12748
30337,12109
45746,12948
28621,12210
25548,12364
33117,12721
33856,12264
64374,14648
89969,14763
28795,12319
31206,12355
26130,12384
38557,12507
44597,13120
51002,13815
56667,13414
35792,12965
39992,12856
50233,13082
64308,13567
46708,13407
64105,13816
31987,12526
46823,13346
52568,13177
63435,14806
16786,11786
77610,14637
24333,12254
61937,13839
41503,12717
56154,13830
23987,12286
35942,12543
26308,12340
26580,11965
28361,12710
38154,12787
46289,13648
27701,12525
58054,14511
68386,14547
27143,12332
24056,12524
40461,12686
39167,12720
31813,12527
24039,12149
52324,13370
36111,12763
84436,16002
32962,13398
42711,13795
34483,12977
25749,13005
28258,12804
40731,14017
71759,15230
23754,12544
25665,12894
36150,12878
44093,15991
33772,13224
22876,12644
44806,13366
62557,14107
51020,13686
34225,12945
41278,12842
33504,13328
66441,14948
90564,16679
59144,13953
45390,13917
59509,13852
32187,13504
20314,12193
29259,13037
63528,14464
30783,13190
28592,12667
60111,13866
23365,12249
25022,12617
46687,13622
20588,12183
26869,12872
27105,12806
24111,12328
36919,13018
52513,14233
57424,15617
47246,13512
49182,13532
36215,13660
55174,14064
29979,12691
61020,14163
58983,14172
30401,12814
26586,12854
34748,13094
33151,13459
65018,14771
29001,12547
46559,13644
26983,12747
24897,12505
48617,14583
50366,13695
44364,13434
52972,13960
41591,13006
29990,12490
57877,14139
28215,12615
38114,13061
19131,11899
88409,15536
120622,16925
26063,12760
31296,13271
28165,12596
26085,13042
35361,13246
44821,13442
33263,13276
22549,12248
18819,12086
49774,13784
56461,13695
54638,13501
55983,13480
36274,12946
34512,12970
48825,13313
17994,12178
33367,12866
52729,14211
37678,13727
28269,12393
19462,12341
31011,12834
39204,12839
57623,14781
33063,12777
66349,14300
30372,12580
40258,13317
74460,15669
52201,13645
53662,13617
37063,13175
23826,12719
48589,14141
38926,13060
26997,12547
47899,13515
32652,13718
34713,12856
32434,12766
27352,12755
85393,15347
42857,13097
23974,12289
39710,13160
35756,13193
23460,12702
37779,13322
40844,13213
53375,13767
39601,12745
29731,12135
50842,13153
22322,11750
33220,12178
75447,15284
40506,12745
58318,13621
20057,11685
33980,12240
51183,13125
24758,12074
23971,12172
18601,11842
30320,12520
54150,13565
46987,13396
41921,12515
56156,13667
31237,12686
36044,12416
23866,12378
38139,12694
36972,12624
40141,12595
18583,11831
52772,13494
35114,12660
25873,12294
23214,12232
43638,12938
28544,12316
68334,14913
40105,12795
19800,11907
68643,14302
34548,12591
57206,13846
51665,13639
28548,12374
74090,14542
28358,12424
21601,12103
74554,14715
51510,13118
64286,14230
19708,12101
24500,12188
45802,13285
24553,12156
17604,11922
16386,11665
37930,12815
26076,12575
30773,12303
25482,11979
45213,13513
30736,12971
23061,12060
41578,13107
20339,11870
51787,13570
40923,13199
28658,12661
40679,13182
43466,13209
67130,14995
51703,13399
21309,11957
22073,12009
41750,13089
28266,11920
25168,12457
34604,12944
34239,12979
31001,12642
24276,12005
39696,12793
52778,13697
37879,13350
62632,13706
27972,12485
31932,13090
33654,12681
34713,12868
26059,12592
17335,11936
35496,13040
43767,13250
49770,13554
25121,12397
23652,12609
36173,13462
17187,11928
18506,12183
38122,13212
45243,13507
56682,13658
23024,12517
31992,12749
56780,14287
42408,13201
39740,13082
20520,12187
64072,14155
17827,12071
37093,13309
30390,12766
44544,13627
59450,14062
22497,12459
43030,13344
39838,12866
19777,12025
45818,13467
21315,11914
20435,12682
27973,12630
26108,12422
45793,13432
33015,12414
22515,12202
39990,12972
20528,12122
28644,12924
28938,12754
25981,12736
35108,12991
44644,13282
32894,13606
44888,14344
34459,12869
27428,12356
56613,14413
28729,12668
39386,13038
19967,12281
55836,13817
28237,12748
34501,13205
66659,14221
45140,13661
36045,13244
27595,12389
18149,12331
52705,13890
22777,12131
19818,12255
21763,12490
64840,14383
33498,13274
43847,13642
51938,13870
23742,12525
22861,12717
17872,12299
30192,12994
55464,14226
23720,12364
55308,14081
60975,14301
31026,12782
38476,13004
61466,14963
18841,11919
28637,12598
34423,13093
19131,12189
52112,13637
56206,14816
42218,13811
28758,13662
36370,12822
51559,13573
23335,12896
28887,12468
19139,12033
67026,14568
65590,14279
52354,14087
24056,12275
31463,12797
41006,14111
20001,12191
20968,12235
42250,13483
29369,12818
36238,13238
41102,13330
47681,13355
46562,14442
41912,12914
38009,13328
28666,13017
41370,13164
64370,14584
69882,14450
45090,13550
36975,13909
32999,13089
24984,12948
41430,13690
31288,13099
40282,13717
41741,13328
28305,12448
44925,13909
27732,12744
18112,12125
54760,13919
37508,13066
21170,12420
43273,13379
28561,12597
30654,13182
35285,12852
26772,12846
30179,12777
21479,12298
42255,13294
29005,12809
46345,14027
17127,11981
28079,12631
21289,12431
33096,12612
22156,12347
22516,12363
31254,13012
31901,13083
39136,13204
28971,12815
30857,13024
25814,12786
24679,13214
46955,13774
56530,14115
26937,13005
54559,13710
27010,12614
42112,13250
39825,12817
24366,12776
34410,12645
38318,13345
41364,14230
20715,12372
61284,14651
49950,13624
33390,12989
39905,14472
65417,14262
56391,14322
26664,12669
30588,12754
51785,14115
29701,12511
69767,14460
54553,13740
23068,12519
31889,12788
41134,13883
20903,15340
21482,12402
43168,13021
29485,12918
69290,14789
22191,12372
25476,12491
19182,12162
44002,13184
55031,13526
48305,13950
37091,13401
27368,12955
18650,12080
24064,12501
28070,12923
36024,13239
26925,12302
27790,13196
42317,13444
53276,14146
36856,13192
27290,13065
36889,13093
18506,12450
32311,12868
66456,14378
74132,15256
40553,13436
41413,13626
16136,12421
53857,13503
67578,14451
34784,13464
54995,13533
44007,13747
24347,12407
17644,12180
40674,13559
44599,13419
24239,12108
30552,12207
33254,12443
31259,12137
26242,12244
84316,14536
23838,11925
36182,12359
74190,15286
17854,11693
28844,12688
60815,13650
42196,12892
27737,15153
44684,13347
41029,12450
25172,11751
32068,12358
74047,14166
36291,12307
28958,12226
50863,12958
17602,11631
32596,12587
20845,11619
41648,12908
29008,12263
20315,11818
32064,12376
88807,15949
41962,12804
39127,12919
56406,13395
34660,12800
16562,11615
52587,13778
50398,13278
25786,12013
21789,12381
57663,13796
24444,12183
42772,13504
32696,12797
44985,13993
23065,12531
26858,12661
68526,15203
82699,15526
55078,13366
28889,12872
38013,12761
59880,14790
21648,12188
27611,12841
31954,13160
51747,13330
91417,16578
26389,12122
22439,12844
57306,14248
40206,13108
88950,16823
41895,13678
53911,13453
26989,12901
20363,12290
32720,12643
59961,14363
18389,12072
28985,13023
71697,15006
25281,12328
55391,14192
39017,13259
28665,13285
24362,12962
46650,14766
24021,12672
42814,13496
23953,12414
17137,12308
16552,12023
56735,14004
61609,14188
21848,12397
63704,14437
40586,13684
34630,12883
55481,14121
29548,12970
25287,12549
26718,12694
52216,13446
29273,12764
21731,12568
61882,14952
32068,12675
17886,12135
39103,12918
23630,12388
41663,13264
28601,12746
15952,12059
48488,13197
30562,12868
29938,12765
21583,12483
41862,13413
54136,14016
31289,12917
36184,13249
45566,13343
50136,14148
23756,12445
36007,12925
27760,12622
56979,13959
28120,12623
60693,14497
70842,15459
35359,13145
24302,12510
31087,12832
20631,12262
20043,12085
41248,13306
43838,12402
95500,16042
23747,12307
62277,13822
41383,12898
33070,12587
63839,14438
29110,12324
61983,14355
38174,12998
34439,12513
48877,13002
20223,11955
32943,12411
52445,14027
37929,13203
58743,13750
52284,13265
33206,12834
57356,13822
58265,17384
61995,14385
36346,12482
27353,12040
47566,13230
52427,13806
31349,12814
30291,12316
24341,12210
42340,13231
29557,12319
45226,13276
16238,11628
61843,13369
26031,12550
31832,12305
31581,12484
25757,12364
17182,11719
50686,13721
29578,12221
49653,13512
53201,13371
54982,14344
30264,12460
65444,14152
47823,13694
16971,11906
27014,12148
49044,13177
22388,12145
33793,12348
17037,11965
33935,12773
55655,13330
17701,11899
33347,12608
21997,12016
26477,11954
25602,12613
37586,14333
64082,14329
55066,14281
24425,12447
41009,14119
31378,12698
31454,12821
40161,13281
58116,14390
37680,12972
35200,13039
78360,16082
30314,12462
54824,14024
34380,12952
28622,12736
44388,13356
58515,13754
55102,13790
26199,12296
43250,14016
31025,12488
30775,12939
40639,12879
26737,12971
28626,12572
30428,12891
46997,14109
24673,12565
54312,14106
19179,12085
21692,12146
60754,14296
31393,12734
25607,12813
17984,12013
62788,14072
33664,12765
28664,13033
28863,12361
25371,12452
43649,13489
67422,14387
39261,13309
34001,13335
25253,12801
28336,12668
22162,12648
42330,13267
27815,12641
45846,13992
16461,11958
27736,12870
21323,12309
33181,13017
53011,13888
35701,13250
21790,12748
33321,13578
42354,13301
51473,14149
52952,13771
49632,13602
30774,12631
67517,14668
50357,13654
17361,12365
29819,12505
52743,13390
42425,12908
18502,12287
75210,14686
40333,13921
56566,13508
20921,12072
33763,13149
48200,13977
