mark_time_ns,sweep_time_ns
50065,15923
54757,14780
46950,14788
40605,14447
45793,14215
25368,14164
28216,13841
35591,13702
43128,13777
54076,14057
56429,14319
57144,13916
58058,13972
34341,14074
55326,13977
44160,14114
40219,14063
38103,13814
43035,13704
31518,14117
46848,13699
52072,14169
44207,14016
47351,14139
42612,13884
41213,13782
43899,13706
52522,13964
49594,14308
16337,13903
35416,13946
30769,14007
44902,13851
39778,13955
47769,13709
51321,14037
35226,14074
59385,13987
34658,13908
55211,14068
42419,13910
49642,13831
24295,14053
45436,13916
34786,14133
48397,13764
52256,14123
33966,14228
60301,13908
34691,13855
45350,14026
37133,13980
43380,13665
34289,13812
29488,13922
43490,13739
39593,13825
47671,13882
50634,13949
35901,13898
57856,14112
35055,13821
55551,13956
43329,13883
49374,13822
24883,13956
25816,13767
42028,14091
61642,13970
32156,13654
51309,13859
58829,13980
43464,13924
30641,13693
53532,13871
56151,13984
44068,13891
47574,13765
41093,13943
50338,14078
43291,13864
48416,13675
42743,13865
28909,13863
43210,13985
63060,14018
19829,13734
50950,13825
36057,13546
25105,13879
15893,13984
29777,13805
52088,13811
59229,13980
59349,14214
48312,13805
52812,13907
51419,13846
34146,13880
43694,13680
45798,14088
27866,13912
44308,13851
23218,13784
52590,13677
43128,14145
40819,13532
48758,14066
53504,13914
44883,13737
50865,13508
41229,13857
53061,13875
42599,13875
37297,13794
31144,13902
62056,13841
47045,14097
52197,13570
24957,13820
43048,13892
34318,13919
47460,13890
51488,13967
37680,15761
65809,15055
37466,14922
48851,14918
38602,14583
45814,14133
36054,14289
29907,14342
63877,14328
50441,14662
44530,14404
38271,14296
28627,14273
51980,14111
58126,14096
46421,13879
43971,14361
49598,14252
34986,13897
62673,14045
34979,14183
41418,14006
25416,13962
33288,13658
27430,13834
45712,14059
48425,13915
42919,14093
41793,13763
44284,13550
57434,13971
32657,14210
40089,13925
17451,13836
46483,13645
43547,14013
41620,14068
44917,13801
54346,14038
51134,14171
61661,22675
62464,13889
20518,33673
35012,13701
83394,13822
37232,13986
43912,13691
34401,13751
28797,13857
46770,14162
39445,13963
50612,14257
51585,14047
60282,14098
63349,14053
68884,14077
51133,13862
56585,13710
57882,13907
47240,13868
36196,13755
32917,13906
46181,13673
42196,13842
46455,14063
52544,14061
53621,14424
35824,13858
44204,13683
36652,13740
26467,13895
35549,13834
43412,13744
54079,13840
43110,14303
50911,13751
43290,14004
40542,14080
45118,13762
54388,14096
33128,14099
41771,13848
24802,13889
33241,13665
32963,13568
45157,14133
48105,13952
42977,14190
41588,13798
44357,13604
56455,14062
32917,13924
40005,13981
17793,13860
46721,13465
43254,14002
41818,14018
46647,14124
53913,13908
50539,13969
44093,13614
61549,13821
19703,13720
33538,13914
63562,13800
36746,13742
43949,13732
34167,13853
27690,13872
45425,13920
39460,14059
51170,14037
50832,13878
58738,14047
63375,13932
68959,14206
52240,13972
56502,13867
58520,14052
47490,13952
35734,13818
32935,14218
47101,13864
42466,13873
47280,13940
52137,13879
53209,14116
35836,13899
64890,22295
36114,13812
28775,14696
38075,14197
45225,14313
57433,14606
44370,14706
53071,14351
44628,14258
40447,14330
46310,14375
55707,14271
34200,14379
9567,22677
