mark_time_ns,sweep_time_ns
3440780,63681
5792520,89890
10379474,205618
3201335,164226
3212065,160457
3161593,163884
3168039,162782
3174892,159866
3167399,153107
3176257,153361
3233011,150676
3174251,150310
3221824,149413
3224168,148981
3214123,146569
3354870,158290
3340617,373876
3452070,381060
32124,340459
3230759,383493
3228583,381991
3237939,374545
3283103,371167
3293718,371182
3248625,374328
3311306,367556
27066,333878
3268219,380956
3251605,372159
3263134,370997
3260304,369089
3314690,363761
3406176,370731
3926056,381398
6691872,429751
3179722,356089
3183692,383811
3322556,398454
3272622,383040
3293111,404432
3442059,388942
3263042,387898
3267592,383191
6684154,447224
3252003,393304
3254260,389329
3252578,380991
3251734,375143
3346382,376324
3273216,380338
3933765,386171
6531536,425729
3156966,349956
3164654,382837
3246207,380468
3216566,374132
3267203,371261
3412082,370880
3237051,369262
3255186,375525
6658658,448326
3262197,393942
3249326,387516
3246027,378665
3234936,378684
3310899,382881
3379759,380434
3991388,389390
6577599,431283
3158868,351172
3253787,395882
3222136,390379
3231555,379656
3261231,376947
3396242,380843
3236002,372989
3251231,376659
6602947,448194
3266079,391093
3262140,382121
3245418,378924
3253648,373714
3281327,381159
3419053,383681
3953917,393555
6586671,430741
3182384,358515
3203450,388228
3202818,379704
3222093,377286
3263559,379474
3400935,377211
3232414,369682
3242652,385256
6688342,449563
3277372,389467
3252636,383114
3259006,377674
3254132,375521
3349183,391614
3485990,390180
3932687,395515
6615855,433878
3213127,367037
3216741,395818
3241412,387613
3214409,378444
3264955,376249
3398660,372919
3236261,371791
3248904,377467
6599988,442292
3268683,395824
3365480,386021
3269369,377892
3324294,375079
3361843,381860
3300814,378818
3957550,387786
6606474,432155
3150750,348146
3174911,379636
3195124,377340
3209120,373859
3255592,368255
3411795,375199
3237269,367725
3245702,374035
6682629,446397
3233872,389639
3257523,381425
3285634,409366
3270390,373812
3300371,378258
3374223,383973
3955509,385651
6685473,444730
3204596,368507
3157953,391142
3183184,382287
3199288,379400
3269964,370952
3388171,377371
3222436,369909
3268008,373577
6604392,445616
3261269,388241
3292847,381380
3277396,379164
3412051,373769
3284868,385165
3384746,381664
3952168,386105
6579311,426374
3186000,350114
3180912,383787
3196909,378532
3214223,373382
3258030,371399
3391524,376272
3246945,369137
3253859,372735
6679556,446262
3275621,402353
3260509,384043
3244648,381012
3260387,374025
3303886,380336
3389696,380562
3998674,403890
6656366,439594
3191268,356624
3211965,386382
3194698,378821
3220327,373829
3259075,376775
3435699,370605
3239187,372103
3252096,373375
6727195,447294
3269270,391325
3278633,386514
3262702,376768
3267917,375514
3346876,381238
3293702,378069
3969228,386810
6614339,424644
3149002,345118
3174132,380646
3198591,377982
3216939,372584
3371497,371590
3448272,373708
3228118,369858
3238458,373349
6662821,445498
3238714,390039
3254538,380172
3251933,377800
3266097,375815
3296812,378387
3422575,396054
4007053,406327
6686277,443387
3228120,356159
3174226,384876
3185229,380227
3223185,378155
3261701,371101
3377918,373330
3221945,366189
3237783,375442
6605549,446905
3263938,392619
3265066,385074
3241342,385000
3267858,374238
3277495,384706
3391962,386093
3977525,394886
6625873,431660
3144188,351464
3173835,382791
3221189,381871
3213771,376025
3261349,373676
3398697,373677
3236044,370634
3246577,375802
6690967,445661
3273080,393211
3253539,385906
3254301,376261
3261154,375970
3314579,395346
3395267,394013
4000079,400517
6659063,435468
3187638,355598
3224934,385684
3200306,379253
3218496,373686
3270244,369677
3394517,372170
3233093,376083
3253702,373787
6606488,446653
3258235,390706
3275776,381234
3265569,376206
3270691,376423
3351029,380090
3374470,385161
3963733,388795
6604705,426729
3190611,346127
3173357,386634
3202456,377841
3213353,373195
3260952,372838
3417104,369536
3235478,366622
3249601,379858
6660584,445660
3238917,390938
3258906,384816
3246962,376776
3313749,392253
3354049,399801
3424231,397094
4095390,399977
6634051,432513
3140274,353864
3162746,381846
3188606,374236
3198439,377305
3263504,372583
3385882,370822
3223297,369986
3231783,375844
6619977,450388
3268938,399139
3263908,386427
3341994,379188
3299696,377093
3283583,382971
3380240,384602
3948423,387770
6582662,427102
3148097,347358
3177732,381377
3194360,377804
3213824,371088
3262411,370116
3401370,372370
3230414,367179
3249386,368840
6736789,444669
3271170,390055
3261196,384120
3336102,395751
3290862,390493
3347557,386753
3425651,389871
3939060,389704
6561376,427361
3154924,350943
3178758,382614
3207133,377081
3217271,373927
3264180,376053
3403801,373754
3238880,370175
3290267,375881
6601553,446458
3261177,387766
3327669,384974
3261610,377886
3277547,373863
3352940,380169
3292124,387093
3965085,387153
6614778,427808
3144998,346824
3175794,384754
3196639,377673
3209356,375280
3262045,370646
3414945,370384
3271928,369293
3244848,373746
6659476,442741
3260840,440599
3304021,396047
3296769,389747
3310625,381612
3395059,387604
3386994,381255
3946384,387550
6573486,426896
3153875,345760
3166361,379941
3190944,377195
3200253,374398
3263886,369687
3414834,372236
3230397,370462
3237905,372739
6648160,444997
3269585,391105
3274833,381367
3267156,415374
3261577,380084
3305880,381692
3386944,382293
3943816,388498
6578010,429458
3151642,348319
3177038,387003
3206104,377438
3206242,371616
3296300,375511
3487487,370499
3234725,366930
3243600,371797
6847732,466416
3360276,408242
3339949,397113
3341847,389955
3333966,381799
3298261,381483
3375285,386412
3945316,386465
6563027,424785
3153395,348122
3267981,386130
3202773,374439
3250028,373343
3264512,376417
3396807,370031
3238230,367040
3250691,374504
6600358,441087
3274777,391844
3277952,387266
3277744,375576
3283007,371858
3356611,381433
3301189,382737
3968631,388104
6607135,431129
3147806,346113
3177075,380223
3260715,376403
3206213,374118
3255118,369844
3416747,367340
3229803,367473
3361571,380093
6746823,460760
3237906,398089
3248619,389600
3252031,378709
3265117,379309
3301294,381432
3382635,380098
3946624,387695
6579213,429975
3145113,350759
3194099,385644
3219022,379580
3359666,372942
3266244,370618
3399639,431728
3225286,395326
3236781,392918
6657893,463034
3271980,396826
3269245,387215
3248427,387107
3263351,376212
3279904,380742
3378996,384082
3951535,392017
6582416,427408
3183147,349344
3187667,384957
3198078,379227
3210989,372195
3259638,371739
3399777,372784
3434759,388082
3286449,390262
6786554,451325
3310765,394031
3302337,390962
3294113,381997
3303425,375601
3311283,378718
3385515,383517
3943895,386510
6611636,426022
3150092,347021
3178736,377912
3197997,373905
3208924,374020
3262847,368196
3404168,368300
3234106,363869
3246207,373445
6602733,442223
3263940,395465
3295094,386542
3261762,377990
3366211,375537
3355919,383855
3301199,380263
3961607,438224
6600541,430725
3156521,345998
3171671,379417
3197383,378511
3211044,372524
3255417,368948
3459501,385368
3245697,407053
3252293,381884
6739634,453350
3238795,391291
3251413,384776
3274199,383374
3273671,375961
3296857,377990
3382145,383173
3957403,392121
6575897,428214
3143934,352690
3169243,388662
3192728,379865
3195247,374298
3269439,370579
3393143,377536
3221990,374924
3230344,380996
6652191,453151
3270361,391207
3291491,387169
3253462,382439
3262988,375340
3272316,381766
3386972,384032
3947060,387916
6584644,424127
3146789,348882
3181747,381609
3183842,378347
3209821,370895
3349913,387033
3447466,380396
3271040,379379
3290684,380458
6792572,449997
3261055,390287
3261382,385418
3253415,377454
3251459,373871
3303034,381830
3384909,383894
3951415,388019
6555952,428485
3154430,347381
3175450,381103
3200746,375798
3215046,374423
3266869,372784
3397962,375553
3239403,367992
3249579,371387
6637101,446803
3268318,393080
3276613,381076
3269799,373316
3278710,373596
3356600,379079
3291464,381474
3965907,393663
6606653,430040
3150561,353250
3176701,383404
3196797,377156
3271613,389592
3308049,391205
3464590,382745
3271616,378067
3310158,380787
6658050,448295
3239039,389297
3256320,385954
3254247,378957
3266820,372218
3308537,377176
3380610,382606
3954480,394739
6582010,432517
3146993,353006
3165437,382883
3282007,377019
3198983,376675
3269461,372059
3386003,371493
3219082,406188
3238390,377874
6609667,444740
3254698,388070
3274448,383259
3254793,376935
3254583,375465
3274385,380995
3389327,380760
3955265,385855
6588174,431082
3137344,347694
3161609,384175
3258632,395208
3254077,383729
3301114,380213
3442201,403866
3232654,370360
3245839,376386
6683605,449430
3271109,391659
3255979,382483
3251748,377997
3261046,376391
3312091,380202
3386365,379645
3944305,389175
6563124,425240
3147568,347390
3176724,381716
3202847,373791
3213921,376528
3261696,369112
3398962,374959
3237093,368938
3251137,372949
6603324,446800
3273510,391585
3283220,381381
3267710,377040
3262474,369910
3353533,379196
3303391,384344
3953765,388793
6596622,431437
3189659,350576
3191551,397981
3210647,394985
3211057,382614
3256085,379705
3400690,375414
3232645,371070
3247646,379161
6667497,446303
3234064,389217
3259452,381336
3242606,375566
3269868,373888
3305883,379886
3382290,383046
3949416,390681
6614073,431736
3146804,348531
3159394,384162
3186244,380061
3200456,378738
3272756,374360
3391560,377021
3230760,372356
3241893,378763
6613951,447583
3263800,389553
3266437,387498
3247722,373924
3258208,372940
3359634,381812
3389701,382737
3983027,394226
6590271,428715
3195002,362382
3221685,390887
3241388,385844
3248867,381558
3300364,374732
3400495,374514
3233450,367476
3250986,374980
6689101,444786
3356826,388971
3260067,384940
3252030,376087
3257973,374538
3307502,379760
3405642,410254
3941812,389276
6564271,427931
3143943,345420
3185264,382531
3195245,374957
3218473,370529
3266229,371887
3392788,371857
3244656,367787
3250258,377036
6593473,450272
3270413,389718
3348076,383525
3264900,381431
3270628,374040
3351987,380176
3301476,381449
3962450,390957
6733873,447494
3159422,363936
3174654,390047
3195877,383045
3214309,378856
3255103,373958
3409508,372600
3240211,370123
3242075,375573
6654251,441264
3246363,389467
3280140,384254
3247425,377237
3283522,374966
3307604,380632
3385736,382145
3955458,387625
6617751,430791
3149243,352235
3162627,380471
3190945,376954
3206074,375657
3265611,368601
3381068,373760
3226641,369976
3238877,375369
6657190,446774
3290278,391556
3264117,383295
3250976,377883
3263566,376071
3267570,377221
3385590,381074
4014182,403666
6677980,437025
3186986,356206
3218867,388220
3205987,378923
3216290,375771
3265123,373681
3405422,372833
3233791,367773
3339446,425717
6689415,447889
3275189,389591
3260041,382578
3254785,380174
3261035,373414
3313677,378815
3383469,381316
3948333,391594
6563118,422286
3147741,352545
3174937,377935
3196069,373334
3305746,376861
3300209,373191
3399921,369992
3235339,365023
3249911,374746
6599273,446013
3259810,392351
3276372,381137
3270069,374524
3266398,372814
3353985,380256
3353070,399224
4024115,402545
6797881,440166
3193044,356729
3170154,383721
3190678,379960
3207365,372789
3258525,370687
3411457,368868
3226435,367443
3244228,375262
6667567,446373
3236825,391848
3247584,385640
3255762,376894
3265975,374378
3298342,382942
3380189,384802
3954689,389759
6580460,431771
3144202,350475
3197828,396212
3189816,379746
3196506,376581
3272744,374478
3389646,375405
3225411,371110
3235080,372250
6607654,447809
3265902,389021
3263589,382588
3253239,378532
3363494,388853
3330485,391131
3435909,390841
4001711,401611
6698879,431263
3149090,348278
3183214,379739
3203336,377215
3213616,369971
3261954,371946
3393690,373203
3233114,368480
3241159,377865
6678142,443379
3267985,388236
3254140,381950
3254029,375752
3263173,373231
3301365,381877
3383237,378444
3942697,386351
6593055,423323
3147523,343836
3179623,377948
3197304,376947
3217083,371719
3264153,368989
3389067,376356
3237240,371962
3247371,375557
6588499,450009
3277265,392696
3279468,381526
3410792,394342
3317105,385051
3394299,396766
3421983,393530
4014750,390924
6609327,429203
3147496,350265
3171258,382014
3193154,378200
3214348,373016
3249361,367172
3415788,372598
3240512,371921
3248095,376563
6662459,449548
3261582,394248
3331915,383208
3238229,378869
3237780,375529
3295659,383144
3422163,382957
3949365,387164
6592046,426488
3156658,347989
3198329,381883
3206315,375961
3213493,376942
3261335,374249
3405949,373031
3235622,364237
3252218,374175
6606463,445189
3261214,394827
3319671,397000
3298453,388403
3309120,380062
3335778,385574
3389110,380120
3938396,387257
6624782,432811
3147344,347333
3174918,377245
3196260,379969
3213793,377234
3261604,377722
3395828,372412
3229644,369613
3245891,378237
6700835,449337
3270586,389629
3269270,380667
3252803,377102
3258243,419922
3308313,381133
3387325,379570
3941764,388833
6555917,429697
3149452,352183
3177566,385198
3203240,379761
3217970,376028
3266323,369975
3396659,372953
3240015,367282
3236384,375872
6655526,446290
3316814,404748
3280890,393982
3273321,386050
3293561,382287
3361507,386542
3291843,381615
3970893,389609
6611777,428192
3155165,348120
3177751,382906
3192234,372949
3210803,367177
3257187,372474
3419102,374375
3227082,374040
3272214,374206
6744140,447229
3228666,391223
3249647,386398
3253431,378545
3274304,379002
3299676,382017
3401771,387503
3955586,391152
6604568,430803
3127958,381705
3210542,445053
3200524,426365
3201839,413959
3353688,399291
3383716,392387
3254266,387863
3332255,386466
6918558,478942
3443167,416339
3435284,407170
3333163,487979
3301178,387243
3327435,394776
3426120,395380
3982718,399462
6586723,437380
3145834,353487
3174125,386525
3207489,382220
3212788,376064
3353934,374032
3484643,374686
3230653,369471
3237393,401979
6722729,451006
3270295,391564
3259950,388181
3262730,377199
3260598,376566
3385738,381578
3376806,387560
3948084,390481
6636206,426755
3236370,348730
3268136,385550
3200598,377218
3210757,377241
3260874,374422
3395743,374146
3232252,367661
3306749,396393
6705887,490389
3344522,399932
3305784,395774
3286003,383689
3356253,378349
3447301,384661
3299685,386417
3959970,391498
6617738,431134
3141741,351459
3166547,384179
3194099,381358
3236517,382335
3250750,381123
3412611,375854
3351774,370800
3332634,379739
6756636,448008
3350906,390339
3248365,385756
3238889,378268
3269409,372678
3297488,383509
3376353,386340
3958097,393840
6591779,435709
3135249,361901
3165181,386993
3277386,385832
3289063,380741
3276003,375161
3461753,386996
3272006,386004
3278806,383325
6690656,450478
3273799,396756
3266496,385072
3253836,379413
3266188,380630
3281969,380310
3479274,389263
4030011,389754
6665625,426280
3138669,438894
3181039,382682
3195590,376579
3207896,379097
3266011,373409
3400533,373473
3242151,369621
3278011,376525
6775746,444895
3267701,389301
3345202,426409
3254674,463605
3258631,374023
3295834,381555
3389199,385832
3949811,389496
6558401,430035
3145165,351592
3181827,383663
3194827,377216
3221821,373192
3399280,382697
3398130,468795
3296083,381579
3244525,386877
6627608,450093
3304751,393109
3284474,387335
3273077,379457
3263162,374560
3355962,391033
3296979,384561
4056530,389469
7365732,430788
3245821,349539
3253609,382082
3199811,380023
3205522,378130
3285719,375932
3456412,377224
