mark_time_ns,sweep_time_ns
14430,8518
8683,10980
7936,10671
6932,10742
6754,10728
6369,10683
6802,10596
6776,10724
6321,10665
6165,11095
6246,10751
6239,10898
5906,10795
6111,10826
6325,10738
6375,10815
6058,10598
5752,10555
6036,10573
5684,10751
6019,10614
5920,10511
5827,10510
5770,10601
5765,10605
6073,10729
5694,10739
6099,10761
6261,11062
8369,11234
6661,10957
6111,11075
5984,10846
5787,10893
5805,10875
6026,11149
6126,11127
5932,10864
5871,10637
6286,11072
5797,10911
5806,11076
5703,11023
5368,10977
5926,11019
5805,11303
5599,11236
5479,11406
5814,11056
6139,10926
5944,11200
5809,11179
5912,11055
6097,11161
5972,11096
5623,11001
5533,10967
5883,11031
5871,10938
5769,11264
5648,11463
5721,11427
5884,11472
5861,11518
5728,11144
5795,11173
5415,11235
5536,11022
5534,11379
5505,11375
5536,11212
5769,11470
5622,11170
5677,11089
5883,11138
5608,10843
5571,10872
5205,11336
5634,11146
6046,11393
5749,11102
6018,11516
6363,11335
5703,11179
5945,11115
5816,10933
5971,11056
5934,11267
5847,11049
5886,11239
5527,11539
5611,11197
5410,11571
5618,11256
5877,11169
5965,11196
5805,10931
5767,11277
5768,11285
5458,11252
6363,11449
5990,11242
5907,11125
6012,11053
5822,11309
5620,11094
5943,11312
5991,11168
5957,11025
5931,11039
5752,11116
5854,11047
5831,11122
5837,11405
5474,11393
5857,11293
5294,11331
5726,11174
5370,11140
5792,10944
5937,11177
5680,11573
5519,11117
5676,11434
5339,10889
5858,11033
5543,11393
5485,11284
5721,11397
5265,11796
5636,11381
5448,11205
5551,11309
5434,11553
5454,11503
5730,11197
5558,11788
5384,11178
5275,10896
5882,10946
5405,11228
5511,11488
5356,11471
5425,11434
6006,11070
5988,11399
5958,11341
5601,11455
6172,11229
5448,10956
5856,11111
5599,11431
5593,11149
5146,11698
5432,11197
5681,11109
5468,11241
5422,11356
6166,11064
6013,11471
5644,11275
5826,11275
5947,11384
5598,11225
5681,13850
5813,11373
5802,11137
5623,11361
5409,11119
5964,11266
5518,11174
5529,11634
5686,11238
5663,11201
5350,11023
5418,11155
5611,11213
5279,11219
5721,11015
5674,11138
5786,11418
5605,11432
5749,11235
5876,11237
5883,11209
5456,11138
