mark_time_ns,sweep_time_ns
60489,4051992
42712,4049181
36523,4021002
101850,4011563
90545,4001896
39688,3991392
58255,3982560
47288,3976687
53820,3968641
73033,3958477
164839,3969669
84400,3953147
42291,3953625
36736,3956581
56513,3946849
108112,3948625
126380,3943511
55207,3956239
91122,3934680
103321,3931405
42621,3931415
47035,3921599
72912,3914629
32088,3925632
54476,3919543
46001,3921474
52686,3915139
35950,3912748
154197,3930729
53608,3918207
62377,3908505
46159,3915967
55748,3925716
93165,3898128
43085,3920903
95804,3927709
53344,3913585
38503,3912387
68913,3913329
52967,3921039
104503,3916048
69242,3919585
72923,3910906
61841,3916452
96897,3907942
43211,3920223
100372,3929320
92927,3921739
101035,3918342
50251,3916215
86604,3919330
121548,3917581
102756,3913527
58198,3912758
52263,3914440
122032,3907403
49472,3915597
36012,3907114
36273,3900962
86505,3908693
56641,3907157
31862,3897828
50473,3913228
101096,3923604
38117,3906744
84283,3919038
102970,3917638
40225,3915644
39624,3912336
61704,3909252
58680,3931534
61075,3904315
37572,3909596
65724,3908672
72177,3915674
47339,3900778
37077,3925056
52299,3909904
44632,3917416
35635,3896204
57996,3916459
57980,3911069
38620,3904262
46439,3904946
46759,3915542
159934,3910791
156374,3914113
59758,3911660
48623,3904229
56892,3908884
40333,3906286
67668,3909127
71668,3907805
118723,3915063
46464,3924838
48999,3905214
44217,3908268
159883,3927509
90950,3912740
40104,3907789
48241,3916175
101203,3926583
46817,3907280
49528,3903764
54169,3914677
36243,3908823
32702,3913151
112961,3918172
55866,3902097
36328,3904194
52050,3897953
56680,3906005
64671,3913993
50753,3904237
41657,3914689
78158,3887490
96354,3906615
36470,3912099
32841,3918204
25754,3905018
36907,3916141
52227,3914994
90614,3903417
75389,3913320
35327,3915777
45275,3910160
33689,3915880
78408,3924123
116698,3917106
49835,3907736
45495,3919486
43069,3908512
146888,3901516
57154,3915590
84858,3921651
39322,3903273
88868,3917254
48095,3912167
31770,3909363
67905,3925956
47098,3916999
102470,3918032
66087,3901076
74934,3928501
56794,3908698
90752,3920216
111960,3892621
30456,3902080
35186,3907087
78764,3907685
38056,3900290
55270,3920858
46917,3917717
99358,3913948
78155,3908128
38410,3901840
60080,3906354
120998,3928967
36935,3916844
46929,3905480
39398,3900153
59591,3913196
59665,3913142
147031,3903124
58188,3910805
129319,3908677
85369,3910667
38283,3919076
60460,3920937
126065,3928968
43043,3919654
54329,3911838
43762,3900886
53370,3913834
61196,3908892
149914,3899757
50995,3900060
118537,3911320
108503,3904177
58246,3906995
117477,3915698
41726,3891181
48300,3909910
44377,3904833
28469,3911216
45714,3911745
48965,3904360
56936,3896012
42680,3907337
110007,3910188
70338,3906015
90612,3892503
46545,3908232
64538,3913513
37992,3913050
45097,3901187
51179,3917616
41018,3902505
60576,3912912
62076,3913428
47585,3904209
30660,3914652
42983,3919705
38955,3911543
35410,3921071
53110,3911522
50411,3911049
38997,3910496
39976,3916313
45301,3918634
158872,3923560
79030,3915942
40009,3914980
41194,3927735
98551,3912254
48548,3925468
38065,3910059
54503,3907757
34788,3911608
34439,3913648
109723,3914137
51481,3905541
38158,3913967
43013,3919879
52267,3913513
58688,3920622
48280,3916649
36306,3904805
33983,3905147
98374,3908129
84800,3916380
34089,3904949
51104,3918583
39337,3901291
47313,3923729
59535,3916177
138749,3912640
74947,3913165
34377,3908891
29330,3896306
45749,3915559
109341,3921932
56029,3920492
112103,3927725
34486,3911983
31677,3899940
130819,3910191
68817,3908874
61001,3901445
28640,3897789
52512,3911141
34948,3913247
44579,3919019
33068,3907728
139251,3919370
49406,3921528
58115,3912535
38326,3916446
50111,3925586
79149,3914260
33552,3912480
84588,3919267
43256,3912437
33399,3907786
58942,3921850
41676,3897971
101948,3914232
61311,3911308
69478,3916176
48748,3908453
86958,3910969
33377,3910132
99087,3921389
82339,3915715
97450,3932525
43267,3919794
76472,3910123
115910,3924102
89893,3912146
50024,3904054
46436,3921486
110878,3913564
43638,3903004
26396,3902184
29142,3909676
84594,3915968
51401,3905661
25808,3920555
42187,3916983
93585,3913427
28001,3916089
80539,3907501
94279,3911271
34686,3896673
31354,3899558
51988,3911334
50757,3917930
58735,3911973
29168,3918723
59326,3911054
58346,3931282
41285,3901155
29495,3920002
40961,3914457
39709,3909352
29561,3910410
53077,3894309
51709,3908537
38803,3903334
41592,3900517
40285,3902159
161168,3918093
146470,3923413
53394,3922441
40538,3892998
48015,3916877
41356,3898642
62687,3908308
69551,3909282
110512,3908697
38853,3907433
40410,3914657
41317,3907303
156771,3906774
79481,3920789
38622,3914201
40418,3913863
94286,3912694
48282,3906396
38761,3898193
50570,3903593
29014,3911555
32664,3907110
112723,3908584
46522,3913637
35680,3909709
45104,4085661
51706,4064713
66858,4036083
49864,4003570
39958,3997195
74483,3991820
88909,3988394
35981,3970729
32553,3949292
25345,3950380
31000,3957370
45108,3945004
81585,3945024
71267,3937834
34976,3941410
40297,3917211
32445,3937152
71878,3939390
112788,3941043
41311,3932905
40101,3931941
37161,3927897
141557,3932911
52231,3926329
78748,3934473
