mark_time_ns,sweep_time_ns
186169,4068953
198188,4038344
112831,4028599
60196,4002329
31916,3994769
342777,4012818
217143,3993851
121806,3976838
63067,3964958
34132,3953755
344852,3981343
217155,3957813
126295,3945086
61568,3948349
33096,3918099
348583,3958151
218362,3930212
125520,3927936
61716,3910288
31194,3900524
347374,3954483
213527,3926717
116562,3907984
59287,3900738
31160,3900619
330729,3926314
212460,3930974
121298,3911680
62302,3891630
31200,3879648
345095,3929787
211202,3910074
120440,3902981
