mark_time_ns,sweep_time_ns
1038581,4901408
1118689,4917254
693377,4899197
894095,4850455
813893,4891764
824875,4866693
819958,4855734
1078442,4919102
711317,4894431
950691,4890676
808840,4922370
807857,4900793
820374,4881354
824569,4857579
841009,4887792
809759,4839796
812810,4870640
827669,4904845
814008,4916405
1134707,4923299
718710,4868172
923806,4858960
807484,4885161
810356,4842154
806853,4885048
836800,4882003
807551,4886903
838496,4883987
814702,4908839
833422,4853486
818847,4864825
1065565,4909039
705850,4892571
965950,4907961
801313,4892740
806630,4894927
817282,4899641
