mark_time_ns,sweep_time_ns
1218389,16365730
1231240,16376373
1215881,16377650
1201364,16399914
1215034,16399030
1257121,16380385
1276619,16395060
3818163,16380219
1184241,16389286
1266286,16392925
1197219,16393914
1191374,16391835
1218568,16380603
1313040,16415554
1551496,16391856
3546233,16417402
1202636,16388038
1206086,16368281
1206076,16386630
1220139,16402489
1293251,16407431
1364996,16402179
1544026,16374864
1395747,16393358
1163324,16362406
1197220,16401643
1204795,16402046
1186235,16405075
1296543,16400631
1530965,16707334
1192147,16390829
1231696,16400080
6428612,16400684
1229435,16395116
1224622,16404517
1171153,16393501
1151347,16390937
1166361,16371586
1272284,16394435
1281288,16395635
3750745,16377170
1189561,16371563
1163999,16369814
1210554,16373444
1165178,16387483
1213808,16386329
1332113,16395036
1563565,16408070
3521490,16402760
1179185,16391020
1172859,16378135
1153001,16404572
1175176,16392680
1189812,16408325
1333222,16397218
1606808,16398128
1417024,16364484
1148492,16376919
1206384,16378620
1210476,16397520
1202046,16377944
1244277,16396668
1292217,16463873
1179167,16401803
1242894,16386811
4903969,16385037
1206128,16367003
1200253,16402145
1247575,16404380
1205168,16360119
1189853,16378214
1276900,16399293
1279409,16395401
3855281,16384295
1265238,16388470
1166233,16362575
1159957,16361540
1162928,16389720
1133366,16383972
1377015,16395827
1558192,16423012
3591564,16375915
1187721,16372900
1179197,16385227
1207869,16393180
1196056,16396608
1221093,16400914
1356996,16384894
1585582,16410750
1443259,16383226
1183854,16400251
1252548,16395124
1205258,16407842
1220443,16385207
1299280,16373990
1265076,16402975
1217157,16387603
1191342,16402556
6340958,16415565
1152143,16400071
1201045,16391526
1188812,16378020
1216925,16379739
1166305,16366119
1201709,16376178
1207064,16389253
3775343,16383991
1168978,16378807
1187747,16395496
1163324,16377723
1182120,16399682
1216455,16408444
1304138,16407465
1552192,16389609
3530632,16394734
1192082,16391145
1166255,16370396
1200041,16373522
1180036,16398894
1197433,16376013
1339888,16406265
1568935,16400039
1355409,16385461
1168999,16379488
1199680,16390029
1163998,16370735
1199105,16373693
1260988,16373433
1236251,16428712
1169642,16381368
1233115,16400493
4796551,16374348
1169878,16393757
1170590,16385542
1207047,16360508
1159127,16384251
1163482,16395811
1236476,16394857
1252323,16383053
3803915,16386280
1169921,16376394
1157666,16386468
1153498,16396233
1157831,16376496
1176315,16373639
1382210,16390041
1526255,16399185
3506729,16390771
1175909,16364210
1187162,16399704
1158914,16388566
1182613,16349315
1167470,16407827
1294065,16368584
1542548,16426790
1397503,16385179
1138307,16385492
1194297,16363298
1197757,16364526
1191365,16397650
1237930,16375164
1261625,16413832
1165055,16384883
1186073,16390490
6366673,16396752
1149849,16391759
1197045,16386386
1193784,16406338
1197066,16378634
1211302,16414468
1207592,16395294
1219437,16367786
3770525,16403142
1210825,16369495
1169734,16391979
1163234,16392950
1140081,16380794
1196980,16405845
1274357,16394184
1544161,16410784
3565870,16424516
1161575,16383077
1149242,16377192
1157448,16413684
1204025,16393666
1192618,16383959
1335011,16401540
1537404,16418662
1368418,16386006
1179634,16395764
1159870,16414128
1201651,16384989
1168977,16372772
1227601,16392844
1270406,16436473
1162651,16392133
1190937,16395105
5030880,16391217
1148996,16394352
1193367,16384964
1180173,16390620
1145502,16412830
1162661,16385385
1194743,16387181
1275518,16370625
3777487,16367088
1166525,16366064
1157605,16379727
1208564,16383834
1192196,16356811
1146562,16385704
1333471,16369462
1514485,16424985
3522702,16387715
1167831,16388128
1163482,16386327
1163628,16395389
1161805,16380805
1173235,16398536
1315635,16391035
1532308,16402219
1390298,16366457
1173795,16384179
1142107,16401531
1201996,16387479
1157736,16382685
1236909,16388776
1217122,16391238
1198432,16375669
1177965,16381367
6378259,16400815
1159751,16377413
1166852,16392793
1162982,16414025
1163520,16374427
1165412,16371027
1193832,16403327
1206901,16372597
3775147,16377729
1222020,16390406
1176032,16360794
1162783,16393439
1181659,16389461
1216031,16385889
1281818,16377111
1514868,16396854
3569599,16409898
1181316,16374235
1156435,16394561
1183838,16387794
1191711,16396862
