mark_time_ns,sweep_time_ns
2713180,2000964
2957144,1991620
3471158,1989786
3471366,1971712
3439403,1970774
3483137,1966461
3315244,1945865
3237450,1939703
3177582,1940247
3561821,1936825
3442887,1921032
3447813,1916919
3481305,1918870
3430047,1920279
3347499,1894096
3226224,1902426
3093943,1887908
3444616,1886275
3429268,1880178
3496360,1888015
3553555,1879175
3435910,1875925
3417967,1867232
3230811,1879166
3149780,1865780
3438720,1865351
3476357,1864610
3591276,1865240
3421098,1855681
2958862,1876885
3314299,1877845
3451772,1875175
3077126,1865875
3396864,1877301
3496579,1867995
3534775,1861643
3451441,1873067
3387142,1875069
3313164,1873461
3159394,1875060
3191830,1865821
3429742,1879282
3463879,1860869
3459373,1873296
3521272,1861781
3374726,1854038
3313688,1857663
3271328,1871259
3223597,1866019
3430902,1877456
3502583,1872102
3591866,1865039
3479073,1871436
3448378,1866082
3416297,1855571
3175973,1871481
3089984,1873424
3499727,1866436
3463767,1868810
2993103,1870880
3426307,1878069
3390772,1869603
3280363,1863199
3186831,1868079
3103905,1877853
3354507,1874694
3401508,1875795
3422319,1874745
3516623,1864937
3371746,1869393
3280465,1860240
3194270,1869255
3174151,1860259
3417793,1873467
3528801,1864347
3414088,1867003
3519020,1857941
3392736,1855694
3287465,1867044
3193080,1867777
3092972,1850713
3434322,1862887
3540488,1871145
3454350,1870181
3436144,1875631
3408272,1866311
3275643,1864421
3054608,1868038
3092147,1851841
3441356,1871330
3393816,1873662
3468966,1886670
3450423,1870169
3379180,1874490
3302464,1869158
3174203,1862936
3099923,1864558
3373003,1855101
3434382,1855420
3445492,1887045
3517345,1870812
3397828,1881315
3314290,1866661
3182551,1860209
3112796,1854350
3532892,1870205
3413650,1864539
3494216,1874352
3422029,1860516
3390899,1877421
3361671,1877661
3161479,1865635
3196040,1849882
3427461,1861677
3518184,1855118
3431121,1858687
3411380,1851716
3380361,1860422
3281547,1866642
3061086,1866744
3117885,1868012
3412500,1870404
3355922,1866327
3484157,1877103
3525613,1881888
3389395,1863298
3288733,1866121
3209522,1848095
3113263,1857562
3407287,1864635
3519541,1861946
3583739,1867339
3465330,1866498
3496967,1872983
3303509,1878959
3284654,1864401
3078856,1855197
3479321,1862505
3437454,1863237
3522783,1864658
3405780,1854534
3407888,1873937
3332867,1875069
3221915,1867895
3175294,1856792
3427193,1865827
3443495,1865494
3527093,1857965
3431655,1845804
3401817,1864586
3279909,1854372
2973525,1877234
3116202,1856526
3394352,1875750
3466999,1859334
3441175,1877824
3530901,1859065
3342806,1869526
3363983,1856796
3169608,1867558
3092496,1857404
3418461,1878986
3419297,1857792
3492754,1873338
3553581,1855380
3435298,1878839
3292934,1873453
3170594,1876646
3110581,1861548
3447619,1872854
3426042,1860987
3431320,1860362
3439145,1859915
3428760,1865727
3340193,1871468
3178644,1862754
3086239,1848452
3444976,1866649
3424147,1867879
3438414,1859142
3423674,1857770
3479866,1861008
3260647,1864642
2980920,1870236
3152868,1868466
3427378,1877048
3431136,1868205
3443738,1876751
3551391,1864269
3388202,1864589
3253504,1862741
3180253,1863042
3171969,1867040
3510061,1863988
3428988,1871552
3477299,1878561
3459016,1866209
3423527,1863378
3327784,1865955
3192370,1855169
3110778,1856574
3464204,1866472
3460581,1867357
3541809,1863814
3423990,1865831
3405252,1871437
3342470,1872595
3288969,1853708
3101261,1850626
3433091,1860059
3434370,1861525
3561657,1864398
3431643,1855530
3383556,1867069
3356026,1863414
2956888,1868494
3105415,1867451
3482557,1863404
3421487,1853957
3452427,1872323
3524032,1863891
3377824,1863263
3335438,1872473
3271101,1862072
3100082,1863213
3449267,1852867
3372680,1866175
3575230,1875413
3477597,1874398
3397666,1876119
3294710,1860899
3176026,1863150
3107590,1866696
3481476,1862860
3375855,1870229
3446368,1871012
3537449,1870383
3415254,1870071
3342656,1875278
3183728,1850669
3087466,1865534
3537766,1869458
3493451,1860429
3435716,1860835
3433264,1850571
3410130,1867267
3339387,1865529
2950550,1864626
3066465,1865387
3515712,1862699
3533284,1861399
3470255,1879841
3519359,1861484
3392413,1867001
3285040,1869758
3184450,1865133
3103264,1854792
3397197,1864036
3439845,1859196
3466284,1875009
3430043,1857781
3392598,1860709
3295759,1871364
3185728,1867788
3086470,1859645
3537113,1856071
3419048,1853088
3445463,1862687
3464408,1859628
3420915,1860977
3353533,1862435
3167682,1863021
3087618,1858561
3539476,1864482
3384948,1858670
3398314,1854752
3525504,1854381
3372025,1864588
3236271,1865640
2934971,1875445
3080374,1866708
3415807,1882599
3444656,1869070
3523063,1864034
3394567,1860907
3350680,1869883
3339090,1861067
3171449,1860000
3080620,1856260
3416541,1878188
3523370,1853125
3471583,1873770
3465029,1871212
3490836,1859900
3309338,1867997
3182054,1854796
3122538,1866304
3397292,1869902
3462251,1865411
3434862,1867749
3430043,1865094
3397438,1868781
3343050,1865800
3168510,1849471
3102815,1856300
3446776,1866410
3438865,1853515
3468601,1869135
3449621,1844667
3386125,1865000
3272546,1859712
