mark_time_ns,sweep_time_ns
103179,2037217
270413,2031941
356480,2030917
51559,1988046
200311,2005456
302096,2015950
26641,1963997
171293,1975040
282963,1979320
22377,1952217
160810,1971556
238187,1971471
366981,1970613
53264,1942722
200519,1959318
306138,1948042
33051,1919332
172371,1936820
258558,1946843
24232,1911536
156880,1925521
277581,1946314
359948,1945819
46720,1912287
194491,1922722
301373,1931389
29667,1897570
168434,1921581
281051,1921203
23224,1884695
156975,1902120
263811,1923423
349381,1931594
43237,1886096
187147,1909542
298457,1928469
29383,1888867
169521,1893815
290589,1914299
23894,1877224
151350,1901680
270339,1911605
345440,1913292
49565,1877521
187852,1902436
300635,1912633
29109,1870147
161816,1896159
279113,1905482
19309,1880014
163912,1897403
269396,1907867
339710,1905956
45290,1879899
184914,1889092
296410,1897931
29944,1866413
151417,1870583
274885,1899027
18193,1855613
146586,1870373
255652,1897574
353058,1907883
49683,1864063
187448,1887427
294465,1904614
29833,1848194
