mark_time_ns,sweep_time_ns
1056568,1253177
821884,1246730
816094,1237327
1147640,1282618
709134,1243571
946500,1243007
826140,1243548
823932,1252538
827977,1239996
833018,1244967
817730,1253394
819378,1243600
838225,1250842
1044926,1277772
759900,1239215
2210725,1260968
1023294,1311426
732996,1241697
968537,1254496
815238,1243813
1055104,1288504
730265,1230988
945053,1251039
808284,1244348
814370,1249564
822268,1243457
1040613,1297780
723910,1247527
959805,1260672
817366,1234478
796329,1251440
815617,1241979
813244,1254652
824705,1245356
814109,1252260
808104,1241970
1083654,1286062
716244,1245050
918683,1252411
824209,1235851
820732,1252385
819499,1236983
810482,1243824
811354,1237183
827016,1242063
807698,1244529
823567,1243860
817308,1245137
1052071,1291669
715620,1242788
970989,1238556
801783,1238376
1032113,1285242
714026,1237999
958399,1251313
809863,1229877
995684,1296407
723564,1246233
958618,1242820
811257,1248356
808028,1262947
807915,1241223
799620,1251986
820924,1238907
806500,1249814
809961,1233856
803918,1244907
808392,1248590
816899,1250621
809812,1246290
1049570,1294600
714845,1227428
959163,1246514
804441,1237487
1009417,1291475
708869,1244970
960636,1247229
802236,1235398
998377,1297955
712669,1243522
974634,1245624
800216,1238047
797887,1263079
804709,1242216
793282,1242176
818245,1239085
810345,1248005
812207,1249442
801881,1244606
811775,1243453
812328,1248672
816637,1242394
1048185,1299057
719546,1228403
955727,1240605
800542,1248190
1015473,1284745
709795,1234984
976401,1243391
808417,1240403
1000669,1301868
712813,1243027
970753,1243964
799520,1242627
806778,1239318
807969,1247726
800825,1254179
813762,1246995
796892,1240349
814066,1243852
805216,1243515
809706,1246111
815373,1244761
812317,1246153
1047898,1285568
712406,1244702
957237,1241283
800934,1239067
1009510,1291750
707650,1243792
949726,1247758
799174,1238415
1001164,1298699
715126,1248998
951185,1240644
802666,1247975
794163,1255976
807024,1248032
809062,1254403
809427,1246895
808688,1237785
809163,1241019
811729,1243016
811457,1238266
804151,1254033
805741,1242133
1042404,1285230
711276,1244375
944001,1249317
801884,1252477
1019021,1299566
709315,1242225
946602,1250551
796791,1235750
1009962,1296670
724867,1247058
963027,1251307
806817,1235183
800531,1252605
811251,1255144
810063,1244412
