mark_time_ns,sweep_time_ns
102343,29651
85056,41239
92463,42398
80728,65208
90587,64536
84443,64424
89444,64531
83144,63220
84716,62875
84002,63504
95422,65495
85633,64940
87497,63809
94282,65854
88177,64702
87772,65020
94334,65309
88589,66695
88227,66031
96851,67203
97845,67110
94352,67163
90856,66571
87870,66906
97571,67531
95535,67573
92395,66066
90570,65990
89120,66756
91180,66447
90821,67417
90372,65578
90843,66537
95707,66360
87206,66731
88795,66561
90720,66747
94176,66778
72822,64794
89066,66746
87632,66713
83268,65827
83334,66729
84609,66175
87303,66731
87186,66878
88909,65860
87225,66830
88444,67010
86638,66262
88672,66919
88775,66650
89137,64364
89597,65171
91123,64738
88991,66436
89799,66499
89832,66135
88670,66805
89015,70364
89194,66963
88608,66425
98235,66948
95458,66944
88634,67432
92761,66582
90590,67358
93947,67120
73230,65672
88162,66980
82572,66734
84198,66017
83098,66055
82753,63484
84038,63889
84749,68421
86208,64692
85558,64828
87690,65294
87140,65010
89268,64669
89732,64463
89860,65290
91436,66063
95101,67007
89963,66760
91704,66824
88510,66734
88603,66858
87446,67528
89214,67177
87238,67237
95113,67061
91721,67223
86729,67411
91066,67112
93594,67452
90149,67232
71071,63981
86584,65649
82939,63066
81085,63966
82395,63559
82982,64025
87875,64285
87634,64852
87835,64877
87646,64691
87690,65660
86384,65459
88711,65332
91852,64886
88758,66840
89240,66519
88015,69898
89172,67269
89603,67259
90439,67028
89196,66793
89004,67939
88167,67168
90349,67297
94663,67082
92728,66853
87936,67242
91246,67071
90049,67520
91461,66693
72253,64715
86893,66435
81783,66689
81828,65696
82557,63446
84160,64712
84344,65167
85815,64073
86892,63302
86789,64082
87280,63893
87284,65608
89505,64650
89059,68181
89395,64778
88478,65544
88607,63947
89252,65440
89190,65604
89130,64976
88657,64975
88207,65243
89426,64699
87282,65661
97899,65184
92020,67013
87655,66461
92757,66199
92087,66247
93247,66482
73675,63957
87216,66051
82219,65990
83201,65427
83007,65255
85461,66641
86177,66590
86541,67156
88098,67094
87658,66779
89798,66681
87125,65857
90852,64437
90693,64249
89419,64782
90371,65186
89095,64623
87903,65344
95571,64867
90971,64089
87034,65403
88737,65203
90306,64367
89569,64596
97131,64601
93395,64931
89814,65112
92495,64282
89870,65931
90528,66167
72099,64431
87033,66232
82172,66826
79987,65875
82360,65810
82637,66734
84474,67071
85011,66612
88286,66878
86581,67428
88978,67411
86244,67280
90581,66792
89843,66454
90166,66870
88353,64598
90424,63856
88576,65173
88969,65521
93708,64349
88416,65407
89167,65555
89435,64974
88093,65320
95094,65594
92943,66498
86300,66848
91727,66156
90771,65825
92529,66636
73739,64427
87440,66315
81310,66872
81524,65841
83121,65602
83301,66444
84671,67484
87020,66626
87631,66595
87031,66728
87716,66939
86794,66225
90588,64990
90198,64317
90253,65295
92243,65541
90370,65330
88827,65273
90259,65124
90729,65212
87621,66238
88671,67331
89187,67168
88524,66854
94550,67027
92643,67945
87131,67105
91363,66456
89400,70364
90435,66751
71600,64721
86482,66396
81949,66350
82420,65478
82138,62975
83295,63177
84611,67518
88588,64471
87672,64193
89104,64723
88518,64123
86582,64806
91008,64491
90320,64692
90373,64756
89845,65076
90760,64881
92153,64567
91415,65611
90682,64731
87548,65866
88790,65723
90535,64791
89074,64824
96378,65787
94312,65794
86056,65783
90669,65956
88536,65479
90548,65765
71369,62529
86999,66746
82390,66115
81899,65963
83113,69679
83846,65485
