mark_time_ns,sweep_time_ns
29484,24309
16052,21637
22249,21594
15281,21987
15400,21602
11374,13894
9562,13722
12050,14061
10376,13888
9130,13690
9330,13373
10017,14157
8823,13789
8008,13789
9181,14027
11276,14024
9757,13938
11113,13995
9737,13796
9389,13720
10419,13871
8495,13774
9858,13946
8561,13673
9282,13641
8855,13706
9387,14091
10724,14430
8899,13986
10791,13896
9002,13612
9981,14215
9881,13927
12116,14263
10206,13948
8918,13783
8621,13758
8886,13711
8477,13604
9617,13940
8696,13574
10453,13840
9121,13754
10209,13835
8216,13898
10509,13929
10044,13647
9211,13713
8889,13837
9067,13667
8353,13622
8867,13618
7869,13569
9618,13890
10120,13523
8980,13836
11356,13896
10375,13743
9326,13977
9267,13785
10477,13740
9769,13887
10352,14251
8656,13826
8669,14021
8601,13784
8971,13947
8515,13754
10395,13755
10385,13839
11156,14037
10818,13809
9552,13737
10740,13994
9620,13707
9978,13780
10474,13694
9430,14002
9251,13820
9306,13582
9749,13725
9995,14005
9917,13765
10345,13901
9813,13633
10317,13739
11131,14008
9644,13707
9228,13590
10096,13925
9215,13813
8132,13605
9152,14051
7944,13586
9793,13766
9533,13748
8595,13666
8253,13703
9725,14108
10114,13789
11148,13881
9670,13461
8812,13745
8984,13616
8118,13433
9663,13931
9038,13691
8901,13699
9462,14075
9081,13740
9414,13697
10759,13848
9822,13824
9969,13510
9562,13905
10514,13825
9216,13600
8351,13709
10491,13872
9299,13743
9592,13867
9192,13604
9554,13729
10587,14177
9357,13891
9413,13742
9573,13774
8901,13624
10769,13953
8053,13773
8647,13857
8608,13610
9843,13610
9659,13848
10078,13999
9501,13577
10085,14029
9863,13869
8945,13773
10799,14211
10237,13850
9767,13823
9842,13894
9001,13667
8727,13586
9155,13735
8023,13661
10069,13547
8748,13791
8789,13626
10617,13705
10892,13524
10006,13676
9565,13746
9205,13651
9561,13791
8481,13755
8532,13682
8606,13929
9203,13663
10632,13923
8756,13755
9321,13881
9974,13768
10257,13776
9636,13776
9146,13560
9727,13641
9133,13921
9547,13686
10358,14893
9980,14614
10392,14673
11013,14686
9830,14789
11583,14726
11127,14718
9986,14771
9079,14403
12114,14947
9539,14602
9248,14482
10094,14439
9999,14589
8330,14375
10282,14553
9983,14448
11659,14470
11537,14686
10648,14932
10285,14617
9685,14601
10649,14487
8225,14518
9470,14594
9805,14396
9158,14493
9695,14849
9167,14540
8855,14320
9937,15023
9788,14495
9138,14649
10640,14651
11296,14624
11923,14516
9634,14517
9806,14205
9390,14424
10205,14617
9151,14485
9084,14504
8825,14424
10039,14417
9896,14148
10263,14178
10270,14169
12349,14517
9396,14451
9296,13937
8998,13958
10217,14484
8538,13925
9235,14012
9217,14130
9080,14006
10056,14315
10063,14252
9716,14515
11042,14463
8893,14182
10571,14359
10876,14344
10005,14175
10843,14353
9571,13954
9618,14073
10051,14165
9882,14136
9078,14455
10502,14222
10151,14159
10507,14282
11054,13927
8700,13707
10906,13988
10520,13780
9866,13699
9665,13795
11348,14046
9201,13850
9058,13642
9259,13966
9508,14125
10181,13952
9300,13806
8425,13674
11678,13826
10967,14275
9057,13676
8863,13548
8898,13603
8336,13654
8861,13569
8724,13818
7789,13843
8606,13691
8850,13684
11035,13807
9901,13812
9047,13979
11204,13775
10857,13858
10000,13581
10200,13792
9456,13849
8514,13577
7766,13782
8771,13863
9044,13642
8518,13785
10479,14143
9188,13603
10579,13847
8467,13631
9164,13482
9329,13826
9025,13642
8468,13758
8666,13766
9235,13876
9729,14375
8671,13902
8423,13887
9479,13838
10880,14142
10428,13783
9132,13747
10603,13702
9399,13936
10827,13896
9068,13698
8737,13733
8952,13826
9699,13966
9445,14149
11710,14013
10556,13933
9770,13815
9816,13776
10059,13532
11052,13937
9981,14010
8523,13662
9212,13655
8435,13855
7992,13861
8981,14180
8163,13977
10244,13760
9179,13838
8642,13621
9153,13499
11465,18969
11817,13984
9759,13795
10148,13592
9437,13660
9437,13749
9331,13906
8386,14282
8919,13636
9724,13570
10243,14037
9417,13751
8688,13720
11012,14207
11084,13852
10391,13692
11065,13893
9137,13701
8921,13724
8234,13768
8221,13479
8940,13607
9550,13874
8762,13894
10459,13887
9880,13774
8511,13925
9011,13749
9693,13605
8895,13843
10494,13793
8704,13645
8739,13744
8884,13621
8443,13683
9719,13993
9516,13751
10855,13790
9953,14035
8822,13686
10462,13903
11564,13929
9506,13645
9415,13622
10225,14150
8816,13602
8961,13749
8929,13915
8436,13679
9480,13658
9772,13741
9574,13948
10230,13806
8537,13572
10996,13835
11107,13930
9044,13491
9020,13731
8927,13711
8859,13518
8517,13928
8454,13935
9145,13678
8820,13809
10439,13842
9757,13983
12231,13999
8958,13593
9570,13782
8719,13709
9833,13857
8311,13538
9129,13571
10091,13950
8452,13865
9322,13975
9678,14121
9989,13779
9995,13759
10580,14215
9442,13709
10013,13720
9145,14026
11024,13840
8344,13734
9333,13757
9097,13707
9175,13738
9374,13855
11192,13842
10717,13884
10021,13929
10089,13894
9739,13773
11073,14060
9194,13648
9058,13750
8627,18976
9046,13686
7867,13479
8002,13730
9624,13885
9354,13849
8887,13730
9366,14005
9967,13866
9249,13653
10214,13837
8290,13694
8064,13385
8438,13580
9433,13699
9067,13670
8841,13835
8583,13553
10399,13633
8459,13887
9767,13729
10348,14060
10601,13861
9902,14034
9630,13891
15806,13618
9778,13677
8946,13863
8680,13734
9818,13782
9752,13553
9344,13496
9902,14245
9969,13501
10784,13740
9754,13890
9384,13901
9258,13800
8684,13768
10511,13853
8930,13602
9432,13884
8594,13539
9852,13847
9666,13764
9668,13795
9581,13699
10815,14272
9754,14254
10920,14034
10472,14160
9165,13790
9594,13805
9847,13650
9323,13611
9010,13620
8543,13808
9693,13820
9516,13757
8801,13736
8903,13757
9782,13840
10917,13810
10930,14156
9356,13818
10171,13664
9921,13943
8465,13576
9224,13830
9578,14090
8441,13581
9027,13931
10052,14044
10550,14142
10205,14028
9138,13830
10773,14077
9082,13879
8716,13630
9150,13510
9489,13909
8730,13381
8095,13590
9182,13806
9555,13807
10029,13959
10295,13827
9480,14040
9765,13874
9238,13809
9410,13533
8710,13614
9597,14120
8755,13478
8677,13740
8867,13615
9008,13750
9612,13633
9712,13991
9032,13818
10986,14062
10024,13957
10121,13773
9142,13781
9549,14039
10230,14297
15766,13642
9072,13771
8504,13578
8396,13831
8215,13918
8409,13910
8861,13650
9674,13967
9092,13891
9899,13892
10032,14272
9740,13939
9211,13801
8201,13886
9049,13495
8781,13673
9498,13879
8795,13667
9259,13892
8959,13892
10569,13975
9002,13671
9134,13729
10992,13806
9348,13817
8673,13466
9820,13541
9859,13943
9045,13857
8595,13687
9231,13780
9757,13691
11999,15302
12297,14260
10337,14499
10124,14316
9688,14173
9695,13909
9280,13995
9806,14606
9264,13933
10473,14300
9829,14056
9030,14258
9743,14010
9855,13767
9138,13854
9804,14037
9614,13879
9674,13750
9088,13892
9727,14099
10484,13998
9463,13846
9686,13818
8564,13562
8976,14096
8332,13757
8621,13925
9209,13496
9500,13713
8923,13851
10206,13769
9790,14002
9836,13905
9432,13735
8771,13807
9252,13631
8908,13632
8803,13822
8664,13617
9381,13792
8705,13899
10366,13794
9692,13958
9401,13695
10932,13698
9263,13775
9125,13618
9649,13588
9055,13882
8806,13793
8313,13543
9265,13587
10259,13647
10374,14004
10038,13826
9668,13928
9578,13832
8902,13851
9123,13548
8968,13653
9816,14299
9074,13641
8365,13795
8784,13529
8366,13672
9936,13679
9439,13870
9379,13768
10023,14150
9815,13729
9859,13674
8813,13887
10053,13830
10402,13983
9300,13722
9397,13790
8405,13693
8522,19259
8497,13962
8919,13924
8909,13549
9672,13650
9180,13809
9566,13856
10179,14147
10266,13812
9509,14117
7979,13645
8852,13569
8564,13618
8989,13909
8537,13668
9217,13781
9491,14132
10170,13850
9284,13701
9140,13736
10603,13710
9360,13730
9064,13504
9141,13524
9010,13861
7957,13688
8734,13680
9132,13661
9684,13872
9953,14104
10292,13792
9599,14096
9573,13801
10019,13784
9152,13611
9406,13662
9847,14106
8705,13580
8590,13780
9311,13544
9032,13574
10015,13634
9746,13883
8994,13749
9906,13949
9309,13844
9376,13678
8635,13623
9420,13850
10296,13998
9143,13571
9534,13873
8862,13758
8637,13806
8158,13861
8485,13786
8752,13519
9435,13761
9364,13810
9811,13691
10320,13999
10036,13884
13004,15776
13179,16439
9628,13696
9851,13773
9105,13836
8659,13677
9764,13938
9390,14081
10517,13927
9692,13888
8863,13610
10428,13701
9239,13836
8989,13582
9558,13925
9204,13816
8221,13822
8232,13614
9291,13747
10404,13896
10361,13987
10089,13756
9871,13956
9621,14123
9490,14024
9414,13486
9052,13650
9862,14073
8638,13511
9132,13720
8877,13536
8583,13581
9768,13593
9814,13789
9397,13686
10640,13930
9931,13822
9785,13821
8944,13441
9830,13763
10572,14064
9075,13574
9271,13881
8182,13711
8454,13991
8161,13953
8621,14029
9156,13707
10053,13692
8690,13916
9584,13832
9578,14185
10055,13998
9457,13878
8141,13664
8701,13579
8465,13680
8591,13828
8305,13562
9241,13805
9071,14018
10372,14049
9369,13681
9175,13589
11133,13760
9424,13819
8679,13416
9548,13653
9006,13907
8535,13648
8390,13633
9851,13663
9967,13768
10197,14119
10168,13755
9668,14104
9954,13921
9208,13763
8987,13517
9240,13632
9642,14078
9164,13607
8550,13784
9380,13745
8592,13743
10045,13721
9872,13905
9412,13746
9769,13823
9912,13945
9462,13743
8939,13619
9884,13839
10653,14057
9290,13720
9244,14176
8685,13736
8614,13731
8303,13993
8417,13841
8619,13541
9436,13802
8831,13868
10263,13900
9663,14005
10363,13809
9550,13874
8072,13660
9002,13492
8626,13654
9065,13681
8590,13582
9565,13724
8997,13935
10684,14237
9545,13817
9014,13630
11255,13850
9529,13858
8655,13451
10082,13780
9085,13859
8181,13674
8662,13793
9212,13751
10204,14015
10319,14083
10322,13656
9650,14001
9431,14033
9187,13943
9195,13561
8809,13661
9589,14137
8756,13509
8631,13743
9159,13648
8380,13608
9680,13520
10020,13921
9071,13705
9879,13808
9644,13943
9719,13765
8742,13769
10329,13927
10622,14127
9218,13533
9193,13945
8660,13654
8892,13909
8723,13918
9102,13835
9131,13477
9642,13790
9309,13760
10220,13811
9813,13902
10061,13930
9182,13778
7704,13593
9518,13704
9263,13744
8978,13745
8840,13646
9451,13831
8937,13869
10530,13949
9119,13623
8825,13588
11220,14117
9185,13784
8869,13427
9677,13638
9352,13751
8193,13827
8331,13571
9589,13705
9684,13863
10372,14009
10237,13749
10053,13974
9620,13627
8841,13795
8999,13514
8596,13490
10066,14377
8573,13509
8130,13598
9334,13609
8436,13573
9486,13509
9992,13986
9138,13742
9970,13846
9844,13994
9894,13728
8831,13624
9741,13854
10102,13969
9840,13850
9392,13935
8320,13729
9000,13869
8237,13825
8713,13860
9266,13660
10006,13498
8777,13880
9552,13795
9244,13880
10081,14070
9423,13827
7650,13545
9429,13696
8778,13535
8851,13797
8313,13770
9490,13806
8681,13941
10852,14071
9147,13698
9047,13656
10910,13836
9241,13821
8749,13454
9841,13645
9092,13783
8626,13663
7938,13581
8725,13648
10150,14011
9944,13928
10542,13798
9757,13942
9455,13788
9535,13894
9059,13477
9535,13550
10482,14069
8768,13619
8492,13656
9175,13649
8434,13682
9326,13593
9838,13975
9217,13778
10058,14015
10221,13912
9822,13751
8884,13637
9556,13894
12846,15522
10667,14970
10200,14875
9565,14348
9060,14458
9039,14647
9102,14632
9486,14399
10671,14605
9760,14646
10444,14646
10486,14784
10627,14944
9924,14536
8399,14098
9367,13970
8964,14019
9329,14252
8525,13966
9658,14134
9855,14341
10700,14316
9262,14109
9543,14335
11455,14133
10090,14190
9341,14092
9623,13855
9386,14198
9292,14393
8601,13973
9355,14105
10366,14227
10547,14350
10239,14229
10021,14715
9771,14145
9319,14073
9505,14081
9119,13913
10099,14690
9287,14079
8890,14134
9325,13944
8841,13966
10065,13983
9994,14174
9380,14052
10536,14435
10177,14345
9816,14076
9619,14085
9771,14156
10266,14519
9621,14534
9095,14156
8433,14089
9271,14615
8463,14164
8859,14116
9729,13847
9556,13719
9199,13837
10254,13941
9860,13889
10147,13757
9751,14145
8088,13630
8815,13495
9106,13725
9018,13768
8600,13614
9596,13898
9267,13997
10535,14095
9035,13826
8662,13709
10668,13670
9967,13739
9128,13613
9680,13603
9584,13973
9040,14037
8047,13479
9132,13721
10040,13856
10077,14024
10023,13620
10011,14097
9779,13831
9334,13903
9425,13681
9163,13587
9907,14063
9009,13593
8399,13719
9068,13561
8636,13805
9921,13784
10300,13734
9569,13935
10579,13784
9874,13862
9911,19205
8760,13710
9745,13763
10381,13957
9583,13861
9254,13895
8410,13675
8890,13909
7912,13812
8455,13870
9040,13643
9595,13733
8997,13828
9912,14195
9878,13842
10364,13822
9250,13927
7737,13620
9063,13513
9349,13619
9365,13967
8364,13815
9350,13884
9206,13846
10431,13823
9270,13639
8990,13858
10954,13681
9199,13783
8928,13583
9764,13513
9228,13857
8727,13823
8295,13654
9659,13661
10234,13773
10127,13961
10002,13709
10107,14191
9748,13756
9523,13736
9585,13636
8887,13467
10086,14053
9157,13646
8354,13646
9228,13530
13863,13689
9965,13735
10257,13742
9384,13819
10233,14006
10130,13981
9856,13790
8995,13807
9676,13917
10762,14115
9548,13835
9116,13808
8431,13599
8600,13934
8037,13781
8786,13951
9040,13715
9532,13607
9286,13841
9647,13958
9823,13851
10066,13868
9405,14002
7761,13684
9698,13724
9094,13542
8894,13958
8689,13569
9640,13894
9267,13936
10513,13815
9072,13746
8883,13775
10482,13672
9123,13722
8979,13609
9528,13523
9389,13762
8908,13784
8336,13555
9331,13582
9868,13843
10014,13971
9992,13772
9747,13983
9099,13775
9063,13758
9222,13672
9264,13590
9696,14022
9004,13501
9293,13763
9131,13562
8560,13711
9528,13683
9720,13782
8860,13632
9974,13894
9531,13789
9484,13702
8804,13796
9705,13700
11096,14138
9333,13787
9239,13794
8334,13644
8918,13924
8298,13745
8413,13872
9013,13569
9218,13779
8824,13867
9939,13643
9351,13776
9907,13769
9345,13964
7997,13665
8914,13521
8634,13680
9081,13932
8499,13538
9389,13741
9258,14020
10291,13899
8924,13704
9172,13791
10783,13722
9841,14008
9579,13604
9515,13531
9501,13996
8582,13889
8332,13506
9139,13724
9894,13846
9838,13965
10022,13835
9364,19404
9755,13882
8940,13815
8866,13509
10251,13787
10022,14488
8828,13514
8871,13803
9253,13584
8675,13722
9894,13707
9828,13776
9074,13697
10105,14021
9356,13919
9277,13788
9361,13738
9730,13829
11086,14045
9445,13792
9079,13748
8630,13617
8618,13814
8518,13704
8395,13787
8705,13561
9502,13800
9128,13872
9622,13766
9849,13986
10127,14143
8801,13795
8031,13726
8728,13490
8235,13586
8865,13830
8738,13568
9600,13725
9199,14000
10376,13968
8789,13621
8965,13703
10706,13685
9554,13932
8901,13580
9501,13779
9429,13867
9325,13697
8383,13556
9506,13630
9587,13754
10421,14009
10312,13778
9979,13992
9650,13934
9049,13623
9292,13608
8882,13589
9757,14079
8969,13573
8723,13816
9310,13685
8413,13714
9721,13655
9664,13860
8891,13720
10560,14092
9624,13808
9919,13760
9250,13795
9444,13768
10656,13945
9246,18813
9289,13732
8363,13717
8765,13717
8704,13931
8566,13831
9149,13560
9719,13776
9707,13829
9783,13791
9737,13994
9825,13765
9301,13862
8358,13739
8940,13534
8749,13756
8878,13877
8217,13618
9484,13740
9018,13922
10363,13874
9217,13752
9303,13776
10783,13718
9175,13861
8882,13526
9731,13637
8992,13862
8540,13722
8533,13650
9330,13684
10105,13734
10659,14113
10519,13835
9666,14055
9980,13874
9161,13791
9196,13539
9133,13616
9761,14142
8914,13518
8331,13850
9322,13625
8539,13631
9390,13752
9588,13876
9777,13839
10174,13789
9996,13813
9914,13820
8577,13666
9830,13841
10503,13957
9371,13657
9491,13919
8632,13602
8499,13787
8508,13899
8446,13952
8703,13557
10339,13742
9116,13915
9898,13807
9613,14063
10068,13870
9180,13871
8184,13680
9554,13608
9113,13694
9042,13901
8527,13739
11663,14880
9508,14309
10894,14024
9534,13740
9188,13534
10738,13817
9393,13911
8452,13463
9816,13699
9559,13825
8374,13732
8288,13602
8989,13772
10560,14245
10449,14667
10389,13990
9731,14266
10207,14537
9236,14094
9519,13939
9376,13956
9981,14518
9042,13933
9063,14127
9456,14008
8671,14140
9496,14111
9843,14207
9334,14111
10601,14287
9995,14483
10411,14192
9260,14220
9688,14109
10805,14388
10156,14175
9329,14128
8920,13992
9180,14406
8149,14138
9002,14573
9419,14254
9875,14083
9556,14314
10171,14210
9833,14249
9914,14249
9780,14331
8011,13971
9185,13896
9000,13770
8321,13664
8399,13660
9121,13943
8509,14035
10791,14014
9575,13817
9145,13767
10930,13785
9504,13777
8844,13555
10093,13649
9242,13890
8638,13934
7973,13517
9172,13673
10167,14099
10125,14025
10096,13744
10184,14179
9667,13922
8903,13707
9290,13669
8485,13553
9659,14045
9099,13689
8698,13676
9100,13552
8391,13790
9898,13679
9701,13833
8901,13711
10279,14153
9568,13743
9907,13824
8648,13763
9568,13844
10298,14120
10068,14002
9311,13708
8184,13784
8692,13937
7916,13875
8477,13870
9162,13864
9287,13751
9355,13853
9802,13926
9843,13890
10134,13769
9610,13966
8014,13543
8884,13541
8916,13768
8787,14213
8308,13485
9311,13767
8990,14058
10532,13856
9148,13731
9353,13830
11020,13688
9395,13761
9304,13605
9616,13527
9479,13864
8758,13894
8308,13499
9125,13584
10295,13911
10172,13985
10364,13800
10041,14091
9479,13876
9255,13727
9624,13488
9823,13702
9969,14213
9174,13550
8874,13758
8962,13571
8257,13675
9552,13650
9810,13939
9156,13787
9939,14242
9564,13693
9677,13702
8958,13786
14039,16671
16159,16062
10039,13914
9483,14096
8585,13520
9068,13899
8357,13847
8645,13949
9370,13748
9711,13762
9480,13863
9963,13921
10417,14040
10063,13965
9264,19860
8110,13661
8786,13549
8443,13659
8709,13814
8241,13640
9287,13691
9335,13849
11446,13967
9495,13788
9103,13816
10954,13752
9931,13817
9416,13624
10037,13586
9335,13911
8710,13779
8292,13527
9133,13651
10698,14038
10052,13870
10222,13791
9400,13998
9013,13777
8895,13762
15251,13807
8842,13399
9775,13988
8929,13430
9055,13794
8850,13556
8397,13715
9387,13735
9321,13891
9125,13825
9866,14001
9449,13912
9544,13810
8566,13731
9441,13682
10561,14078
9742,13751
9046,13795
8836,13670
8876,14153
7910,13865
8429,13890
9127,13566
9484,13661
9224,22676
10195,13798
9995,14262
9891,13681
9539,13790
8232,13707
8421,13531
9024,13658
9333,13871
8274,13659
9182,13779
8954,13896
10540,13992
9007,13610
9045,13922
10903,13695
9170,13717
8972,13585
9542,13549
9232,13791
8737,13764
8345,13581
9365,13583
10162,13765
10011,13940
10341,13860
9790,13928
9888,13808
9303,13767
9270,13563
9397,13665
9624,14100
8483,13572
8863,13730
9015,13520
8220,13609
9672,13718
9782,13891
9166,13737
10523,14071
10130,13817
10049,13736
9239,13796
9588,13815
10192,13989
9520,13846
8937,13989
8810,13606
8775,13738
8420,13892
8698,13850
9030,13488
9579,13810
9021,13978
9927,13861
9766,13986
9904,13890
9303,14039
7994,13715
9586,13579
8777,13810
8673,13878
8604,13567
9711,13799
9944,14036
10324,13897
9751,13922
9491,13808
10992,13795
9665,13772
8707,13681
9515,13650
9257,13900
8424,13732
8269,13640
9265,13797
10033,13829
10729,14343
10384,13783
9677,14032
9493,13826
9231,13964
9095,13548
8988,13599
9675,14150
9130,13527
8471,13782
9044,13589
8872,13609
9573,13724
9745,13913
9360,13748
10249,13929
9901,13833
9730,13775
8642,13547
9598,13794
10522,14090
9432,13647
9261,13894
8543,13641
8674,13780
8589,14182
8676,13972
8970,13485
9505,13805
9167,13918
9710,13786
9491,13974
9821,13888
9338,14116
7782,13690
9049,13534
8692,13655
8961,14103
8710,13622
9906,13838
9226,13989
10189,13988
9121,13677
9151,13650
11268,13818
10066,13753
8711,13533
9776,13714
9048,13805
8525,13708
8197,13655
9134,13654
10351,13822
10122,14051
10402,13799
9550,13904
10001,13895
9209,13772
9114,13547
8688,13643
9938,14039
8806,13518
8429,13824
9158,13515
8410,13651
9490,13492
9851,13815
9337,13655
9701,13801
9818,13884
9821,13748
8566,13634
10354,13915
10489,14111
9108,13640
9108,13923
9100,13540
8651,13788
8327,13950
8877,14298
9188,13578
9811,13841
9716,14097
10076,13894
9875,13998
9947,13718
9562,13837
8428,13611
9208,13550
8924,13666
8932,13558
8523,13567
9394,13808
9262,13870
11045,14278
9554,13773
9122,13615
10857,13882
9608,13687
8922,13473
9735,13648
9094,13871
8537,13757
8198,13708
9067,13632
10375,13888
10424,14018
10192,13715
9544,14202
9569,14063
9012,13723
11290,14555
10487,14164
10197,14576
9670,14126
9419,14102
9322,13975
8488,14159
9704,14060
9831,14269
9445,14149
10329,14375
10063,14422
10024,14194
9112,14108
10011,14184
10605,14408
9255,14028
9573,14215
8898,14039
8941,14141
8768,14295
8711,14290
9182,14005
10077,14124
9447,14313
9858,14091
10037,14354
9857,14109
9599,14407
8109,14118
9212,13898
8968,13989
9410,14175
8632,13916
9337,14197
9536,14366
10689,14268
9749,14109
9529,14124
11369,14157
9940,13978
9217,13635
9798,13492
9550,13824
9377,13899
8093,13557
9050,13629
10150,13961
10133,13923
9912,13809
9667,14096
9435,13823
9024,13776
9051,13712
8903,13554
9537,13979
8789,13526
8883,13853
9205,13499
8439,13729
9673,13689
9799,13906
8909,13678
10032,13952
9902,13760
9987,13657
9067,13748
9903,13700
10528,14067
9883,13778
9154,13771
8925,13738
