mark_time_ns,sweep_time_ns
36960,22643
33378,21223
33456,24176
31363,22567
31793,21069
33253,21055
30326,20438
31446,21150
32644,20843
24588,16805
31137,21077
32455,20956
32665,20967
30850,21260
31420,20709
33077,21050
30491,20860
34186,21168
32623,20741
44867,28306
31258,20956
31820,20670
32708,21011
30207,20902
31172,20798
32313,20754
29823,20870
30620,20644
32252,20554
32636,20860
30296,20808
31948,21002
32539,20773
30175,20803
31235,21013
32421,20633
28238,18891
30924,21185
31918,20751
32747,21150
31217,21539
31598,21350
32674,21122
30641,20925
31268,21376
32970,21425
20025,13448
30877,21125
32374,21233
32635,21413
30468,21403
31868,21670
33182,20795
30458,21059
31128,21154
32622,21761
45817,28454
30550,21969
32020,21079
32809,21372
31016,21444
31566,21336
32289,20840
29000,18936
34120,21145
32561,21032
33042,21097
30984,20983
31640,20739
32647,20786
30394,20706
31190,20800
32295,20996
44278,28385
31408,21111
31662,20974
33013,21224
30726,21025
31624,20704
32887,20894
30156,21016
31061,20658
31917,20455
32671,20898
30216,20855
31519,20963
32746,20977
30447,20564
31470,21015
32692,20842
28246,18847
30666,21011
31757,20654
32706,21077
30969,21669
31792,21473
32974,21218
30886,21141
31062,21265
32904,21173
20504,13651
31001,21190
31723,20596
32880,21170
30918,21718
31833,21537
31981,20987
30366,20944
31678,21340
32770,21293
20173,13539
31216,21605
32188,21336
32658,21630
33773,21521
31680,21602
33040,21223
30688,21098
30813,21430
32401,21477
45340,28228
30271,21759
32156,20973
32673,21323
30834,21441
31292,21643
32381,20645
29007,18805
30991,21047
32203,21051
32712,21285
30691,21538
31086,20719
32583,21118
30285,20670
31152,20630
32325,20868
44795,28079
30703,21284
31420,20854
32748,20964
30380,20823
31581,20942
32681,20691
30030,21285
30616,20539
32093,20623
32732,21066
30380,20835
31821,21007
32640,20982
30124,20485
31123,20811
32521,21291
28412,18630
30839,21060
31666,20455
32999,20937
31181,21448
31715,21359
32258,21198
30751,20945
31030,20973
32676,21412
20038,13158
30868,21188
31958,21282
32956,21208
30648,21429
31627,21483
33035,21102
30544,21142
30823,21217
32857,21635
45760,28469
30410,21759
32001,21127
32831,21330
30677,21384
31127,21401
32524,21186
28918,18816
30828,21268
32500,21168
32840,21080
30784,21181
31049,20546
32475,21044
30327,20597
31059,20991
32759,20929
43912,27921
31081,20828
31697,20813
32724,21128
30390,20908
31403,20607
32541,20779
29909,21002
31073,20885
31916,20831
32654,21050
30405,20703
31394,21209
32468,20655
32833,20522
30840,20717
32521,20914
28221,18941
30731,21026
32043,20680
32571,21152
30802,21775
31416,21524
32156,21238
30715,20988
31263,21450
32919,21464
20062,13399
30561,21002
31998,20919
32783,21333
30598,21302
31463,21523
33197,21079
30606,21160
30835,21263
32671,21752
45723,28389
30638,21775
32024,21120
32565,21558
30993,21526
31364,21721
32814,21093
28733,18916
30588,21300
32783,20778
32520,21103
30855,21418
31207,20818
32777,20766
30211,20508
31028,20954
32725,21078
44367,28118
31128,21215
31743,20772
32528,21002
30673,20775
31918,20883
32975,20986
30068,20911
30718,20612
32391,20628
35884,21004
30339,20777
31847,21064
32582,20873
30073,20522
31145,20688
32235,20923
28348,18947
31076,21088
31927,20495
32801,21054
30963,22008
31668,21449
32511,21247
30621,20905
31107,21203
32573,21444
19992,13465
30650,21356
32177,21296
32639,21594
30325,21340
31579,21229
33298,20941
30633,21189
30975,21404
32875,21725
45793,28414
30696,21820
32543,21162
32758,21345
31010,21290
31355,21532
32322,21188
29125,18755
30842,21249
32493,20782
32526,21100
30739,21157
30975,20236
32865,20819
30222,20920
31094,20967
32213,20495
44371,27960
31370,21241
31771,20949
32642,21210
30400,20636
31524,20767
35649,20653
29809,21057
30899,20932
32448,20816
32967,20964
30168,20899
31589,21202
32797,20719
30030,20302
31194,20817
32452,20874
28130,19018
30766,20802
32279,20985
32797,21073
30888,21704
31785,21305
32075,21382
30550,20872
31362,21412
32809,21389
19905,13405
30612,21138
32040,20962
32495,21421
30523,21255
31474,21417
32917,20866
30634,21064
30972,21148
32367,21363
45440,28170
30738,21741
31856,21282
32769,21534
30759,21449
31318,21380
32221,20748
28970,18863
30603,21415
32686,20822
32533,20985
30564,21086
31367,20892
32552,20841
30220,20881
30796,21085
33280,21019
44523,28152
30748,21264
31475,20587
32519,20981
30243,20905
31332,20770
32102,20862
29952,21171
30529,20594
32002,20631
32832,21021
30531,20513
31635,20843
32433,20940
30244,20437
31580,20716
32442,20941
28238,18500
31109,20935
32249,20613
33265,21097
31164,21619
31907,21705
32162,21505
30608,21261
31599,21349
32942,21262
20211,13326
30491,20975
31761,21165
32723,21166
30526,21420
31899,21405
32895,20854
30397,21040
30811,21342
32761,21523
45492,28789
30516,21864
31866,20967
32999,21436
30923,21423
31390,21518
32025,21190
28931,18654
30975,21566
32724,21090
32815,21001
30805,21502
31628,20475
32980,21069
30345,20568
30883,21089
32615,21107
44631,27908
30815,20964
32013,21148
32695,21201
30386,20752
31095,20824
32570,20526
30330,20954
30692,20861
31758,20472
33005,20955
30617,20802
31323,20973
32726,20722
30150,20631
31158,20743
32887,20589
28287,18741
30687,21035
32163,20562
32785,21119
30892,21573
31595,21595
32772,21532
30719,21303
31245,21401
32912,21200
20103,13219
30631,20976
32260,21108
32395,21104
30657,21498
31802,21314
32961,20924
30693,21150
31020,21420
32738,21740
45512,28317
30355,21648
32469,21079
32431,21407
30603,21473
31115,24640
32468,21002
29144,18785
30839,21411
32350,21101
32864,21095
30407,21153
30787,20853
32407,21175
30485,20731
31117,20791
32551,20965
44735,27932
30999,21126
31545,20745
32769,20998
30398,20819
31398,20682
32191,20940
29917,21250
30656,20701
31987,20365
32316,20954
30291,20900
31842,21085
32519,20781
29961,20578
31303,20862
32478,20987
28256,18818
30641,21069
32092,20751
32578,21150
31009,21658
31778,21443
32504,21066
30605,21029
31339,21357
32335,21542
20268,13176
30740,21209
32053,21156
32842,20990
30688,21442
32263,21390
32987,20997
30595,20995
33880,21326
32685,21509
45090,28508
30505,21854
31933,20766
32693,21022
30497,20953
31391,20923
32377,20772
28909,19421
30955,21166
31731,20817
32870,20923
31097,21574
31635,21442
32264,21342
30437,21277
31191,21188
32387,21578
20122,13326
30792,20926
32164,20959
32736,21163
30726,21326
31716,21304
32808,20969
30450,20969
30826,21440
32453,21608
45537,28223
30506,21578
31925,20978
32698,21197
30941,21349
31113,21472
32470,21010
29042,18979
30682,21225
32768,21041
32567,21156
30569,21354
30968,20835
32602,20798
30264,20738
31041,20701
32344,20728
44932,28159
31090,21360
31529,20803
33112,21491
30279,20909
31697,21174
32725,21037
30304,21357
30881,20711
31879,20896
32752,20859
30626,20697
31533,21268
32652,20993
30492,20774
31290,20938
32569,20991
28217,18847
30597,21055
31858,21147
32869,21064
30979,21357
31520,21360
32259,21163
30627,21070
31291,21383
32560,21574
20201,13422
30963,21279
32286,21174
32897,21330
30615,21520
31914,21492
32751,20996
30912,21076
31058,21524
32861,21770
45901,28499
30820,21911
32376,21302
33276,21509
31373,21508
31509,21334
32650,21340
29341,18834
31190,21684
32914,21173
32994,21105
31092,20978
31265,20759
32695,20974
30136,20847
30988,20922
32374,21163
45158,28276
30752,21059
31610,20809
32701,21311
30565,21076
31546,20703
32584,21015
30519,21099
30774,20894
31950,20748
33097,20949
30364,20775
31520,21149
32526,20870
30212,20996
31306,20823
32407,21028
28209,18874
30932,21214
31875,20633
32688,20894
31114,21551
31697,21511
32659,21524
30496,21363
30938,21197
32930,21562
20103,13290
30770,21228
32273,21068
33069,21390
30718,21564
31933,21534
33094,21248
30691,21018
30901,21621
33000,21661
46150,28629
30827,24998
32440,21224
33011,21377
31200,21231
31784,21528
32631,21503
29071,18830
30867,21614
33094,20944
32740,21081
31010,21195
31439,20714
32708,21169
30433,20760
31207,20962
32831,21199
44876,28173
31243,21049
31713,20931
32871,21335
30761,20826
31478,20712
32394,21026
29973,20928
30607,20571
32123,20771
32856,20931
30304,20826
31540,21009
32919,20999
30457,20845
31099,20956
32818,20972
28502,18712
30848,21219
32031,21045
32651,21004
31128,21685
32056,21761
32351,21246
30796,21380
31893,21492
32493,21547
20262,13354
34168,21538
32165,21155
32592,21754
30820,21519
31941,21419
32979,21117
30422,21376
30976,21481
32859,21486
45618,28869
30972,21941
32341,21165
32743,21616
31196,21525
31701,21463
32816,21052
29267,19252
30787,21609
32546,21246
33028,21133
30689,21382
31170,20951
32940,20893
30757,20644
31001,20980
32789,21070
44491,28143
30848,21054
31713,21001
33009,21088
30436,20858
31783,20838
32790,21008
30082,21165
30991,20654
32677,20576
32786,21032
30677,20664
31968,20940
32571,21102
30597,20570
31253,20893
32690,21189
28448,19010
31170,21359
31795,20997
33049,21007
30913,21852
31706,21590
32747,21422
30891,21372
31542,21453
33063,21537
19997,13319
31012,21326
32228,21110
33249,21368
30964,21302
31962,21539
32729,21231
30884,21341
31510,21592
33117,21982
46039,28441
31157,21794
31981,21323
33027,21290
30762,21560
