mark_time_ns,sweep_time_ns
1332691,287862
2740122,574898
5867637,1380966
9772,707074
10930,44607
10706,37408
9622,35015
10336,34242
11035,34261
14726,34921
16481,34748
33901,38944
11962,31500
103372,56403
65982,47182
600592,155221
518662,165343
3132321,670419
6794240,1536661
13407,100127
12834,88318
17700,84728
34502,88905
127303,112195
397980,168433
2212141,555135
9795,100225
7576,76206
7742,73612
16959,78069
9597,75741
57500,86279
10359,73023
2574964,629366
10552,85755
9980,78228
17406,78558
28630,78865
125410,101870
403578,157890
2206527,541300
8551,82519
7733,74728
8335,72688
15739,75019
7816,73808
58212,85731
9124,73468
2559426,617487
8937,83169
8441,75097
13039,75910
31611,80597
122936,101438
397237,159179
2193972,544505
8535,83220
7628,76654
7469,73884
16702,75120
8470,72498
57097,88792
9364,72851
2539734,623831
9691,84910
9562,77108
16409,76238
27831,79258
123251,102089
401634,158364
2192130,544577
7888,83091
7663,75714
7651,73867
16239,77007
7467,74339
57756,86369
9208,75149
2537915,625184
8886,87119
8500,75745
13392,75738
33653,80025
123368,104567
397895,158898
2205416,542681
8348,82896
6863,75212
6310,73760
15207,74307
8280,73191
58411,89073
8472,74234
2533754,619545
9686,85443
9410,78372
16757,76474
28165,80506
123433,103919
396874,162498
2205009,544423
7735,83662
6616,74284
7696,74940
16120,77065
7493,74260
59120,88249
9689,75483
2536958,622251
8650,85144
8461,74293
13170,76847
33244,81817
127606,102742
403415,157258
2214898,548754
7899,85152
7223,75131
7404,74357
15782,75527
8545,72628
56738,87590
9224,73614
2544927,628259
9804,87489
9078,76518
17183,76844
27844,79632
125028,102322
396635,160939
2173808,545904
7992,84941
6936,75945
7136,73655
15575,76549
7543,72305
56127,86022
8719,73453
2532437,626047
9272,84637
9149,77318
13279,76126
31832,79589
124923,103589
394553,159790
2200476,544543
8870,82458
7012,74711
6422,72672
15764,75182
8389,74908
61334,88030
9238,74052
2525375,621746
9198,84936
10467,75407
16625,77528
27414,79985
125360,103406
401586,158275
2194403,547960
8055,82623
6821,76309
7048,75773
15419,77622
7696,74540
56696,88500
8890,75142
2523106,625347
8215,85792
8350,75479
13429,74917
32550,79175
124677,104459
399225,160454
2206900,546947
8478,83444
7068,76774
6609,75133
15735,77059
8573,74419
57778,86833
8937,73937
2545284,632089
10647,85899
9711,77721
17159,77425
27487,79589
124855,102787
398550,161327
2189580,547468
8342,83905
6487,76550
7262,75360
16541,76400
7433,73485
56541,86915
8845,74775
2531203,637079
7957,83766
7971,75393
12956,76762
32262,80014
125327,102116
402835,157809
2207760,547826
8320,84650
7244,77168
6650,73940
15103,77012
8771,74265
56772,85821
8680,73528
2553374,628215
9779,85373
9613,76702
16556,77540
27442,80873
124482,103296
398775,158800
2177640,547607
7956,84560
6985,75630
7289,74524
16033,75885
7309,73973
57402,87259
8940,75422
2554328,628907
9125,86269
8153,75531
12584,75129
31814,80651
124007,102582
395236,160296
2205267,549860
7922,82626
6132,74874
6135,75216
15385,75933
8118,74489
57093,90692
9091,73509
2527555,627314
9858,82927
10121,78483
17974,78155
27248,78754
123330,103690
398937,158859
2198394,559825
7644,82626
7318,74019
6858,73420
15250,76349
7641,71874
57758,86746
9694,77737
2536895,628311
8995,85497
8385,75342
12927,77416
32707,80916
124353,102020
393121,159733
2210939,546046
7931,82054
7434,75845
6756,74502
15394,76875
8536,73656
58959,86722
8699,74879
2516032,625412
9545,85272
10206,78366
16146,76858
26933,79125
125002,102148
402391,160995
2212276,550380
8988,84406
7296,76107
7442,75432
15341,77083
7236,73952
56400,86241
9659,73802
2520884,638101
8562,87344
8496,76334
12997,75701
32269,80725
124330,103597
401930,159981
2195585,548694
8644,83741
8099,76816
6835,73372
15802,75223
8851,75629
57925,86196
9160,73154
2514357,629391
10342,83976
10328,77088
17101,77661
27928,79460
124178,103179
395315,159363
2191130,548887
7641,84089
7356,74556
7791,74062
15396,75947
7806,75223
58237,86121
9461,73569
2534402,630575
8615,85179
9065,77194
13385,77253
32032,80722
125312,102495
402495,159295
2251158,556436
9117,83295
6899,76805
6635,75065
15480,78305
8487,74007
58541,88128
9032,80550
2712299,623943
10268,85364
11113,78173
16714,76351
27656,84697
124882,102501
402662,157740
2224570,548049
8325,82868
7413,76565
6520,74318
15348,77542
7146,74148
59056,88287
9561,75805
2565778,638330
8831,86350
8925,76145
13377,75411
33170,82256
124428,103264
400002,159397
2234524,548403
8374,83484
7564,75167
6861,76713
16124,75906
8230,74663
57223,88001
9036,73103
2562364,624359
9475,85321
9985,77076
16340,78647
28312,81410
125425,101412
400728,158849
2226426,553987
7848,84207
7605,74879
7222,74961
15780,75847
7177,75013
57316,87653
8687,75087
2586453,623183
8886,86365
8963,77664
12990,75816
32320,81771
122986,104496
401858,159358
2242196,547024
8316,82264
7303,81928
7055,75525
16170,76586
8776,74260
57834,87273
8699,74841
2573570,624786
8920,85713
9788,79469
18041,76892
27840,81159
125331,102342
401710,158946
2221987,551881
8666,84388
6891,76633
7505,74259
15894,78087
7601,74824
56916,88130
9266,75976
2582644,628329
8881,84400
9360,77494
13100,76749
33203,80526
123849,102800
397000,160619
2227500,546849
8492,83933
7740,76978
7072,74607
15522,78187
8323,74975
57080,88192
9278,75781
2574295,625916
9439,86238
9574,76649
16685,78500
27569,80954
123810,102150
400887,162995
2226121,548670
8538,84672
7739,76876
6861,75144
15872,78318
7033,75144
56389,88841
9334,74337
2607172,629404
8928,86064
9904,77630
13549,77438
32912,81261
123333,101986
402011,158841
2345789,547660
9103,83765
6857,76204
6824,75795
16028,77078
8364,73605
57301,88492
8676,74426
2573959,632365
9581,88948
10188,78729
16884,76687
27696,80448
130605,103943
401498,160349
2223847,549154
8156,82674
7257,78677
6573,75137
15673,75923
7547,74634
59122,89341
9314,76344
2575110,630327
9787,86615
8461,76299
13919,75903
32776,81563
123370,102352
399132,160521
2248857,548453
8300,85331
7292,76506
6871,74312
15851,75791
8470,74570
56742,87492
8947,73394
2579555,627448
10349,85416
9526,77409
16968,77267
27389,80274
125064,103452
404899,160092
2232383,553799
7935,85308
7254,76270
6818,76649
15237,78195
8205,74361
58228,87363
8764,74493
2621382,627920
8205,84455
9050,77352
12849,76559
32715,81749
124762,101947
401953,159588
2230344,552322
8286,82476
7327,75817
6973,74253
16038,75957
8556,76172
58158,88111
9223,74797
2585847,628889
9244,85961
9546,77163
16565,79718
27224,79439
125731,104035
397969,158774
2221808,554485
7832,83006
7133,77383
7532,75430
14998,78453
7010,74613
56377,88294
8723,76099
2647332,626881
9229,86460
8565,77748
13094,78632
33180,81867
124093,101943
404933,159065
