mark_time_ns,sweep_time_ns
90629,61136
81700,69976
84581,65691
83097,64249
83659,65310
86940,64850
83533,65774
83381,65001
84612,65882
84976,65100
83712,65257
83286,64772
84614,64638
84248,65154
83279,64823
83395,65097
84786,65414
84037,65325
83559,64742
82540,64421
84182,65479
83482,65201
82705,65103
83336,64841
83968,65433
83623,65031
83835,65046
82372,64386
89610,65410
83941,65499
83353,64902
82870,64760
84396,65669
84042,65224
83409,64982
82859,64851
84093,65752
83661,65286
82990,65265
83044,64846
84146,65090
83755,65277
83379,65462
82843,64527
85110,65027
83831,64922
83539,65110
83355,64483
87911,65906
84181,65266
83165,64950
82744,64967
85332,65350
83754,64162
82840,64917
82868,64201
84474,65776
83914,65477
83569,65183
82805,64316
84271,65272
83239,65398
83585,65933
83119,64538
84930,65754
83571,65282
83324,64829
83181,64604
84499,65549
88590,65591
83592,65160
82595,64712
83968,65560
83728,65376
83290,65558
82732,64302
84577,64348
83352,64991
82942,65591
83076,64298
84130,65883
83431,65808
82964,64933
82522,64390
84772,65812
84195,64602
83288,64811
82659,64423
84102,65402
83317,65063
83089,65076
83266,64230
84252,65262
83686,65332
83141,65383
82625,68396
84587,65433
83852,65278
83698,64576
86495,64625
84681,65742
83501,64988
83948,64999
83017,64837
84270,65439
83746,64852
82891,65258
83322,64378
83877,65415
83355,65351
83302,65586
82766,64737
84279,64889
83274,65212
82896,64703
82551,64679
84186,65153
83498,65494
83502,64916
82590,64964
84192,65878
83719,65117
83140,65545
83053,64607
83978,64962
83800,64736
83283,65520
83319,64641
84410,65535
83456,65177
88665,65204
82914,64621
84413,65423
83979,65258
83000,65769
82826,64756
84209,65279
83394,64945
83122,65023
83076,64593
84782,65418
83616,64814
83280,68194
82623,64527
84355,65697
84076,65249
86179,65875
82880,64530
84366,65511
83529,65279
83240,65368
82826,64394
83759,65422
83545,66102
82984,64471
82532,64379
83755,65482
83796,65253
83306,64954
82883,64663
84593,65395
83956,65147
82821,65564
82730,64875
84454,65236
83955,64906
83219,65395
82654,64418
83912,64907
83686,65799
83120,65476
82799,65110
83968,65481
83344,65234
83351,64529
83276,64722
84309,64888
82613,65117
83306,65063
82785,64771
84304,65652
83626,65197
83036,65239
82830,64154
84425,65462
83466,65365
83368,64777
83159,65037
84410,65554
83500,65312
82946,65350
82385,64401
83870,65181
86475,65215
82740,64556
82875,64560
84144,64674
86780,65292
83890,64744
82660,64877
84818,65469
84382,64875
82879,64832
83078,64562
84173,65701
84072,65463
82926,64549
82411,64301
83906,65642
83519,65417
83488,65040
82628,64272
84005,64911
83645,65083
83028,65497
82844,64924
89973,64878
83573,65820
88777,65258
83019,64485
84228,65534
83961,65220
83751,64838
83109,64555
84299,65491
83907,65182
83186,65929
82859,64844
84254,65340
83361,64928
83136,64936
82574,64290
84111,65371
83357,64968
83060,64598
83053,64477
84430,65493
83861,65333
82837,65048
82357,64494
83954,68416
83407,64785
82977,65457
83277,64477
88132,64807
83553,65180
82731,65503
82292,64793
84571,65366
83099,65286
82954,65788
82109,64253
84837,65472
82925,64844
83018,65208
88170,64445
84509,65170
89008,65239
83280,65981
82673,64764
84225,65702
83547,65002
83083,65543
88064,64436
84367,65474
84038,65284
82410,65363
82497,64517
84230,64713
83713,65185
83289,65554
82453,64146
84269,65380
82851,65100
82543,65736
82775,64959
84345,65349
83340,64948
83018,65154
82640,65014
84387,64842
83141,65352
82888,65186
82315,64556
84723,65415
83545,65338
82921,64780
82684,69013
83966,65475
83601,65350
83231,64780
86164,65122
84610,65206
83155,65252
82996,65105
83316,64930
84252,65083
83820,65418
83168,65150
83444,65046
84019,65533
83369,65209
83292,64828
82493,64342
84876,66096
83950,65517
82635,64491
82419,65017
