mark_time_ns,sweep_time_ns
95310,81561
76845,82248
79288,79326
77496,77742
73976,72774
87598,82384
78665,79707
77423,79037
76344,75692
72246,72715
80138,82529
79469,79666
78487,78172
76085,77125
72994,73166
84261,80940
84669,79823
78229,78010
76379,76903
73395,72816
84261,81628
80294,79875
77975,77934
76142,76819
73202,72892
83878,82098
79619,80000
78512,78765
76087,77137
73914,72947
84559,81144
80243,80468
77848,78336
75511,76683
78038,73959
83230,81347
79874,79242
77389,77931
75663,76927
73044,72840
83174,80803
79784,80477
77546,78062
76246,76993
73376,73013
83337,81262
79156,79362
78326,77967
75675,77032
73615,72895
83760,81553
79844,79828
78406,78330
75666,77380
73940,73219
83523,81120
79496,79203
78321,77393
75481,77825
73557,72556
83303,81304
80175,80388
78402,77811
75920,77376
73424,72804
83928,84928
80416,79561
77597,78108
75726,76628
73405,72602
83633,81344
80022,79750
77916,77886
75672,76375
73067,72771
83136,81389
79470,78794
78181,78627
75631,76409
73578,72661
83993,81666
79852,79672
78392,78017
75437,77254
73641,72750
84146,81171
79866,79821
78361,77940
79636,77509
73516,72752
83733,80551
79770,79978
78234,77861
76311,77101
73452,72959
83581,80901
79460,79542
78100,78336
75813,76908
73974,72603
83994,81080
80196,80051
77962,79136
76187,77463
73259,72980
83198,81327
83093,79433
77853,77591
75177,76953
74257,73018
83817,81132
79213,79866
77859,78764
76005,76419
73244,73222
83506,81056
79565,79783
77773,78010
76165,76617
73405,73221
83561,81313
79983,79785
78002,77722
75907,77021
78012,73539
84168,81492
79755,79189
77547,78432
75670,76822
73502,73495
83860,81633
79790,80093
77935,78503
76203,76870
73077,73067
83533,81192
80036,79474
77604,78165
75776,76919
73582,72989
83281,81104
79559,80262
81745,78866
75879,76415
73740,72636
82958,81278
79770,78995
78797,78556
75735,76859
73664,72814
83370,80981
79901,80224
77748,77753
75958,76599
73103,73212
83249,80831
79845,79127
78533,78031
75716,77253
73348,73272
87104,81013
79804,80321
78233,78237
75571,76863
73563,73288
84044,81499
80173,79212
78405,77718
76095,76393
73120,73354
83840,81188
79685,79623
77892,78294
75232,77077
73963,72458
83531,81327
79622,80066
78065,78184
76071,76849
73889,72781
83947,80715
79654,79468
77701,78172
75987,76686
73254,72640
83138,81555
80149,79296
78498,78088
75896,77021
73027,73506
83305,81702
79483,79746
78612,78572
75800,76299
72793,72977
83549,80603
80174,79460
78381,78046
75606,75747
73524,73161
83889,80680
79941,80038
77850,77700
76043,76271
73169,73038
83331,80967
79962,79321
78452,78084
75632,77242
73348,73167
83509,80917
79518,80626
