mark_time_ns,sweep_time_ns
11038,8171
9588,5558
9548,5524
8985,5610
9385,6153
9350,6217
9480,5523
9146,5351
9166,5819
9211,5586
8954,5713
9057,5398
8972,5539
8954,5986
9125,5075
9017,5547
8911,5481
8842,5969
9058,5593
9374,5262
9331,5322
9141,5579
8941,5522
8978,5130
9113,5816
9140,5833
8950,5994
9437,5923
9171,5563
9282,5517
8906,6096
9018,5685
9014,5548
9344,5562
9219,6040
9037,6077
9279,5911
9331,5598
9478,5758
9090,6334
9562,5919
9177,5222
9221,5642
9105,6021
8983,5882
9284,5274
9183,5635
9011,5657
8976,6016
9131,5783
9191,5686
9335,5886
9256,6038
9200,5863
9447,5434
9046,5542
9048,5995
9313,6121
9422,5985
9304,5301
8976,5871
8814,6455
9027,5852
9155,5880
9265,5294
9206,6093
9038,6096
9425,5529
9365,5403
9004,5844
9070,5703
9090,6033
9368,5290
9395,5633
9154,6275
9083,6423
8954,5561
9237,5520
9073,5917
9027,6158
9342,6036
9342,5896
8983,5702
8960,6458
9173,6046
9087,6048
8971,5708
9470,6299
9358,6010
9270,5230
9278,5772
9604,6064
9211,5984
9300,5877
9747,5570
9285,5625
9346,6030
9210,6161
9044,5375
9368,5703
9283,5690
8867,5566
8986,5414
8993,5629
8944,5431
9014,6035
9200,5997
9361,5655
9247,5555
9396,6102
9376,5982
9272,5734
9242,5584
9218,6005
9043,5793
9425,5941
9276,5767
8881,5804
9255,5711
9130,5909
9016,5460
9317,5345
9163,5691
9298,6166
9172,5673
9549,5814
9056,5759
8977,6025
9475,5930
9482,5348
9361,5590
9329,6050
9532,6019
9230,5820
9405,5535
9131,6065
9226,6406
9082,6195
8943,5918
9251,5483
9156,6232
9026,5968
9433,5377
9051,5458
9346,5712
9248,6006
8900,5885
9360,5386
9326,5863
9153,6323
9135,6348
9322,5434
9273,9159
9324,5910
9265,6204
9548,6255
9253,5806
9486,5934
9049,6205
9441,5980
9061,6220
9074,5811
9408,6299
9242,5882
9235,5137
9208,5450
9076,5638
9422,5808
9224,6169
9079,5413
9344,5724
9119,6049
9288,6120
8911,5414
9496,5386
9038,5569
8988,5846
9251,5892
9286,5647
9228,5820
8699,6419
9042,5799
9039,5603
9311,5528
8922,6233
9412,5767
9270,6213
9240,5736
9486,5658
9489,5879
9297,5849
9111,5601
8867,5775
9123,5933
9101,6011
9156,5458
9409,5723
9366,6018
9266,6140
9714,5661
9452,5411
9474,5630
9339,5955
9401,5853
9052,5211
9345,5302
9174,6011
9160,5864
9560,5746
9294,5546
9309,5657
9131,6409
9204,6150
8944,5618
9096,5340
9178,5808
9165,6208
8892,5176
9088,5486
9184,5799
9212,5756
9334,6294
9244,5411
9011,5693
8764,6207
9124,6267
8891,5572
8994,5794
9279,6012
9223,6289
9345,6043
9172,5722
9483,5464
9182,6050
9118,5837
8622,5932
9267,5546
9054,5967
9291,5936
9397,5338
9028,5390
9250,5841
9183,5711
9375,6036
9229,5309
9515,5672
9297,6319
9186,6274
9126,5838
8981,5797
9108,5789
9177,6369
9475,5858
9221,5693
9328,5700
9157,6041
9430,5711
9334,5909
9207,5584
9282,6183
9088,6084
9575,5781
9024,5825
9184,5808
9519,5984
9247,6195
8967,5547
9357,5573
9223,5968
9014,6013
9209,5539
8959,5494
9269,5867
9421,6203
9418,5913
9315,5632
9399,5752
9254,6178
9014,6057
8963,5511
9221,5791
9398,6066
9357,6454
9506,5772
9170,5687
9441,5809
9438,6094
9349,5857
9275,5729
9311,5227
9268,6200
9393,6345
9528,5353
9365,5548
8947,5745
