mark_time_ns,sweep_time_ns
38084,26004
43971,30079
29882,21606
38314,25657
47963,29785
49166,27621
32107,23760
23790,18312
22128,17701
42644,28641
28356,20793
72834,43960
45545,32846
48519,33256
41818,29157
36657,22921
25850,18809
51476,32528
38570,26239
19406,15381
54279,34253
23234,17436
33829,24976
43013,28514
33506,21691
31890,23267
23917,18775
31168,23756
43642,29139
49438,33548
33650,24211
23977,19124
26417,18301
54979,33996
41470,25824
27040,20562
52677,33753
62353,38026
31339,23378
26500,20105
52604,35322
30294,21645
31738,23152
32088,23288
51595,32763
22760,17789
41170,29006
27020,19126
22275,17429
27587,20078
33922,24340
50279,31152
38270,25676
27678,18922
54717,34000
33505,24421
42027,28567
33584,23517
65208,40268
54053,33833
26749,20313
35606,21955
47944,30900
29809,22910
22465,17297
45797,25689
20716,16057
34881,22332
42130,27746
21535,16642
33112,24429
22898,17554
34878,24844
31885,23340
65302,39706
25901,19150
51719,33138
23845,17731
52677,34616
32876,21729
21746,17342
28553,21329
33081,21406
38091,23483
48173,30505
72669,39121
47766,30441
34286,25051
24578,19227
22941,18254
29088,22197
48548,28058
35213,26948
38032,26243
33128,25061
57411,37372
51756,32465
33543,23347
45246,29208
29835,22234
39548,26411
50154,33260
25624,19708
34308,25156
31435,21557
30126,21390
45113,29956
31126,22464
74906,46519
47132,31089
51698,34108
43257,31246
37826,23944
25834,18196
52090,32475
38909,26091
19407,14954
54324,33937
23250,17208
34513,25504
23224,17067
19318,15834
25120,20171
49148,31037
44617,30141
49200,31041
29437,22271
49172,32235
37680,23457
55096,36512
31781,23128
37000,25064
23726,18050
23064,17043
30323,21116
47556,31235
55017,33702
49487,33506
45634,28634
31208,22705
35144,24651
52733,33698
39249,28003
29491,22531
67712,41758
22902,17112
54212,33576
26402,20000
41718,27460
58081,35052
59242,36258
49264,31358
27347,20763
29794,22449
29719,21276
30743,20372
54175,34194
46211,30971
25739,19802
26996,20940
32821,24191
59677,38747
33084,23788
57724,35770
28756,21836
24712,18613
50459,32096
25179,20108
75986,45974
39593,26139
34494,24617
46534,30492
30458,22092
39150,28786
33355,23182
41510,26843
49349,33750
36217,23854
46812,26889
49899,32287
31193,22559
24381,19363
39368,27225
36949,23246
30344,22695
23916,18444
26571,20589
45746,29991
27373,21165
71227,45696
53539,33496
31424,23741
48125,32368
36918,23346
55714,36919
29716,22032
36327,25155
23370,18120
23052,16865
30230,21268
46985,31292
56003,33761
23664,17812
31894,22697
24352,18551
31162,22729
86622,52279
28558,20395
52004,33312
28750,19397
21850,17435
27263,20103
34234,24235
51695,31935
38184,25673
28112,18664
54908,33210
34105,23800
41936,28143
33804,23235
64827,39936
57080,34249
24958,19482
35693,21718
45561,31613
65340,40007
59007,40443
50178,34533
65688,42565
33327,24457
28490,20918
52139,35376
26652,21095
77193,50721
40904,28909
36759,25911
82099,52688
37362,26562
45169,31494
38149,26217
24344,19145
54658,34664
24178,19725
33748,22141
34125,23585
28980,21071
60435,36863
51145,31937
80193,50227
27446,20734
52884,31998
20704,16680
35368,22170
23651,18701
30864,22724
52615,33064
26500,21105
44704,30197
38884,23768
56805,36976
28036,20980
35744,24373
50916,31209
38710,26217
25674,18366
56362,32691
72251,47132
36727,24019
46470,30263
25293,17702
52377,33470
48582,28036
32855,24204
31638,23554
26270,20428
22181,17543
22757,17201
71850,42961
31771,22905
28232,20413
25411,17466
29597,21909
34138,21628
28684,21583
28681,21396
64605,39991
24247,19151
51227,33828
35658,22571
47382,30837
66021,39778
31393,19955
36397,25212
59490,36188
32295,22519
28599,21020
50585,32609
28747,21200
77628,46972
