mark_time_ns,sweep_time_ns
24278,13803
20110,11701
25217,13959
20436,11828
15537,9550
18013,11014
23357,14059
7816,6059
17704,10595
23448,13725
18964,11375
14621,9627
17652,10847
22790,14089
7630,6243
17240,10947
22910,13527
18946,11579
17057,9302
17234,11109
22966,14177
7601,6050
17366,10968
22991,13195
18774,11436
14148,9689
17499,11121
23135,13750
7358,6268
17231,10787
22810,13344
18635,11892
14440,9318
17275,11180
22767,13517
7232,6315
17136,10668
22534,13467
19121,11778
14279,9375
17316,10822
22984,13650
7244,6139
17262,10907
22744,13911
18757,11847
14212,9514
17233,10874
22707,13704
7417,6354
17250,10723
22933,13844
18591,11602
14405,9589
16936,10812
22781,13851
7214,6180
17319,10508
23145,13510
18930,11684
14237,9666
17728,11090
22743,13440
7571,6138
17099,11076
22846,13672
18832,11478
14510,9345
17530,10891
22822,13977
7236,6160
17164,10773
22935,13231
18736,11491
14280,9257
17344,11107
22850,13610
7349,6223
17108,11030
22885,13952
18554,11532
14469,9463
17145,10842
22631,13634
7333,6173
16908,10603
22926,13487
18578,11572
14413,9385
17551,11190
22670,13588
7394,6314
16951,10824
22673,13398
18940,11449
14352,9439
17303,11034
22826,13847
7153,6102
17006,10583
23470,14242
18713,11444
14498,9493
17220,11108
22724,13897
7436,6337
19618,10974
22877,13591
18783,11668
14304,9463
17221,10996
22348,13606
7486,6382
17359,10622
22626,13371
18648,11607
14174,9364
17110,11029
23109,13824
7344,6122
17132,10996
22748,13478
18935,11844
14286,9325
17281,10969
22498,13944
7143,6125
17279,10609
22839,13453
18596,11538
13990,9231
17157,11170
22396,13851
7288,6264
16970,10827
22417,13589
18738,11400
14190,9382
17300,10986
22385,13506
7141,6198
16983,10954
22706,13563
18791,11496
14311,9546
17166,10638
22761,13844
7195,6037
17225,10911
22659,13548
18383,11620
14533,9319
17502,11061
22802,13745
7376,6358
17222,10893
22627,13578
18391,11638
14361,9410
17301,10940
22492,13673
7186,6303
17033,10785
22543,13773
18759,11563
14350,9222
17421,11020
22677,13958
7445,6002
17204,10823
22808,13647
18869,11614
14629,9483
17101,11082
22623,14109
7187,6328
17007,10928
22756,13559
19084,11517
14528,9567
17193,10889
22675,14040
7036,6118
17095,10771
22650,13680
18581,11496
14371,9522
17290,11143
22766,13599
7206,6391
17273,10979
22846,13467
18671,11920
14279,9331
17272,10986
22868,13793
7384,6161
16908,10775
22589,13554
18721,11683
14186,9431
16995,10823
23045,13927
7339,6321
17371,10591
22863,13632
18734,11780
14239,9457
19757,11289
22796,13799
7249,6111
17355,10926
22645,13521
18938,11982
14275,9549
17572,11036
23076,13727
7446,6087
17266,10748
22821,13461
18568,11735
14281,9414
17269,11026
22801,13542
7382,6120
17059,10914
22579,13567
18617,11532
14075,9234
17143,10738
22854,13870
7297,6225
17118,10923
22958,13558
18655,11553
14195,9437
17208,10896
22788,13949
7257,6226
17027,10625
22648,13673
18590,11909
14060,9573
17506,11188
22811,14049
7335,6139
16845,10791
22918,13710
18822,11841
14279,9567
17285,11023
22925,13746
7393,6288
17300,10718
23039,13687
18670,11738
14453,9643
17374,11188
22387,13940
7193,6063
16938,10849
22716,13687
18449,11738
14002,9136
17040,10982
22829,13994
7143,6319
17326,10710
22880,13760
18776,11704
14496,9417
17251,11184
23019,14038
7156,6333
17123,10801
22709,13520
18793,11608
14065,9444
17134,10812
23196,14015
7228,6100
6289,5586
