mark_time_ns,sweep_time_ns
138433,177149
183987,254519
101896,161742
33672,70850
223068,308287
129738,184937
33447,71152
215721,301466
110957,176318
32425,69181
216913,296523
119279,175861
33154,70471
207577,295815
110185,171375
34026,69212
203913,291100
104767,165451
32968,69468
199816,282333
100162,165702
32657,70147
195667,290334
102780,166203
32361,69754
201444,283836
101149,165594
32706,69390
197114,276464
101848,174019
31946,68777
193606,282668
100055,164085
32014,69467
202756,288991
108202,168139
33747,70027
196933,280197
99581,164192
33468,68206
192682,277171
101560,161363
32651,68973
196215,281357
98344,164223
32655,68618
199365,282776
100674,162241
32444,68630
193203,282590
100593,164673
32932,68401
198251,283530
101625,161894
31998,69135
192275,274924
97943,164837
32810,69571
192348,278846
101527,163435
33284,69918
189963,290480
101110,164982
32151,69008
197060,281714
101164,166047
32320,68625
189341,276910
100711,162864
31980,69963
193616,280059
101798,163111
31983,69734
193682,277559
98522,163678
33722,70086
194264,280860
100004,163625
31717,69369
193896,279137
100963,161884
32974,68709
197462,277508
99611,162095
33128,69514
193204,281729
99470,164491
31561,69133
192575,276645
102605,162102
32790,68452
195256,277303
97638,163460
31847,68464
194557,278498
99520,163298
32437,70326
191495,275876
99628,163503
33138,68516
191142,286586
101995,161911
33662,68761
193235,273779
99868,163374
31786,69029
190199,279282
109432,162847
32598,68916
192007,273452
100571,162988
32935,68346
192921,276160
101761,165883
41099,69409
194252,279872
99689,163429
32109,69579
192852,280155
99496,165919
32259,69706
199298,283175
99606,163375
32460,70054
194955,281071
100459,162357
31961,69197
189006,278963
99632,162398
32883,69416
192965,279749
100613,163585
31736,69682
193659,281579
99273,164245
32052,70431
190684,281711
101077,164438
32546,71139
191526,290818
97654,163689
33001,68826
195821,281263
101466,161994
31617,69121
189509,280632
96916,162598
32412,69110
191142,281621
101729,163058
31942,69739
187418,276927
102116,163365
33024,68869
191644,278768
98877,163425
32822,69725
191138,278402
97274,164149
33457,68740
195559,292444
100106,164279
32997,69949
194630,275308
99458,164064
31978,70181
189025,275662
109128,167137
32998,70560
196994,282634
96674,163305
31899,69277
188074,281363
102333,169214
33374,69687
194926,279876
101980,164545
31640,68805
193194,279044
98201,162686
32549,69527
201034,284707
95954,163223
32258,69924
191299,276560
97754,161003
32095,68967
189679,279115
99347,162499
32489,69041
190227,279622
102717,167992
32800,69436
190381,279605
99311,165719
32860,69774
193431,282914
100639,163860
32049,69009
191824,284041
103369,167422
33414,68659
190488,279935
102605,161643
33328,69619
194430,283115
98067,174114
31683,69187
192918,281841
99283,164373
31468,69359
191021,279541
98705,164317
32910,69455
192572,279495
99508,163932
31712,69823
192200,275035
97509,163325
32307,68897
193235,291959
101793,161527
32647,70580
195106,277700
97248,162154
31942,68640
195865,281062
109481,166561
32339,69340
187835,277592
98512,166296
32636,68867
197278,283686
101594,163210
32363,69859
191907,278157
100710,166292
33253,68721
195967,280892
102020,162588
31550,69068
187568,275538
97132,164097
32612,69604
198347,284569
102387,167018
32066,69635
189427,276959
97959,162422
32925,69737
193042,280097
102614,165703
32658,70582
194669,278363
98794,164524
32693,70742
194203,279065
100364,164684
31662,69615
193450,286992
97606,162306
32488,68895
192819,280079
99105,165334
33622,70141
191239,278574
98127,172680
32797,69414
195074,282798
103798,163801
31949,69175
193102,276368
98878,165653
31893,78130
196828,283070
100965,163840
31520,70187
193574,278203
99330,165572
32317,69855
198316,279597
102462,163259
32136,70024
195175,282158
97986,164833
32947,69739
189959,275608
100579,167669
32425,70004
198339,281699
102355,170306
32599,68206
195357,283146
104705,166305
31685,69042
196871,276729
98861,167069
32501,69601
191169,278756
99683,161781
32893,68791
191006,275196
97014,165013
32175,70110
194906,281148
102559,165054
33045,68698
193470,276792
100553,164570
32926,68339
189040,279525
103921,162975
32534,69149
193513,275877
99555,166242
33488,69165
194453,279667
105549,163697
31602,69159
190250,287663
98512,161153
32887,69247
194734,282249
101934,162519
32254,69568
193751,278812
99401,171528
33359,70389
195602,281831
97292,164683
32390,69131
193394,280191
99736,167016
32997,77559
194533,279225
102467,164191
32576,69900
189585,275672
100774,162996
31879,69077
198937,279816
102211,162636
32481,68949
192446,276504
99529,163217
32120,69509
195409,281322
109020,166906
32153,69728
193843,278135
99291,164818
31645,68602
191363,279678
103273,160805
32494,69531
189400,275396
97131,162896
32092,68965
193198,279277
99678,166250
32875,69932
199986,276092
98870,162822
32274,69442
189373,276286
98404,163757
33443,69192
188083,279527
97326,161887
31557,68269
185510,276556
100075,164407
32442,70179
192028,273968
98845,161389
33437,70177
190700,276664
99838,162892
32327,70004
188180,278041
95996,161497
32723,69625
202048,279762
101149,162051
32242,68720
190208,276847
99115,163782
33862,69486
191041,281251
100430,162593
32451,69035
193460,278267
100975,163491
32857,69182
191239,278215
101910,162474
32704,70408
192652,278771
98606,164829
32541,70297
192283,288400
100843,161215
31682,69599
190847,274300
100759,164379
33150,70233
193519,279252
100218,161790
31260,68771
192477,280334
98645,162680
32058,69949
