mark_time_ns,sweep_time_ns
30321,15473
26492,14197
21005,12300
20743,12116
18232,11018
20280,12239
17490,11490
19317,11589
17219,11087
19272,11537
16799,11259
18895,11908
16765,10980
18865,11483
16804,11014
18921,11767
16810,10771
18524,11944
16605,10881
18816,12235
16760,10899
18709,11842
16616,11061
18571,11692
16671,11016
18682,11603
16678,10679
18497,11968
16745,10932
18654,11835
16595,10798
18607,11616
16200,10782
18645,11600
16297,10650
18296,11764
16420,10935
18549,11703
16424,10903
18395,11882
16637,11088
18625,12012
16537,10989
18513,11820
16554,11145
18617,11812
16396,10765
18443,11522
16517,10931
18403,11610
16538,11025
18648,11897
16633,11155
18398,11932
16445,10691
18515,11440
16329,10911
18413,11609
16349,10907
18411,11802
16364,10843
18590,11833
16562,10604
18476,11785
16419,10814
18521,11747
16290,10786
18395,11713
16405,10934
18472,11764
16278,11144
18579,11808
16349,10942
18347,11942
16578,11063
18330,11903
16430,11104
18424,11467
16501,11048
18468,11449
16077,10695
18306,11778
16291,10738
18491,11579
16349,10723
18534,11808
16152,10742
18433,11727
16315,10971
18446,11980
16339,10898
18272,11987
16267,10829
18265,11864
16392,11015
18409,12150
16363,10920
18376,11728
16332,11069
18580,11604
16656,11091
18557,11844
16395,10883
18573,11714
16383,10563
18590,11907
16567,10710
18596,11752
16544,10887
18362,11779
16201,11031
18419,11756
16716,13595
18338,11796
16501,10930
18311,11702
16513,10714
18428,11667
16331,10586
18467,11728
16334,10823
18402,11679
16242,10753
18615,11788
16547,10784
18682,11544
16536,10895
18523,11873
16713,11064
18660,11408
16713,10601
18543,11568
16144,10794
18548,11649
16297,10543
18313,11637
16447,10893
18354,11742
16213,11022
18806,11832
16300,10899
18543,11620
16333,10845
18778,12020
16424,10991
18187,11812
16564,11009
18133,11614
16353,10647
18233,11650
16081,10978
18397,11429
16462,10853
18390,11665
16010,10900
18346,11544
16493,10838
18154,11477
16418,10901
18234,11625
16530,10763
18667,11505
16462,10588
18397,11867
16482,10726
18191,11519
16273,10672
18260,11398
16115,10916
18379,11753
16116,10913
18343,11644
16448,11106
21838,11489
16398,10699
18565,11792
16286,10855
18565,11468
16500,10684
18238,11673
16292,10665
18551,11434
16269,10628
18559,11753
16361,10974
18366,11868
16288,11199
18390,11925
16431,10943
18329,11542
16237,10745
18312,11751
16144,10893
18292,11435
16223,10735
18367,11484
16692,10596
18266,11729
16658,10865
18394,11769
16667,11269
18529,11885
16396,11030
18439,11963
16363,10880
18344,11829
16317,10991
18544,11778
16507,11022
18420,11740
16319,11032
18269,11480
16511,10813
18487,11690
16407,10780
18251,11824
16380,10836
18658,11824
16328,10784
18063,11426
16284,10874
18415,11829
16250,10796
18447,11884
16351,10914
18357,11696
16348,11110
18409,11648
16338,10782
18196,11559
16353,10691
18348,11697
16106,10859
18576,11864
16396,10875
18412,11544
16293,10599
18379,11943
16497,10858
18356,11708
16332,11061
18464,11719
16140,11034
18193,11684
16193,10876
18501,11766
16264,10665
18413,11491
16408,10711
18183,11640
16239,10671
18294,11727
15946,10813
18505,11772
16011,10767
18238,11725
16371,10915
18425,11380
16215,10824
18185,11601
16391,10903
18543,11948
16460,11094
18327,12009
16411,11164
18435,12096
16387,10871
18385,11802
16476,10773
18298,11945
16146,10710
18345,11668
16234,10805
18693,11774
16447,10771
18028,11729
16099,10817
18018,11674
16411,10827
