mark_time_ns,sweep_time_ns
685479,232753
743798,458701
944302,699487
1019957,1294384
1005574,395682
984960,388347
959184,393051
960787,388005
957651,407851
951500,387728
948876,399873
942867,392853
953721,390083
950661,398650
959143,395512
953841,389584
952691,390872
947440,392290
952924,399146
952233,398205
957606,397199
947527,396082
989322,399268
988047,399419
976806,405221
982804,393760
976360,401655
961792,392133
967998,391398
960951,392127
959150,399885
970893,392814
957240,394510
947421,396096
952504,397120
948709,391158
953101,396793
952822,389564
1005583,402873
1006667,396443
1010224,401600
1010667,399306
1005312,399244
993709,395369
995271,397096
982323,395215
958793,398510
953215,393519
958159,396791
963905,401840
965584,409235
964331,394884
966503,393797
952490,391193
958820,394678
954010,395818
1003288,400972
995909,400015
987683,399829
987145,397378
991441,401129
991584,394690
978043,401888
972792,394632
976318,396988
987854,400053
981349,400226
958952,399141
953164,395871
955102,396346
958326,401707
948120,397180
975268,402999
960558,393264
952107,400894
945982,389717
952374,409049
1014138,392550
994453,403052
979417,388394
973136,403038
964501,389312
963934,401300
955844,386616
972416,404247
958924,386195
946073,404229
950840,389311
946804,402591
946551,401600
961804,403542
956128,386362
945546,404136
1000277,389704
998612,400509
1001584,391151
993272,406703
995205,388779
974060,396209
961943,395121
966155,404459
946903,401243
966538,397780
950932,395535
1011343,399707
1003940,401684
1008500,402928
996385,398028
1002675,401839
1002160,397969
992377,397026
992330,397463
994531,401352
982416,399297
975700,402127
958315,400926
963759,406612
959580,396416
966281,397603
953212,396515
962315,401300
945325,405129
960656,413500
962867,401971
962624,405114
999776,401986
1000607,399903
994178,402634
997324,399166
995028,397906
979587,410322
987119,404418
981965,405238
973540,408932
973360,399623
956177,417617
964443,415056
971638,402005
968070,401004
943159,402868
963874,407354
949898,415933
1017366,412589
1003864,409940
1020684,411122
1009076,414997
1012015,413203
991416,406074
991090,410292
987051,409768
995495,408109
986557,414378
991802,406582
979108,406829
983994,414180
966106,412336
977584,411955
955142,403569
963658,401997
951046,416280
978720,409793
954657,411618
966542,404104
949369,410903
965058,406500
957072,415028
965979,410273
994677,418515
1009831,410088
990206,413340
970126,405550
957454,416315
977469,415835
949106,417398
978315,411853
947969,408334
964206,412231
950219,408426
1011365,418215
959123,412732
970086,408396
952624,424120
973396,414508
963663,407880
965073,409915
963597,412090
968966,417302
951512,414889
967393,415518
946590,414090
981540,418379
960293,416527
1016125,413477
987097,413367
988262,416443
954812,414437
971218,412014
964843,415935
969522,416035
946938,419563
972115,411348
954225,416605
967212,423428
954241,413354
966852,415589
951900,415448
962166,415553
952242,423515
975847,416881
966761,419561
966944,420538
948156,417026
962207,416293
950940,417686
952281,415963
947373,421352
962165,416737
1000980,422312
994417,416634
993485,418383
996659,421978
976994,417082
981437,419729
963703,431922
975882,414607
969212,421240
979305,416383
964903,423181
967082,416161
956791,424177
964068,418918
967508,428509
968614,423819
955501,421730
953986,414999
951637,417942
962822,415541
1014667,424627
1000618,413650
996521,419528
994125,423987
984011,421328
971819,421131
956093,418358
968170,422991
956897,423195
959574,415247
956292,428373
953494,415126
956370,422939
957478,417948
954495,420288
956256,417827
957990,433078
957427,414847
958418,429778
957688,424109
960183,416476
963913,416438
949213,419444
996801,422106
981473,428156
980823,422524
977720,430095
957917,419502
950479,418108
965240,424539
952286,421962
959232,422927
953120,422689
961133,419818
968559,420214
961252,422615
953215,416839
1005145,422952
1005430,424724
998234,432548
1001800,427040
990850,423183
974097,419693
979264,430476
991138,423047
982408,422446
989013,424806
978483,429283
967162,418679
960197,421875
964620,421577
969089,436548
964036,415877
957502,423713
951913,418902
955990,426208
963908,428341
1014806,423060
1018896,422965
998824,423952
965472,417772
971984,438998
955973,416755
964024,431075
956097,418138
968538,435228
962196,417976
1018532,428484
993536,416802
990921,437124
989426,422373
988254,423451
959756,419065
969152,424750
964763,418805
962377,431988
963917,415889
969209,424443
960373,419439
962592,426215
955154,415110
965166,422229
964611,429334
967761,427372
952961,418480
964216,425495
960876,420519
962323,426542
951443,417504
959974,429944
953078,421256
998963,430232
1002767,417457
1007263,428290
978964,417051
963883,425413
963363,418254
972603,431763
953046,417161
973889,428423
953615,416226
964974,433418
956428,421330
964834,431949
942605,423469
1003592,440671
998057,417327
995414,429667
962552,420051
974104,437927
952518,409601
968209,427164
944821,417889
974464,434656
951062,425354
963793,430108
1005589,424826
1012624,434024
1015590,440846
1019431,429517
1002346,425058
1016519,436002
1004565,428569
1016897,433057
1006925,423831
996672,435448
992744,420428
992967,429984
996270,418066
989622,428589
