mark_time_ns,sweep_time_ns
12055,6259
9333,5630
8150,5622
8132,5842
7665,5532
7159,5524
7469,5616
6962,5552
6582,5642
6970,5378
7368,5650
6728,5620
6748,5396
7064,5193
7329,5521
6793,5491
6722,5478
6857,5307
7038,5713
6516,5456
6897,5569
6823,5440
6571,5617
6674,5529
6720,5712
6545,5437
7057,5326
6716,5507
6548,5827
6647,5561
6330,5184
6279,5336
6215,5181
6921,5661
6855,5415
6640,5544
6616,5296
6830,5620
6584,5784
6528,5418
6702,5524
6628,5520
6403,5570
6497,5835
6416,5457
6449,5387
6526,5216
6768,5668
6507,5360
6811,5103
6661,5114
6533,4966
6519,5223
7148,5592
6868,5782
6578,5247
6438,5483
6276,5250
6401,5468
6310,5499
7021,5198
6334,5203
6547,5401
6308,5472
6526,5619
6220,7730
6783,5296
6491,5485
6588,5495
6332,5653
6363,5224
6325,5220
6006,5060
6570,5505
6390,5398
6492,5295
6441,5399
6265,5457
6223,5352
6691,5346
6301,5526
6276,5427
6362,5315
6769,5307
6217,5087
6325,5283
6439,5343
6551,5332
6346,5440
6344,5323
6462,5059
6578,5494
6390,5704
6814,5535
6549,5474
6236,5677
6523,5240
6502,5431
6753,5141
6766,5152
7089,5510
6678,5322
6931,5252
6213,5333
6750,5376
6589,5332
6530,5226
6240,5399
6373,5187
6627,5262
6770,5606
6565,5280
6402,5387
5976,5202
6436,5291
6473,5297
6254,5193
6857,5524
6652,5169
6724,5111
6534,5655
6592,5195
6628,5577
6314,5553
6790,5500
6719,5289
6370,5394
6179,5358
6304,5111
6473,5134
6596,5521
5966,5166
6044,5185
6452,5157
6111,5187
6262,5067
6469,5420
6336,5557
6517,5602
6466,5474
6163,5265
6504,5587
6473,5678
6831,5606
6534,5637
6511,5482
6680,5144
6949,5596
7002,5147
6809,4986
6616,5386
6454,5241
6969,5533
6286,5322
6852,5395
6650,5350
6493,5420
6161,5285
6557,5388
6490,5049
6851,5481
6428,7764
6405,5356
6212,5520
6714,5499
6757,5418
6288,5258
6931,5686
6779,5145
6617,5105
6703,5769
6707,5424
6737,5526
6478,5478
6754,5540
6823,5248
6890,5712
6853,5595
6533,5160
6868,5129
6696,5588
6521,5310
6093,5164
6636,5358
6560,5122
6496,5067
6508,5397
6479,5328
6676,5564
6445,5536
6519,5044
6429,5599
6465,5482
6966,5355
6594,5257
6360,5345
6596,5362
6752,5524
6903,5148
7011,5262
6874,5183
6617,5254
7060,5311
6395,5449
6737,5301
6611,5213
6523,5336
6369,5281
6454,5328
6654,5227
7100,5561
6523,5155
6457,5250
6008,5303
6660,5486
6551,5511
6393,5272
6642,5599
6741,5291
6498,5206
6628,5788
6460,5167
6602,5512
6472,5346
6776,5495
6724,5328
6558,5586
6439,5478
6365,5049
6543,5330
6199,5442
6087,5244
6180,5376
6623,5358
6229,5283
6529,5073
6336,5284
6273,5412
6576,5613
6619,5593
6285,5345
6714,5404
6479,5590
6825,5350
6466,5349
6643,5531
6525,5119
6373,5524
6559,4917
6413,4985
6507,5273
6278,5374
6687,5219
6430,5218
6399,5461
6650,5242
6428,5407
6001,5297
6524,5512
6576,5160
6801,5429
6493,5167
6403,5421
6090,5436
6483,5579
6543,5577
6361,5042
6747,5489
6725,5267
6761,5339
6668,5715
6560,4930
6812,5439
6575,5554
6614,5526
6723,5266
6745,5431
6545,5466
6393,5170
6374,5134
6434,5380
6050,5229
5973,5196
6364,5318
6184,5151
6139,5200
6383,5422
6235,5443
6418,5485
6504,5442
6327,5070
6237,5233
6475,5572
6811,5513
6317,5396
6448,5464
6595,5251
6791,5591
6813,4969
6649,5120
6547,5159
6292,5070
6660,5287
6422,5474
6726,5495
6442,5511
6281,5455
6164,5379
6374,5350
6520,5164
6851,5358
6690,5428
6717,5366
6422,5373
6569,5636
6479,5520
6380,5384
6785,5607
6752,5233
6640,5149
6579,5440
6410,4942
6686,5498
6281,5481
6586,5617
6477,5039
6463,5559
6208,5747
6408,5296
6450,5192
6406,5566
6472,5256
6231,5282
6457,5187
6276,5327
6246,5129
6777,5369
6500,5510
6486,5458
6462,5454
6406,5208
6522,5431
6308,5461
6850,5430
6637,5342
6387,5536
6484,5142
6433,5527
6768,5047
6592,5165
6638,5191
6456,5333
6971,5276
6339,5343
6919,5298
6755,5295
6504,5352
6196,5350
6767,5287
6700,5176
6725,5360
6299,5208
6395,5315
6261,5329
6506,5618
6887,5655
6483,5280
6872,5617
6656,5361
7025,5454
6738,5880
6519,5308
6570,5869
6197,5514
6492,5467
6461,5121
6567,5426
6404,5666
6362,5318
6553,5273
6450,5390
6311,5357
6289,5190
6598,5285
6315,4983
6387,5111
6522,5326
6573,5267
6695,5405
6451,5321
6364,5437
6403,5556
6396,5584
6748,5551
6370,5314
6646,5487
6524,5159
6606,5355
6858,5236
6819,5258
6566,5302
6255,5168
6909,5409
6122,5254
6430,5292
6440,5297
6414,5136
6068,5132
6290,5219
6608,5139
6601,5421
6525,5538
6527,5490
6083,5259
6265,5422
6587,5465
6311,5348
6678,5701
6525,5424
6642,5189
6712,5564
6547,5212
6576,5547
6436,5618
6626,5630
6438,5270
6517,5521
6635,7852
6227,5164
6474,5280
6279,5387
6009,5304
6046,5192
6391,5165
6209,5171
6253,5103
6606,5333
6472,5496
6520,5587
6192,5516
6252,5079
6438,5390
6378,5548
6937,5555
6446,5295
6459,5519
6526,5090
6467,5402
6933,5035
6455,5116
6587,5202
6383,5323
6742,5032
6398,5181
6834,5372
6490,5498
6521,5238
6253,5235
6492,5411
6680,5377
6711,5418
6570,5456
6455,5384
6331,5550
6823,5720
6687,5544
6499,5337
6732,5518
6967,5255
6644,5293
6681,5755
6431,5480
6733,5614
6317,5384
6486,5409
6470,5298
6381,5557
6189,5551
6137,5266
6431,5176
6353,5489
6346,5216
5937,5130
6481,5328
6093,5036
6085,5114
6370,5460
6204,5272
6465,5317
6481,5681
6465,5337
6266,5642
6428,5374
6780,5649
6310,5194
6556,5551
6685,5267
6583,5367
6646,5057
6335,5061
6878,5326
6449,5179
6755,5370
6319,5321
6608,5264
6595,5461
6377,5364
6339,5260
6375,5518
6451,5293
6684,5710
6385,5129
6504,5292
6330,5569
6588,5516
6418,5377
6286,5314
6484,5725
6837,5110
6732,5201
6976,5651
6560,5190
6667,5665
6648,5781
6594,5897
6690,5432
6446,5463
6212,5619
6161,5342
6453,5175
6266,5669
6148,5227
5964,5116
6414,5242
6161,5213
6298,5357
6492,5434
6275,5435
6499,5621
6536,5596
6431,5420
6533,5456
6375,5486
6855,5527
6662,5481
6578,5434
6539,5131
6319,5668
6699,5270
6577,5175
6659,5249
6282,5117
6905,5384
6720,5531
6898,5698
6589,5416
6369,5396
6213,5503
6382,5345
6426,5228
6872,5574
6504,5482
6366,5395
6207,5560
6345,5654
6277,5393
6378,5376
6472,5645
6689,5263
6685,5233
6427,5801
6402,5204
6436,5502
6261,5437
6619,5514
6600,5302
6383,5623
6162,5550
6327,5122
6460,5425
6255,5413
6333,5373
6117,5262
6510,5310
6251,5158
6514,5088
6452,5430
6438,5576
6658,5632
6358,5452
6479,5201
6533,5247
6524,5508
6890,5448
6453,5203
6360,5428
6580,5184
6534,5434
7066,5001
6719,5093
6653,5190
6502,5292
7075,5266
6259,5182
6827,5370
6325,5370
6423,5244
6257,5234
6541,5323
6566,5214
6820,5446
6440,5265
6335,5492
6226,5356
6382,5636
6367,5529
6464,5297
6626,5489
6705,5217
6640,5268
6800,5933
6621,5223
6776,5609
6414,5398
6770,5643
6699,5293
6583,5535
6408,5643
6347,5417
6774,5342
6503,5614
6527,5385
6235,5331
6596,5300
6349,5224
6392,5249
6564,5409
6463,5390
6532,5415
6404,5402
6262,5151
6565,5564
6444,5832
6810,5451
6526,5334
6453,5368
6676,5500
6566,5474
6827,5217
6729,5003
6792,5122
6625,5227
6708,5354
6230,5294
6623,5465
6454,5259
6489,5340
6359,5140
6324,5297
6542,5311
6767,5376
6621,5394
6369,5493
6096,5457
6360,5553
6530,5508
6083,5423
6627,5619
6566,5099
6892,5195
6692,5715
6401,5127
6687,5570
6336,5480
6742,5733
6788,5287
6200,5471
6323,5633
6396,5271
6531,5301
6204,5469
6127,5185
6147,5143
6566,5121
6354,4942
6410,4929
6551,5378
6468,5380
6363,5536
6428,5392
6567,5190
6438,5552
6437,5475
6763,5252
6706,5281
6480,5373
6425,5185
6441,5362
6882,4991
6715,5219
6813,5262
6431,5251
6717,5541
6396,5189
6485,5179
6403,5350
6298,5171
6359,5258
6473,5422
6935,5180
6618,5448
6378,5482
6289,7761
6231,5420
6339,5466
6343,5303
6408,5498
6636,5730
6840,5551
6588,5305
6665,5797
6520,5295
6539,5598
6179,5526
6568,5638
6720,5329
6393,5387
6302,5580
6292,5036
6523,5293
6507,5391
6039,5212
6257,5197
6501,5297
6500,5121
6478,5124
6360,5548
6457,5549
6660,5778
6481,5565
6556,5263
6480,5457
6763,5831
7023,5432
6346,5220
6393,5427
6474,5271
6723,5559
