mark_time_ns,sweep_time_ns
13801,6953
9989,6121
10578,6132
10292,6049
9974,5912
9850,5953
12038,6758
9885,6025
11104,6037
10678,6197
9549,6080
10863,6148
9904,5901
9155,6066
10696,6186
9596,6133
8593,5985
11634,6897
10119,6526
11129,6398
9557,6010
9040,5990
10272,6267
9990,6063
10628,5996
9189,5595
9593,5964
10749,6326
11633,6452
8590,5640
9507,6033
10401,5818
8651,5710
8547,5954
9540,5882
10523,6185
9124,5824
9858,6065
9647,6026
9136,5746
8499,5585
8755,8518
10263,6109
8772,5695
10919,6131
9185,5529
10056,5841
11312,6427
8676,5638
10512,6233
10612,6163
9749,5894
11715,6567
9042,5979
8843,5929
10118,5876
8718,5514
10662,5942
11600,6298
9050,5779
10289,6004
11422,6511
9547,5847
9278,5710
9004,5928
9558,5973
8958,5617
9604,5963
9152,5810
11856,6952
10437,6536
11695,6580
9282,5875
9586,5908
10741,6366
9575,5782
9343,5754
9493,5639
9796,5914
9843,5857
11635,6483
9082,5703
9792,5744
9740,5839
9648,6153
10147,5987
9802,6265
9804,5916
9629,5872
9961,5910
9272,5645
8640,5638
9213,6110
9904,6054
9977,5715
9920,6182
11214,6266
9294,5354
10952,6107
9414,6198
9000,5693
9532,5879
8972,5854
9159,5871
11441,6203
10846,6054
9562,6142
10580,5923
9678,6041
9840,6107
10647,6050
8868,5880
9292,5718
11033,6418
9334,5754
9486,5818
9103,6058
9459,5894
9292,5883
9504,5803
9300,5729
12030,6995
10579,6616
11516,6576
9147,5914
9564,5891
10815,6378
9401,5789
9291,5805
9278,5759
9809,5925
9631,6067
11595,6624
9164,5698
9539,5803
9735,5724
9177,5916
9923,5985
9534,6132
9634,5871
9468,5906
9618,6043
8967,5832
8643,5588
9222,6453
9607,5967
9704,5650
9837,6232
11113,6370
9102,5449
10972,6303
9687,6166
9129,5865
9387,5920
9070,6143
9108,5805
11124,6233
10615,5794
9536,5830
10641,5796
9582,6091
9613,6220
10257,6018
8832,5713
9135,5736
11020,6209
9600,5881
9086,5937
8861,6018
9506,6090
9041,5816
9355,5798
8883,5841
12097,7089
10536,6599
11619,6422
9012,5794
9509,5927
10999,6270
9530,5807
9141,5911
9337,5595
9795,5911
9927,5888
11633,6580
9073,5804
9645,5903
9543,6014
9578,6035
9997,6012
9580,6210
9578,5827
9274,5908
9585,6019
9039,5881
8633,5592
9080,6174
9498,6189
9643,5674
9787,6216
10942,6192
8704,5467
10977,6247
9613,6134
9175,5975
9440,5726
8857,5906
9335,5992
11331,6323
10506,6041
9542,5869
10796,6097
9576,6117
9880,6291
10351,6047
9100,5899
9252,5950
10657,6248
9363,5821
9214,5982
8753,6107
9441,5982
9001,5846
9376,5726
9091,5711
12275,6943
10418,6536
11594,6553
9418,5663
9788,5991
10931,6362
9732,5882
9474,5784
9195,5728
9876,5960
9626,5944
11576,6983
9133,5604
9476,5951
9648,5764
9550,6104
9934,5942
9665,6145
9494,5852
9547,5951
9937,6123
8997,5926
8807,5625
9452,6287
9614,5984
9681,5696
10102,6107
10738,6345
8969,5477
11144,6299
9780,6215
9112,5862
9585,5774
8998,5879
9294,5853
11326,6471
10637,6010
9652,5846
10899,5838
9667,5973
10117,6326
10192,5787
8815,5808
9037,5813
10836,6197
9110,5938
9128,5903
8897,6102
9523,6175
9230,5861
9553,5775
9040,5772
12102,6931
10404,6550
11484,6327
9475,5898
9544,5827
10764,6544
9781,5746
9289,5561
9362,5506
9775,6028
9460,5969
11510,6647
9124,5711
9508,5798
9396,5682
9343,6086
10006,6225
9603,6282
9748,5837
9533,5816
9863,5981
8927,5807
8709,5526
9173,6193
9592,6082
9793,5684
9905,6114
10904,6210
9089,5519
11239,6298
9570,6092
9034,5629
9629,5721
9300,5908
9215,5830
11196,6264
10533,6064
9617,5986
10759,5856
9791,5934
9830,6457
10385,5954
8943,6117
9277,5954
10982,6229
9208,5958
9339,6016
9187,5921
9568,6156
9179,5698
9445,5851
8889,5923
11956,6820
10216,6591
11461,6517
9287,5738
9462,5976
10809,6448
9532,5866
8984,5733
9198,5595
9849,5889
9608,5958
11655,6647
8983,5717
9568,5821
9558,5864
9323,6067
9807,5863
9354,6279
9579,5926
9304,5986
9996,6029
8965,5870
8620,5762
9391,6361
9880,5880
9720,5587
9729,5916
11015,6436
9098,5575
11017,6350
9599,6195
9439,5717
9493,5844
9279,5914
9302,5925
11071,6343
10733,6019
9858,6034
10594,6080
9628,6115
9779,6146
10339,5874
8927,5717
8983,8526
11065,6364
9082,5962
9266,5889
9054,5925
9493,6215
9091,6087
9614,6059
8826,5846
12303,7188
10412,6722
11642,6551
9332,5744
